idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-7","13:37:45","LCP","1513.800000000745","4525.400000002235","3011.60000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1497.800000000745","1513.800000000745"
"1","http://localhost:8080/","2024-12-7","13:37:45","longTask","3763.800000000745","3835.800000000745","72","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-7","13:37:56","LCP","1213.7000000029802","3626.3000000081956","2412.6000000052154","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1198.9000000022352","1213.7000000029802"
"2","http://localhost:8080/","2024-12-7","13:37:56","longTask","3478.400000002235","3546.400000002235","68","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-7","13:38:06","LCP","1213.3999999985099","3625.6999999955297","2412.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1198.8999999985099","1213.3999999985099"
"3","http://localhost:8080/","2024-12-7","13:38:06","longTask","3456.199999999255","3527.199999999255","71","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-7","13:38:16","LCP","1207.1000000014901","3605.8000000044703","2398.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1191.6000000014901","1207.1000000014901"
"4","http://localhost:8080/","2024-12-7","13:38:16","longTask","3485.60000000149","3554.60000000149","69","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-7","13:38:16","longTask","3756.699999999255","3806.699999999255","50","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-7","13:38:27","LCP","1342.8999999985099","4013.2999999970198","2670.39999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1327.5","1342.8999999985099"
"5","http://localhost:8080/","2024-12-7","13:38:27","longTask","3535.10000000149","3602.10000000149","67","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-7","13:38:37","LCP","1196.699999999255","3571.199999999255","2374.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1177.800000000745","1196.699999999255"
"6","http://localhost:8080/","2024-12-7","13:38:37","longTask","3464","3530","66","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-7","13:38:47","LCP","1208.300000000745","3609.10000000149","2400.800000000745","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1192.5","1208.300000000745"
