idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-8","16:06:04","1109","6132","1778.3000000044703","192.79999999701977","111.29999999701977","0","192.79999999701977","0","-1",""
"2","http://localhost:8080/","2024-12-8","16:06:11","1009","6023","1560.699999988079","85.09999999403954","16.19999999552965","0","85.09999999403954","0","-1",""
"3","http://localhost:8080/","2024-12-8","16:06:18","918","5930","1292.9000000059605","89.20000000298023","17.200000002980232","0","89.20000000298023","0","-1",""
"4","http://localhost:8080/","2024-12-8","16:06:24","946","5960","1368.2999999970198","87.79999999701977","18.19999999552965","0","87.79999999701977","0","-1",""
"5","http://localhost:8080/","2024-12-8","16:06:31","1132","6147","1920.300000011921","80.30000000447035","17.30000000447035","0","80.30000000447035","0","-1",""
"6","http://localhost:8080/","2024-12-8","16:06:38","837","5850","1040.1000000089407","78.30000000447035","9.700000002980232","0","78.30000000447035","0","-1",""
"7","http://localhost:8080/","2024-12-8","16:06:44","901","5913","1233.199999988079","84.19999999552965","13.899999998509884","0","84.19999999552965","0","-1",""
"8","http://localhost:8080/","2024-12-8","16:06:51","836","5850","1043.300000011921","79.20000000298023","14.700000002980232","0","79.20000000298023","0","-1",""
"9","http://localhost:8080/","2024-12-8","16:06:57","1011","6021","1573.6999999955297","74.59999999403954","11.299999997019768","0","74.59999999403954","0","-1",""
"10","http://localhost:8080/","2024-12-8","16:07:04","803","5816","945.8000000119209","80.10000000149012","13.899999998509884","0","80.10000000149012","0","-1",""
"11","http://localhost:8080/","2024-12-8","16:07:10","957","5969","1417.1000000089407","73.30000000447035","11","0","73.30000000447035","0","-1",""
"12","http://localhost:8080/","2024-12-8","16:07:17","872","5880","1143.2999999970198","79.09999999403954","9.699999995529652","0","79.09999999403954","0","-1",""
"13","http://localhost:8080/","2024-12-8","16:07:23","921","5933","1299.3000000044703","81.19999999552965","14.199999995529652","0","81.19999999552965","0","-1",""
"14","http://localhost:8080/","2024-12-8","16:07:30","799","5811","931.7999999970198","77.29999999701977","7.699999995529652","0","77.29999999701977","0","-1",""
"15","http://localhost:8080/","2024-12-8","16:07:36","878","5891","1179.4000000059605","77.10000000149012","13.5","0","77.10000000149012","0","-1",""
"16","http://localhost:8080/","2024-12-8","16:07:43","875","5887","1174.7999999895692","75.79999999701977","9.399999998509884","0","75.79999999701977","0","-1",""
"17","http://localhost:8080/","2024-12-8","16:07:49","754","5765","805.9999999925494","77.19999999552965","11.5","0","77.19999999552965","0","-1",""
"18","http://localhost:8080/","2024-12-8","16:07:55","762","5774","827.8999999985099","76.80000000447035","10.399999998509884","0","76.80000000447035","0","-1",""
"19","http://localhost:8080/","2024-12-8","16:08:02","862","5871","1143.8000000044703","73.89999999850988","10.300000004470348","0","73.89999999850988","0","-1",""
"20","http://localhost:8080/","2024-12-8","16:08:08","790","5803","914.599999986589","71.39999999850988","11.099999994039536","0","71.39999999850988","0","-1",""
"21","http://localhost:8080/","2024-12-8","16:08:15","856","5868","1112.699999988079","71.89999999850988","8.799999997019768","0","71.89999999850988","0","-1",""
"22","http://localhost:8080/","2024-12-8","16:08:21","800","5812","939.3000000044703","78","8.799999997019768","0","78","0","-1",""
"23","http://localhost:8080/","2024-12-8","16:08:28","813","5824","975.7000000104308","75.10000000149012","8.5","0","75.10000000149012","0","-1",""
"24","http://localhost:8080/","2024-12-8","16:08:34","966","5979","1448.8999999910593","75.60000000149012","9.899999998509884","0","75.60000000149012","0","-1",""
"25","http://localhost:8080/","2024-12-8","16:08:41","757","5769","823.8999999985099","67.20000000298023","6.600000001490116","0","67.20000000298023","0","-1",""
"26","http://localhost:8080/","2024-12-8","16:08:47","827","5842","1018.8000000044703","79.5","11.5","0","79.5","0","-1",""
"27","http://localhost:8080/","2024-12-8","16:08:54","768","5783","846.8999999910593","74.69999999552965","8","0","74.69999999552965","0","-1",""
"28","http://localhost:8080/","2024-12-8","16:09:00","961","5975","1420.599999986589","73.69999999552965","9.299999997019768","0","73.69999999552965","0","-1",""
"29","http://localhost:8080/","2024-12-8","16:09:07","819","5833","999.5","74.70000000298023","7.399999998509884","0","74.70000000298023","0","-1",""
"30","http://localhost:8080/","2024-12-8","16:09:13","828","5841","1043.3999999985099","73.69999999552965","9","0","73.69999999552965","0","-1",""
"31","http://localhost:8080/","2024-12-8","16:09:19","942","5956","1353.2000000104308","67.10000000149012","6.899999998509884","0","67.10000000149012","0","-1",""
"32","http://localhost:8080/","2024-12-8","16:09:26","739","5752","762.6000000014901","79.70000000298023","13.200000002980232","0","79.70000000298023","0","-1",""
"33","http://localhost:8080/","2024-12-8","16:09:32","854","5872","1096.7000000029802","80.39999999850988","9.399999998509884","0","80.39999999850988","0","-1",""
"34","http://localhost:8080/","2024-12-8","16:09:39","894","5906","1238.800000011921","72.20000000298023","6.300000004470348","0","72.20000000298023","0","-1",""
"35","http://localhost:8080/","2024-12-8","16:09:45","776","5789","871.2999999970198","71.89999999850988","7.299999997019768","0","71.89999999850988","0","-1",""
"36","http://localhost:8080/","2024-12-8","16:09:52","847","5857","1078.8000000044703","74.39999999850988","8.700000002980232","0","74.39999999850988","0","-1",""
"37","http://localhost:8080/","2024-12-8","16:09:58","904","5917","1248.9000000059605","74.10000000149012","9.399999998509884","0","74.10000000149012","0","-1",""
"38","http://localhost:8080/","2024-12-8","16:10:05","820","5831","1012.2000000029802","71.70000000298023","9.5","0","71.70000000298023","0","-1",""
"39","http://localhost:8080/","2024-12-8","16:10:11","936","5948","1349.7000000029802","74.80000000447035","9","0","74.80000000447035","0","-1",""
"40","http://localhost:8080/","2024-12-8","16:10:18","874","5885","1174.3000000044703","75.80000000447035","8.200000002980232","0","75.80000000447035","0","-1",""
"41","http://localhost:8080/","2024-12-8","16:10:24","883","5896","1181.8999999910593","75.79999999701977","9.299999997019768","0","75.79999999701977","0","-1",""
"42","http://localhost:8080/","2024-12-8","16:10:31","883","5895","1188.2000000029802","77.5","12.600000001490116","0","77.5","0","-1",""
"43","http://localhost:8080/","2024-12-8","16:10:37","975","5986","1466.800000011921","71.80000000447035","9.100000001490116","0","71.80000000447035","0","-1",""
"44","http://localhost:8080/","2024-12-8","16:10:44","942","5954","1362.7000000029802","78.60000000149012","9.200000002980232","0","78.60000000149012","0","-1",""
"45","http://localhost:8080/","2024-12-8","16:10:50","884","5896","1169.3999999910593","71.19999999552965","9.699999995529652","0","71.19999999552965","0","-1",""
"46","http://localhost:8080/","2024-12-8","16:10:57","823","5829","1019.3999999836087","74.09999999403954","9.399999998509884","0","74.09999999403954","0","-1",""
"47","http://localhost:8080/","2024-12-8","16:11:03","836","5850","1039.2999999970198","79.70000000298023","6.200000002980232","0","79.70000000298023","0","-1",""
"48","http://localhost:8080/","2024-12-8","16:11:10","1017","6029","1581","68.79999999701977","6.899999998509884","0","68.79999999701977","0","-1",""
"49","http://localhost:8080/","2024-12-8","16:11:16","945","5959","1388.9999999850988","72.09999999403954","9.399999998509884","0","72.09999999403954","0","-1",""
"50","http://localhost:8080/","2024-12-8","16:11:23","1083","6096","1787.5","70.69999999552965","7.199999995529652","0","70.69999999552965","0","-1",""
"51","http://localhost:8080/","2024-12-8","16:11:30","874","5888","1172.4999999925494","83.29999999701977","10.799999997019768","0","83.29999999701977","0","-1",""
"52","http://localhost:8080/","2024-12-8","16:11:36","878","5890","1185.7000000104308","70.90000000596046","8.100000001490116","0","70.90000000596046","0","-1",""
"53","http://localhost:8080/","2024-12-8","16:11:43","831","5844","1035.8000000044703","71.10000000149012","11.399999998509884","0","71.10000000149012","0","-1",""
"54","http://localhost:8080/","2024-12-8","16:11:49","982","5996","1395.4000000059605","73.30000000447035","6.600000001490116","0","73.30000000447035","0","-1",""
"55","http://localhost:8080/","2024-12-8","16:11:56","826","5839","1016.3999999985099","79.89999999850988","8.199999995529652","0","79.89999999850988","0","-1",""
"56","http://localhost:8080/","2024-12-8","16:12:02","758","5771","818.1000000014901","72.79999999701977","7.700000002980232","0","72.79999999701977","0","-1",""
"57","http://localhost:8080/","2024-12-8","16:12:09","1090","6101","1820.2000000104308","74","7.700000002980232","0","74","0","-1",""
"58","http://localhost:8080/","2024-12-8","16:12:15","1048","6062","1688.2999999895692","71.79999999701977","10","0","71.79999999701977","0","-1",""
"59","http://localhost:8080/","2024-12-8","16:12:22","773","5780","851.6999999880791","74.59999999403954","8.199999995529652","0","74.59999999403954","0","-1",""
"60","http://localhost:8080/","2024-12-8","16:12:28","1007","6018","1563.8999999985099","79.5","6","0","79.5","0","-1",""
"61","http://localhost:8080/","2024-12-8","16:12:35","888","5898","1192.0000000149012","78.80000000447035","9.400000005960464","0","78.80000000447035","0","-1",""
"62","http://localhost:8080/","2024-12-8","16:12:42","782","5794","882.9999999925494","68.5","5.899999998509884","0","68.5","0","-1",""
"63","http://localhost:8080/","2024-12-8","16:12:48","853","5867","1107.5999999940395","69.89999999850988","7.699999995529652","0","69.89999999850988","0","-1",""
"64","http://localhost:8080/","2024-12-8","16:12:54","919","5933","1307.2000000104308","78.20000000298023","12.300000004470348","0","78.20000000298023","0","-1",""
"65","http://localhost:8080/","2024-12-8","16:13:01","881","5893","1195.9999999850988","67.5","8.099999994039536","0","67.5","0","-1",""
"66","http://localhost:8080/","2024-12-8","16:13:08","942","5954","1372.6999999955297","66.5","5.699999995529652","0","66.5","0","-1",""
"67","http://localhost:8080/","2024-12-8","16:13:14","852","5865","1090.199999988079","71.5","5.399999998509884","0","71.5","0","-1",""
"68","http://localhost:8080/","2024-12-8","16:13:21","932","5947","1341.8999999910593","74.39999999850988","7.399999998509884","0","74.39999999850988","0","-1",""
"69","http://localhost:8080/","2024-12-8","16:13:27","953","5967","1397.3000000044703","65.70000000298023","6.300000004470348","0","65.70000000298023","0","-1",""
"70","http://localhost:8080/","2024-12-8","16:13:34","797","5810","936.4000000059605","70.70000000298023","10.300000004470348","0","70.70000000298023","0","-1",""
"71","http://localhost:8080/","2024-12-8","16:13:40","937","5951","1365.6000000089407","72.60000000149012","9","0","72.60000000149012","0","-1",""
"72","http://localhost:8080/","2024-12-8","16:13:47","925","5938","1331.6999999955297","77.89999999850988","8.399999998509884","0","77.89999999850988","0","-1",""
"73","http://localhost:8080/","2024-12-8","16:13:53","892","5903","1225.7999999970198","77.20000000298023","6.100000001490116","0","77.20000000298023","0","-1",""
"74","http://localhost:8080/","2024-12-8","16:14:00","920","5934","1301.8999999836087","75.89999999850988","9.599999994039536","0","75.89999999850988","0","-1",""
"75","http://localhost:8080/","2024-12-8","16:14:06","930","5943","1333.9000000059605","70","6.300000004470348","0","70","0","-1",""
"76","http://localhost:8080/","2024-12-8","16:14:13","748","5760","787.7000000104308","80.10000000149012","5.100000001490116","0","80.10000000149012","0","-1",""
"77","http://localhost:8080/","2024-12-8","16:14:19","940","5952","1373.1000000089407","67.20000000298023","5.600000001490116","0","67.20000000298023","0","-1",""
"78","http://localhost:8080/","2024-12-8","16:14:26","830","5844","1031.5","69.19999999552965","6.100000001490116","0","69.19999999552965","0","-1",""
"79","http://localhost:8080/","2024-12-8","16:14:32","1092","6105","1810.8999999985099","77","5.899999998509884","0","77","0","-1",""
"80","http://localhost:8080/","2024-12-8","16:14:39","943","5954","1384.599999986589","79","5","0","79","0","-1",""
"81","http://localhost:8080/","2024-12-8","16:14:46","936","5948","1340.7000000029802","71.30000000447035","6","0","71.30000000447035","0","-1",""
"82","http://localhost:8080/","2024-12-8","16:14:52","883","5889","1206.4999999850988","69.59999999403954","6.199999995529652","0","69.59999999403954","0","-1",""
"83","http://localhost:8080/","2024-12-8","16:14:59","960","5970","1431","69.79999999701977","6.5","0","69.79999999701977","0","-1",""
"84","http://localhost:8080/","2024-12-8","16:15:05","839","5852","1058.0000000149012","69.80000000447035","7.300000004470348","0","69.80000000447035","0","-1",""
