idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-9","07:07:25","1078","6097","1782.9999999981374","241.69999999925494","149.3999999994412","0","241.69999999925494","0","-1",""
"2","http://localhost:8080/","2024-12-9","07:07:32","881","5893","1166.5","88.69999999925494","21.09999999962747","0","88.69999999925494","0","-1",""
"3","http://localhost:8080/","2024-12-9","07:07:38","896","5908","1212.6000000014901","87.70000000018626","17.100000000558794","0","87.70000000018626","0","-1",""
"4","http://localhost:8080/","2024-12-9","07:07:45","857","5869","1097.1000000005588","88.90000000037253","15.800000000745058","0","88.90000000037253","0","-1",""
"5","http://localhost:8080/","2024-12-9","07:07:51","895","5908","1215.2000000001863","78.5","13.799999999813735","0","78.5","0","-1",""
"6","http://localhost:8080/","2024-12-9","07:07:58","947","5954","1367.300000000745","80","16.59999999962747","0","80","0","-1",""
"7","http://localhost:8080/","2024-12-9","07:08:04","780","5791","855.5","83.6000000005588","20.5","0","83.6000000005588","0","-1",""
"8","http://localhost:8080/","2024-12-9","07:08:11","898","5910","1228.2000000011176","84.6000000005588","13.799999999813735","0","84.6000000005588","0","-1",""
"9","http://localhost:8080/","2024-12-9","07:08:17","1022","6035","1594.800000000745","88.1000000005588","14","0","88.1000000005588","0","-1",""
"10","http://localhost:8080/","2024-12-9","07:08:24","864","5877","1112.800000000745","87.09999999962747","18.299999999813735","0","87.09999999962747","0","-1",""
"11","http://localhost:8080/","2024-12-9","07:08:30","917","5929","1287.3999999994412","79.19999999925494","12.399999999441206","0","79.19999999925494","0","-1",""
"12","http://localhost:8080/","2024-12-9","07:08:37","917","5930","1277","82.5","14.899999999441206","0","82.5","0","-1",""
"13","http://localhost:8080/","2024-12-9","07:08:44","821","5832","989","79.70000000018626","15.100000000558794","0","79.70000000018626","0","-1",""
"14","http://localhost:8080/","2024-12-9","07:08:50","919","5931","1287.9999999990687","78.79999999981374","16.5","0","78.79999999981374","0","-1",""
"15","http://localhost:8080/","2024-12-9","07:08:57","1009","6022","1565.4999999990687","72.29999999981374","10","0","72.29999999981374","0","-1",""
"16","http://localhost:8080/","2024-12-9","07:09:03","1007","6019","1551.8999999985099","73.59999999962747","11.799999999813735","0","73.59999999962747","0","-1",""
"17","http://localhost:8080/","2024-12-9","07:09:10","867","5879","1134.0999999986961","84.70000000018626","13.799999999813735","0","84.70000000018626","0","-1",""
"18","http://localhost:8080/","2024-12-9","07:09:17","1032","6044","1622.5000000018626","72.40000000037253","13.5","0","72.40000000037253","0","-1",""
"19","http://localhost:8080/","2024-12-9","07:09:23","1013","6026","1567.6000000005588","71.3999999994412","9.700000000186265","0","71.3999999994412","0","-1",""
"20","http://localhost:8080/","2024-12-9","07:09:30","1081","6094","1777.6999999983236","74.3999999994412","10.799999999813735","0","74.3999999994412","0","-1",""
