idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-8","10:22:59","1184","6206","2047.0000000018626","272.5","151.5","0","272.5","0","-1",""
"2","http://localhost:8080/","2024-12-8","10:23:06","959","5976","1413.7000000011176","87.59999999962747","17.90000000037253","0","87.59999999962747","0","-1",""
"3","http://localhost:8080/","2024-12-8","10:23:13","995","6009","1534.7000000011176","95.80000000074506","19.700000001117587","0","95.80000000074506","0","-1",""
"4","http://localhost:8080/","2024-12-8","10:23:20","777","5792","869.5999999996275","90.09999999962747","16.299999998882413","0","90.09999999962747","0","-1",""
"5","http://localhost:8080/","2024-12-8","10:23:26","971","5987","1442.4999999981374","87.5","15.899999998509884","0","87.5","0","-1",""
"6","http://localhost:8080/","2024-12-8","10:23:33","925","5939","1316.199999999255","81","18.5","0","81","0","-1",""
"7","http://localhost:8080/","2024-12-8","10:23:39","930","5943","1332","86.40000000037253","11.099999999627471","0","86.40000000037253","0","-1",""
"8","http://localhost:8080/","2024-12-8","10:23:46","860","5872","1126","84.5","13.700000001117587","0","84.5","0","-1",""
"9","http://localhost:8080/","2024-12-8","10:23:52","851","5857","1092.4999999981374","80.40000000037253","15.900000000372529","0","80.40000000037253","0","-1",""
"10","http://localhost:8080/","2024-12-8","10:23:59","1116","6130","1890.2999999988824","80.40000000037253","10.5","0","80.40000000037253","0","-1",""
"11","http://localhost:8080/","2024-12-8","10:24:06","915","5928","1281.0999999996275","83.59999999962747","11.699999999254942","0","83.59999999962747","0","-1",""
"12","http://localhost:8080/","2024-12-8","10:24:12","993","6000","1519.3000000026077","82.09999999962747","10.099999999627471","0","82.09999999962747","0","-1",""
"13","http://localhost:8080/","2024-12-8","10:24:19","1063","6074","1719.5999999996275","80","14.199999999254942","0","80","0","-1",""
"14","http://localhost:8080/","2024-12-8","10:24:25","851","5861","1087.7999999988824","78.90000000037253","12.900000000372529","0","78.90000000037253","0","-1",""
"15","http://localhost:8080/","2024-12-8","10:24:32","912","5925","1289.2000000011176","80.70000000111759","14","0","80.70000000111759","0","-1",""
"16","http://localhost:8080/","2024-12-8","10:24:38","879","5891","1185.6999999973923","79.29999999888241","12.899999998509884","0","79.29999999888241","0","-1",""
"17","http://localhost:8080/","2024-12-8","10:24:45","1009","6019","1563.9999999981374","87.90000000037253","11.400000000372529","0","87.90000000037253","0","-1",""
"18","http://localhost:8080/","2024-12-8","10:24:52","917","5927","1287.4000000003725","86","13.099999999627471","0","86","0","-1",""
"19","http://localhost:8080/","2024-12-8","10:24:58","857","5868","1110.9000000022352","78.80000000074506","8.100000001490116","0","78.80000000074506","0","-1",""
"20","http://localhost:8080/","2024-12-8","10:25:05","832","5844","1042.8999999985099","73.59999999962747","12","0","73.59999999962747","0","-1",""
"21","http://localhost:8080/","2024-12-8","10:25:11","952","5964","1407.2999999970198","70.09999999962747","4.899999998509884","0","70.09999999962747","0","-1",""
"22","http://localhost:8080/","2024-12-8","10:25:18","988","6000","1510.4999999981374","71.09999999962747","10.799999998882413","0","71.09999999962747","0","-1",""
"23","http://localhost:8080/","2024-12-8","10:25:24","932","5943","1331.800000000745","77","12.599999999627471","0","77","0","-1",""
"24","http://localhost:8080/","2024-12-8","10:25:31","1064","6075","1724.2000000011176","73.20000000111759","8.900000000372529","0","73.20000000111759","0","-1",""
"25","http://localhost:8080/","2024-12-8","10:25:38","836","5848","1049","82.5","9.099999999627471","0","82.5","0","-1",""
"26","http://localhost:8080/","2024-12-8","10:25:44","849","5861","1095.6999999973923","75.79999999888241","10","0","75.79999999888241","0","-1",""
"27","http://localhost:8080/","2024-12-8","10:25:51","1002","6014","1562.0999999996275","71.79999999888241","11.799999998882413","0","71.79999999888241","0","-1",""
"28","http://localhost:8080/","2024-12-8","10:25:57","988","5994","1503.0000000018626","68.20000000111759","6.200000001117587","0","68.20000000111759","0","-1",""
"29","http://localhost:8080/","2024-12-8","10:26:04","833","5845","1034.0000000018626","76.20000000111759","7.800000000745058","0","76.20000000111759","0","-1",""
"30","http://localhost:8080/","2024-12-8","10:26:10","981","5990","1483","85.69999999925494","10.199999999254942","0","85.69999999925494","0","-1",""
"31","http://localhost:8080/","2024-12-8","10:26:17","1040","6051","1665.0999999959022","72.19999999925494","10.599999999627471","0","72.19999999925494","0","-1",""
"32","http://localhost:8080/","2024-12-8","10:26:24","898","5911","1232.3999999985099","75.79999999888241","8.599999999627471","0","75.79999999888241","0","-1",""
"33","http://localhost:8080/","2024-12-8","10:26:30","946","5958","1384.8000000026077","70.70000000111759","9.200000001117587","0","70.70000000111759","0","-1",""
"34","http://localhost:8080/","2024-12-8","10:26:37","996","6008","1529.4000000022352","85.10000000149012","7.700000001117587","0","85.10000000149012","0","-1",""
"35","http://localhost:8080/","2024-12-8","10:26:43","816","5829","988.3999999985099","69.39999999850988","8.099999999627471","0","69.39999999850988","0","-1",""
"36","http://localhost:8080/","2024-12-8","10:26:50","852","5864","1112.8000000026077","71.90000000037253","10.700000001117587","0","71.90000000037253","0","-1",""
"37","http://localhost:8080/","2024-12-8","10:26:56","832","5846","1037.9000000003725","70.5","8.5","0","70.5","0","-1",""
"38","http://localhost:8080/","2024-12-8","10:27:03","917","5928","1300.7000000029802","67.20000000111759","6.700000001117587","0","67.20000000111759","0","-1",""
"39","http://localhost:8080/","2024-12-8","10:27:09","777","5790","867.3999999985099","70.79999999888241","7.599999999627471","0","70.79999999888241","0","-1",""
"40","http://localhost:8080/","2024-12-8","10:27:16","836","5848","1064.199999999255","72.29999999888241","7.199999999254942","0","72.29999999888241","0","-1",""
"41","http://localhost:8080/","2024-12-8","10:27:22","810","5823","965.9000000003725","72.69999999925494","10.199999999254942","0","72.69999999925494","0","-1",""
"42","http://localhost:8080/","2024-12-8","10:27:29","1043","6055","1675.3000000026077","67.20000000111759","5.800000000745058","0","67.20000000111759","0","-1",""
"43","http://localhost:8080/","2024-12-8","10:27:35","852","5864","1096.699999999255","72.09999999962747","8.099999999627471","0","72.09999999962747","0","-1",""
"44","http://localhost:8080/","2024-12-8","10:27:42","1074","6086","1770.8999999966472","74.79999999888241","7.199999999254942","0","74.79999999888241","0","-1",""
"45","http://localhost:8080/","2024-12-8","10:27:49","1218","6230","2192.2000000011176","72.40000000037253","6.800000000745058","0","72.40000000037253","0","-1",""
"46","http://localhost:8080/","2024-12-8","10:27:56","993","6003","1524.1000000014901","74.70000000111759","8.400000000372529","0","74.70000000111759","0","-1",""
"47","http://localhost:8080/","2024-12-8","10:28:02","895","5908","1234.7000000011176","70.90000000037253","8.5","0","70.90000000037253","0","-1",""
