idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-5","19:09:35","6599","11616","18279.90000000596","1115.300000011921","332.1000000089407","49","5327.100000008941","1","99",""
"2","http://localhost:8080/","2024-12-5","19:09:48","6535","11546","18107.399999976158","1086.5999999940395","332.3999999910593","43","5280.79999999702","1","93",""
"3","http://localhost:8080/","2024-12-5","19:10:00","6521","11534","18065.200000032783","1076.800000011921","325.1000000089407","42","5275.600000008941","1","92",""
"4","http://localhost:8080/","2024-12-5","19:10:12","6528","11540","18071.90000000596","1088.5","332.29999999701977","41","5278.20000000298","1","91",""
"5","http://localhost:8080/","2024-12-5","19:10:24","6530","11542","18088.40000000596","1092.2000000029802","333.59999999403954","47","5267.70000000298","1","97",""
"6","http://localhost:8080/","2024-12-5","19:10:36","6523","11536","18069.500000029802","1087.1000000089407","332.6000000089407","39","5273","1","89",""
"7","http://localhost:8080/","2024-12-5","19:10:48","6544","11555","18144.90000000596","1096.7000000029802","332.59999999403954","43","5285.79999999702","1","93",""
"8","http://localhost:8080/","2024-12-5","19:11:00","6522","11534","18056.60000000894","1092.2000000029802","332.90000000596046","42","5278.600000008941","1","92",""
"9","http://localhost:8080/","2024-12-5","19:11:13","6522","11535","18046.9999999851","1087.2999999970198","332.5","41","5269.399999991059","1","91",""
"10","http://localhost:8080/","2024-12-5","19:11:25","6521","11535","18040.10000000894","1093","332.29999999701977","41","5276.5","1","91",""
"11","http://localhost:8080/","2024-12-5","19:11:37","6514","11526","18052.70000001788","1074.2000000029802","325.40000000596046","39","5260.4000000059605","1","89",""
"12","http://localhost:8080/","2024-12-5","19:11:49","6527","11540","18087.89999999106","1092.7999999970198","332.5","41","5269","1","91",""
"13","http://localhost:8080/","2024-12-5","19:12:01","6509","11520","18016.9999999851","1084.8999999910593","332.8999999910593","40","5260.899999991059","1","90",""
"14","http://localhost:8080/","2024-12-5","19:12:13","6520","11531","18050.9999999851","1081.199999988079","332.59999999403954","41","5276.5","1","91",""
"15","http://localhost:8080/","2024-12-5","19:12:25","6534","11546","18085.30000001192","1091.1000000089407","332.70000000298023","41","5283.4000000059605","1","91",""
"16","http://localhost:8080/","2024-12-5","19:12:37","6557","11566","18174.9999999851","1088.5999999940395","332.29999999701977","42","5299.399999991059","1","92",""
"17","http://localhost:8080/","2024-12-5","19:12:50","6516","11527","18055.5","1082.9000000059605","332.90000000596046","39","5261","1","89",""
"18","http://localhost:8080/","2024-12-5","19:13:02","6521","11532","18065.399999976158","1093.7000000029802","325.5","42","5279.899999991059","1","92",""
"19","http://localhost:8080/","2024-12-5","19:13:14","6537","11548","18119.80000001192","1088","332.90000000596046","42","5285.600000008941","1","92",""
"20","http://localhost:8080/","2024-12-5","19:13:26","6537","11549","18121.09999997914","1088.7000000029802","332.5","41","5276.5","1","91",""
"21","http://localhost:8080/","2024-12-5","19:13:38","6520","11533","18064.20000000298","1084.6000000089407","332.79999999701977","41","5269.100000008941","1","91",""
"22","http://localhost:8080/","2024-12-5","19:13:50","6528","11540","18065.09999999404","1092.699999988079","333","41","5276.899999991059","1","91",""
"23","http://localhost:8080/","2024-12-5","19:14:02","6529","11540","18102.70000000298","1082.7000000029802","332.79999999701977","41","5269.0999999940395","1","91",""
"24","http://localhost:8080/","2024-12-5","19:14:15","6522","11533","18080.20000000298","1091.6000000089407","333","41","5275.70000000298","1","91",""
"25","http://localhost:8080/","2024-12-5","19:14:27","6508","11519","18034.5000000149","1085.0999999940395","325.5","41","5261.79999999702","1","91",""
