idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","06:55:57","1093","6115","1852.199999999255","251.39999999990687","151.5","0","251.39999999990687","0","-1",""
"2","http://localhost:8080/","2024-12-6","06:56:03","1006","6021","1605.9000000003725","82.10000000009313","18.299999999813735","0","82.10000000009313","0","-1",""
"3","http://localhost:8080/","2024-12-6","06:56:10","947","5959","1406.699999999255","99.39999999990687","12","0","99.39999999990687","0","-1",""
"4","http://localhost:8080/","2024-12-6","06:56:17","772","5779","914.5000000004657","106.10000000009313","19","0","106.10000000009313","0","-1",""
"5","http://localhost:8080/","2024-12-6","06:56:23","892","5906","1272.1999999997206","92.39999999990687","17.699999999720603","0","92.39999999990687","0","-1",""
"6","http://localhost:8080/","2024-12-6","06:56:30","788","5801","954","77.60000000009313","15.100000000093132","0","77.60000000009313","0","-1",""
"7","http://localhost:8080/","2024-12-6","06:56:36","724","5736","754.9999999990687","98.5","9.299999999813735","0","98.5","0","-1",""
"8","http://localhost:8080/","2024-12-6","06:56:43","1027","6040","1662.4000000003725","100.90000000037253","15.800000000279397","0","100.90000000037253","0","-1",""
"9","http://localhost:8080/","2024-12-6","06:56:49","859","5870","1179.9000000008382","73.40000000037253","10.800000000279397","0","73.40000000037253","0","-1",""
"10","http://localhost:8080/","2024-12-6","06:56:56","893","5905","1247.0999999996275","96.09999999962747","13.099999999627471","0","96.09999999962747","0","-1",""
"11","http://localhost:8080/","2024-12-6","06:57:03","843","5854","1114.0000000009313","101.5","14","0","101.5","0","-1",""
"12","http://localhost:8080/","2024-12-6","06:57:09","834","5841","1098.0000000004657","100.79999999981374","13.399999999906868","0","100.79999999981374","0","-1",""
"13","http://localhost:8080/","2024-12-6","06:57:16","944","5956","1424.0000000004657","104.8000000002794","20.200000000186265","0","104.8000000002794","0","-1",""
"14","http://localhost:8080/","2024-12-6","06:57:22","790","5803","974.5000000004657","104.89999999990687","32.10000000009313","0","104.89999999990687","0","-1",""
"15","http://localhost:8080/","2024-12-6","06:57:29","827","5840","1084.5999999996275","97.10000000009313","8.600000000093132","0","97.10000000009313","0","-1",""
"16","http://localhost:8080/","2024-12-6","06:57:35","822","5835","1038.0999999996275","109.70000000018626","25.600000000093132","0","109.70000000018626","0","-1",""
"17","http://localhost:8080/","2024-12-6","06:57:42","862","5875","1192.9000000003725","94.39999999990687","8.899999999906868","0","94.39999999990687","0","-1",""
"18","http://localhost:8080/","2024-12-6","06:57:48","810","5821","1027.4000000003725","94.5","9.300000000279397","0","94.5","0","-1",""
"19","http://localhost:8080/","2024-12-6","06:57:55","1105","6116","1914.1000000000931","89.70000000018626","7.100000000093132","0","89.70000000018626","0","-1",""
"20","http://localhost:8080/","2024-12-6","06:58:02","982","5994","1456.6000000000931","82.3000000002794","9.400000000372529","0","82.3000000002794","0","-1",""
"21","http://localhost:8080/","2024-12-6","06:58:08","880","5894","1215.799999999348","68.6999999997206","9.199999999720603","0","68.6999999997206","0","-1",""
"22","http://localhost:8080/","2024-12-6","06:58:15","988","6001","1550.5999999996275","80.29999999981374","9","0","80.29999999981374","0","-1",""
"23","http://localhost:8080/","2024-12-6","06:58:22","826","5839","1073.5999999996275","92.60000000009313","9.199999999720603","0","92.60000000009313","0","-1",""
"24","http://localhost:8080/","2024-12-6","06:58:28","982","5995","1551.2999999998137","97.1999999997206","9.699999999720603","0","97.1999999997206","0","-1",""
"25","http://localhost:8080/","2024-12-6","06:58:35","925","5937","1370.6999999997206","87","12.200000000186265","0","87","0","-1",""
"26","http://localhost:8080/","2024-12-6","06:58:41","810","5823","1044","94.8000000002794","8.300000000279397","0","94.8000000002794","0","-1",""
"27","http://localhost:8080/","2024-12-6","06:58:48","1057","6071","1768.9000000003725","86.5","9.100000000093132","0","86.5","0","-1",""
"28","http://localhost:8080/","2024-12-6","06:58:55","985","5998","1542.1000000000931","94.10000000009313","7.7999999998137355","0","94.10000000009313","0","-1",""
"29","http://localhost:8080/","2024-12-6","06:59:01","1114","6126","1911.4999999995343","67","7.600000000093132","0","67","0","-1",""
