idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","17:59:04","6514","11529","4909.60000000149","1441.6000000014901","653.7999999970198","23","5639","1","73",""
"2","http://localhost:8080/","2024-12-6","17:59:16","6150","11161","3671.5999999940395","1121","361.1000000014901","45","5308.79999999702","1","95",""
"3","http://localhost:8080/","2024-12-6","17:59:28","6149","11161","3692.699999988079","1119.6999999955297","361.3999999985099","43","5308","1","93",""
"4","http://localhost:8080/","2024-12-6","17:59:40","6150","11160","3610.89999999851","1101.6999999955297","362.79999999701977","43","5307.5999999940395","1","93",""
"5","http://localhost:8080/","2024-12-6","17:59:52","6170","11182","3666.9000000059605","1126.5","362.70000000298023","19","5297.60000000149","1","69",""
"6","http://localhost:8080/","2024-12-6","18:00:03","6142","11153","3846.5","1096.8000000044703","360.6000000014901","17","5272.20000000298","1","67",""
"7","http://localhost:8080/","2024-12-6","18:00:15","6142","11152","3627","1105.1000000014901","355.20000000298023","44","5302.39999999851","1","94",""
"8","http://localhost:8080/","2024-12-6","18:00:27","6150","11162","3675.10000000149","1106.1000000014901","362","44","5308.5","1","94",""
"9","http://localhost:8080/","2024-12-6","18:00:39","6149","11160","3697.89999999851","1117","363","45","5310.69999999553","1","95",""
"10","http://localhost:8080/","2024-12-6","18:00:50","6112","11125","3647.9000000059605","1112.8999999985099","362.80000000447035","20","5241.20000000298","1","70",""
"11","http://localhost:8080/","2024-12-6","18:01:02","6143","11155","3615.3000000044703","1103.3000000044703","355.80000000447035","19","5276.39999999851","1","69",""
"12","http://localhost:8080/","2024-12-6","18:01:14","6156","11167","3595.1000000089407","1113.1000000014901","361.3999999985099","19","5285","1","69",""
"13","http://localhost:8080/","2024-12-6","18:01:26","6151","11160","3545.599999986589","1112.0999999940395","362.09999999403954","46","5303.29999999702","1","96",""
"14","http://localhost:8080/","2024-12-6","18:01:37","6157","11169","3609.4999999925494","1112.6999999955297","362.69999999552965","45","5311.0999999940395","1","95",""
"15","http://localhost:8080/","2024-12-6","18:01:49","6170","11182","3849.900000013411","1105.9000000059605","355.5","18","5297.80000000447","1","68",""
"16","http://localhost:8080/","2024-12-6","18:02:01","6148","11158","3648.89999999851","1113.2999999970198","362.5","18","5276.5","1","68",""
"17","http://localhost:8080/","2024-12-6","18:02:13","6133","11142","3591.9999999925494","1112.1000000014901","362.19999999552965","19","5262.69999999553","1","69",""
