idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/home/","2024-12-7","15:37:52","7687","12716","3375.60000000149","631.4000000059605","324.5","283","6222.4000000059605","3","245",""
"2","http://localhost:8080/home/","2024-12-7","15:38:06","7379","12403","2937.000000014901","444.30000000447035","218.70000000298023","179","5924.30000000447","3","165",""
"3","http://localhost:8080/home/","2024-12-7","15:38:19","7375","12398","2966.2999999821186","427","219.19999999552965","177","5923.69999999553","3","166",""
"4","http://localhost:8080/home/","2024-12-7","15:38:32","7372","12395","2953.199999988079","424.09999999403954","219.09999999403954","178","5919.5999999940395","3","167",""
"5","http://localhost:8080/home/","2024-12-7","15:38:45","7381","12404","2972.5999999940395","422.3999999985099","218.5","170","5916.5999999940395","3","163",""
"6","http://localhost:8080/home/","2024-12-7","15:38:58","7394","12418","2954.2999999970198","424.69999999552965","219.09999999403954","176","5933.79999999702","3","168",""
"7","http://localhost:8080/home/","2024-12-7","15:39:11","7380","12403","2976.199999988079","432","219.5","177","5920.89999999851","3","165",""
"8","http://localhost:8080/home/","2024-12-7","15:39:24","7381","12404","2968.2999999970198","428.1000000014901","219","175","5909","3","167",""
"9","http://localhost:8080/home/","2024-12-7","15:39:37","7395","12416","2917.0000000074506","427.20000000298023","218.70000000298023","174","5921.39999999851","3","164",""
"10","http://localhost:8080/home/","2024-12-7","15:39:50","7365","12392","2915.1999999955297","426.8999999985099","217.10000000149012","175","5911.5","3","164",""
"11","http://localhost:8080/home/","2024-12-7","15:40:03","7403","12429","2955","441.40000000596046","226.20000000298023","176","5929.70000000298","3","170",""
"12","http://localhost:8080/home/","2024-12-7","15:40:16","7380","12404","2927.5999999940395","423.5","219.59999999403954","174","5917","3","164",""
"13","http://localhost:8080/home/","2024-12-7","15:40:29","7396","12421","2967.8000000044703","427.30000000447035","219.10000000149012","173","5926.70000000298","3","162",""
"14","http://localhost:8080/home/","2024-12-7","15:40:42","7376","12402","2941.5999999940395","427.5","219","180","5920.20000000298","3","169",""
"15","http://localhost:8080/home/","2024-12-7","15:40:55","7375","12398","2997.3999999910593","446.3999999985099","226.5","179","5913","3","168",""
"16","http://localhost:8080/home/","2024-12-7","15:41:08","7388","12412","2943.5","428.1000000014901","218.39999999850988","178","5923.39999999851","3","170",""
"17","http://localhost:8080/home/","2024-12-7","15:41:21","7386","12409","2950.700000010431","430.80000000447035","219.10000000149012","175","5921.20000000298","3","164",""
"18","http://localhost:8080/home/","2024-12-7","15:41:34","7374","12402","2961.6000000089407","436","219.5","172","5906.9000000059605","3","163",""
"19","http://localhost:8080/home/","2024-12-7","15:41:47","7417","12439","2973.4999999925494","430.69999999552965","226.19999999552965","182","5949.69999999553","3","167",""
"20","http://localhost:8080/home/","2024-12-7","15:42:00","7401","12423","2998","439.29999999701977","226.10000000149012","178","5930.29999999702","3","168",""
"21","http://localhost:8080/home/","2024-12-7","15:42:13","7396","12418","2985.1000000089407","441.80000000447035","226.70000000298023","173","5932.5","3","163",""
"22","http://localhost:8080/home/","2024-12-7","15:42:26","7390","12414","2985.6999999955297","433.70000000298023","226.29999999701977","181","5935.79999999702","3","171",""
"23","http://localhost:8080/home/","2024-12-7","15:42:39","7404","12424","2989.5999999940395","435.20000000298023","226.10000000149012","178","5940.60000000149","3","165",""
"24","http://localhost:8080/home/","2024-12-7","15:42:52","7397","12419","2978.8000000044703","441.29999999701977","226.60000000149012","171","5916.10000000149","3","164",""
"25","http://localhost:8080/home/","2024-12-7","15:43:05","7468","12491","3019.299999989569","455","226","173","5988.89999999851","3","163",""
"26","http://localhost:8080/home/","2024-12-7","15:43:18","7446","12467","3033.60000000149","441","226.30000000447035","171","5966.80000000447","3","164",""
"27","http://localhost:8080/home/","2024-12-7","15:43:31","7453","12476","2993.7999999970198","429","226.60000000149012","167","5975.10000000149","3","160",""
"28","http://localhost:8080/home/","2024-12-7","15:43:44","7442","12464","3024.700000010431","439.20000000298023","228.5","175","5969.10000000149","3","164",""
