idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-5","17:13:44","LCP","6643.70000000298","19899.79999999702","13256.09999999404","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","6612.399999991059","6643.70000000298"
"1","http://localhost:8080/","2024-12-5","17:13:44","longTask","1090.5","1192.5","102","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-5","17:13:44","longTask","1195.2000000029802","1309.2000000029802","114","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-5","17:13:44","longTask","5564.79999999702","5805.79999999702","241","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-5","17:13:57","LCP","6489.399999991059","19441.699999973178","12952.299999982119","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","6462.899999991059","6489.399999991059"
"2","http://localhost:8080/","2024-12-5","17:13:57","longTask","1074.5","1165.5","91","unknown","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-5","17:13:57","longTask","1168","1241","73","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-5","17:13:57","longTask","5474.399999991059","5711.399999991059","237","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-5","17:14:09","LCP","6473.29999999702","19389.09999999404","12915.79999999702","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","6442.5","6473.29999999702"
"3","http://localhost:8080/","2024-12-5","17:14:09","longTask","1066.9000000059605","1150.9000000059605","84","unknown","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-5","17:14:09","longTask","1153.7999999970198","1226.7999999970198","73","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-5","17:14:09","longTask","5461.5","5692.5","231","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-5","17:14:22","LCP","6475.70000000298","19394.70000000298","12919","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","6443.29999999702","6475.70000000298"
"4","http://localhost:8080/","2024-12-5","17:14:22","longTask","1052.7000000029802","1134.7000000029802","82","unknown","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-5","17:14:22","longTask","1137.4000000059605","1210.4000000059605","73","self","-1","-1","-1","-1","-1"
