idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","19:46:10","LCP","1067.6999999955297","3112.099999986589","2044.3999999910593","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","976.6999999955297","1067.6999999955297"
"2","http://localhost:8080/","2024-12-6","19:46:17","LCP","452.29999999701977","1295.7999999970198","843.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","391.20000000298023","452.29999999701977"
"3","http://localhost:8080/","2024-12-6","19:46:24","LCP","583.7000000029802","1694.4000000059605","1110.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","527","583.7000000029802"
"4","http://localhost:8080/","2024-12-6","19:46:30","LCP","451.09999999403954","1292.199999988079","841.0999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","390","451.09999999403954"
"5","http://localhost:8080/","2024-12-6","19:46:37","LCP","301.59999999403954","848.7999999821186","547.1999999880791","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","245.59999999403954","301.59999999403954"
"6","http://localhost:8080/","2024-12-6","19:46:43","LCP","288.70000000298023","809.7000000104308","521.0000000074506","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","232.30000000447035","288.70000000298023"
"7","http://localhost:8080/","2024-12-6","19:46:50","LCP","330.3999999985099","933.3999999985099","603","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","272.6000000014901","330.3999999985099"
"8","http://localhost:8080/","2024-12-6","19:46:56","LCP","533.2000000029802","1537.0000000074506","1003.8000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","470.6000000014901","533.2000000029802"
"9","http://localhost:8080/","2024-12-6","19:47:03","LCP","362.20000000298023","1026.9000000059605","664.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","302.5","362.20000000298023"
"10","http://localhost:8080/","2024-12-6","19:47:10","LCP","500.20000000298023","1440.1000000089407","939.9000000059605","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","439.70000000298023","500.20000000298023"
"11","http://localhost:8080/","2024-12-6","19:47:16","LCP","303.6000000014901","848.2000000029802","544.6000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","241","303.6000000014901"
"12","http://localhost:8080/","2024-12-6","19:47:23","LCP","508.09999999403954","1467.199999988079","959.0999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","451","508.09999999403954"
"13","http://localhost:8080/","2024-12-6","19:47:30","LCP","530.2999999970198","1533.9999999925494","1003.6999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","473.3999999985099","530.2999999970198"
"14","http://localhost:8080/","2024-12-6","19:47:36","LCP","511.90000000596046","1478.900000013411","967.0000000074506","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","455.1000000014901","511.90000000596046"
"15","http://localhost:8080/","2024-12-6","19:47:43","LCP","416.79999999701977","1190.8999999910593","774.0999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","357.29999999701977","416.79999999701977"
"16","http://localhost:8080/","2024-12-6","19:47:49","LCP","377.5","1068.2000000029802","690.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","313.20000000298023","377.5"
"17","http://localhost:8080/","2024-12-6","19:47:56","LCP","415.6000000014901","1188.7000000029802","773.1000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","357.5","415.6000000014901"
"18","http://localhost:8080/","2024-12-6","19:48:03","LCP","609.3999999985099","1773.6999999955297","1164.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","554.8999999985099","609.3999999985099"
"19","http://localhost:8080/","2024-12-6","19:48:09","LCP","383.69999999552965","1090.9999999925494","707.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","323.6000000014901","383.69999999552965"
"20","http://localhost:8080/","2024-12-6","19:48:16","LCP","254.19999999552965","709.6999999880791","455.4999999925494","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","201.29999999701977","254.19999999552965"
"21","http://localhost:8080/","2024-12-6","19:48:22","LCP","341.3999999985099","967.8999999910593","626.4999999925494","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","285.09999999403954","341.3999999985099"
"22","http://localhost:8080/","2024-12-6","19:48:29","LCP","406.3999999985099","1161.1999999955297","754.7999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","348.3999999985099","406.3999999985099"
"23","http://localhost:8080/","2024-12-6","19:48:35","LCP","315.8999999985099","891","575.1000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","259.20000000298023","315.8999999985099"
"24","http://localhost:8080/","2024-12-6","19:48:42","LCP","359.1000000014901","1020.8000000044703","661.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","302.6000000014901","359.1000000014901"
"25","http://localhost:8080/","2024-12-6","19:48:48","LCP","547.5","1581.8999999985099","1034.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","486.8999999985099","547.5"
