idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/home/","2024-12-7","17:36:45","LCP","1089.6000000014901","3254.0000000074506","2164.4000000059605","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1074.8000000044703","1089.6000000014901"
"1","http://localhost:8080/home/","2024-12-7","17:36:45","longTask","403.20000000298023","454.20000000298023","51","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/home/","2024-12-7","17:36:45","longTask","1534.2000000029802","1611.2000000029802","77","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/home/","2024-12-7","17:36:58","LCP","993.2000000029802","2963.7000000029802","1970.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","977.2999999970198","993.2000000029802"
"2","http://localhost:8080/home/","2024-12-7","17:36:58","longTask","1429.1000000014901","1494.1000000014901","65","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/home/","2024-12-7","17:37:10","LCP","982.3000000044703","2927.6000000089407","1945.3000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","963","982.3000000044703"
"3","http://localhost:8080/home/","2024-12-7","17:37:10","longTask","1424","1487","63","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/home/","2024-12-7","17:37:23","LCP","991.1999999955297","2953.299999989569","1962.0999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.8999999985099","991.1999999955297"
"4","http://localhost:8080/home/","2024-12-7","17:37:23","longTask","1422.8999999985099","1486.8999999985099","64","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/home/","2024-12-7","17:37:35","LCP","973.6000000014901","2902.60000000149","1929","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","955.3999999985099","973.6000000014901"
"5","http://localhost:8080/home/","2024-12-7","17:37:35","longTask","1414.8999999985099","1478.8999999985099","64","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/home/","2024-12-7","17:37:48","LCP","986.5","2943.7999999970198","1957.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.7999999970198","986.5"
"6","http://localhost:8080/home/","2024-12-7","17:37:48","longTask","1422.7999999970198","1485.7999999970198","63","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/home/","2024-12-7","17:38:01","LCP","972.8999999985099","2901.89999999851","1929","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","956.1000000014901","972.8999999985099"
"7","http://localhost:8080/home/","2024-12-7","17:38:01","longTask","1415.5","1478.5","63","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/home/","2024-12-7","17:38:13","LCP","986.3999999985099","2943.4999999925494","1957.0999999940395","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.6999999955297","986.3999999985099"
"8","http://localhost:8080/home/","2024-12-7","17:38:13","longTask","1422.1999999955297","1486.1999999955297","64","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/home/","2024-12-7","17:38:26","LCP","993.1000000014901","2963.5","1970.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","977.2999999970198","993.1000000014901"
"9","http://localhost:8080/home/","2024-12-7","17:38:26","longTask","1429.2000000029802","1494.2000000029802","65","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/home/","2024-12-7","17:38:38","LCP","979","2921.2999999970198","1942.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","963.2999999970198","979"
"10","http://localhost:8080/home/","2024-12-7","17:38:38","longTask","1421.1999999955297","1485.1999999955297","64","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/home/","2024-12-7","17:38:51","LCP","986.5","2942.89999999851","1956.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","969.8999999985099","986.5"
"11","http://localhost:8080/home/","2024-12-7","17:38:51","longTask","1429.2999999970198","1493.2999999970198","64","self","-1","-1","-1","-1","-1"
"12","http://localhost:8080/home/","2024-12-7","17:39:03","LCP","992.1000000014901","2961","1968.8999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","976.7999999970198","992.1000000014901"
"12","http://localhost:8080/home/","2024-12-7","17:39:03","longTask","1429.3999999985099","1492.3999999985099","63","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/home/","2024-12-7","17:39:16","LCP","1000","2978","1978","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","978","1000"
"13","http://localhost:8080/home/","2024-12-7","17:39:16","longTask","1429.1000000014901","1493.1000000014901","64","self","-1","-1","-1","-1","-1"
"14","http://localhost:8080/home/","2024-12-7","17:39:29","LCP","997.7999999970198","2973.1999999955297","1975.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","977.6000000014901","997.7999999970198"
"14","http://localhost:8080/home/","2024-12-7","17:39:29","longTask","1430.2000000029802","1495.2000000029802","65","self","-1","-1","-1","-1","-1"
"15","http://localhost:8080/home/","2024-12-7","17:39:41","LCP","992.8000000044703","2962.800000011921","1970.0000000074506","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","977.2000000029802","992.8000000044703"
"15","http://localhost:8080/home/","2024-12-7","17:39:41","longTask","1430.4000000059605","1493.4000000059605","63","self","-1","-1","-1","-1","-1"
"16","http://localhost:8080/home/","2024-12-7","17:39:54","LCP","992.7000000029802","2962.200000010431","1969.5000000074506","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","976.8000000044703","992.7000000029802"
"16","http://localhost:8080/home/","2024-12-7","17:39:54","longTask","1429.1000000014901","1495.1000000014901","66","self","-1","-1","-1","-1","-1"
"17","http://localhost:8080/home/","2024-12-7","17:40:07","LCP","987.1000000014901","2944.4000000059605","1957.3000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.2000000029802","987.1000000014901"
"17","http://localhost:8080/home/","2024-12-7","17:40:07","longTask","1423.7000000029802","1486.7000000029802","63","self","-1","-1","-1","-1","-1"
"18","http://localhost:8080/home/","2024-12-7","17:40:19","LCP","987","2944.7000000029802","1957.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.7000000029802","987"
"18","http://localhost:8080/home/","2024-12-7","17:40:19","longTask","1423","1489","66","self","-1","-1","-1","-1","-1"
"19","http://localhost:8080/home/","2024-12-7","17:40:32","LCP","991","2952.5","1961.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.5","991"
"19","http://localhost:8080/home/","2024-12-7","17:40:32","longTask","1415.0999999940395","1480.0999999940395","65","self","-1","-1","-1","-1","-1"
"20","http://localhost:8080/home/","2024-12-7","17:40:44","LCP","986.8999999985099","2944.7999999970198","1957.8999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971","986.8999999985099"
"20","http://localhost:8080/home/","2024-12-7","17:40:44","longTask","1422.8999999985099","1484.8999999985099","62","self","-1","-1","-1","-1","-1"
"21","http://localhost:8080/home/","2024-12-7","17:40:57","LCP","993","2962.89999999851","1969.8999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","976.8999999985099","993"
"21","http://localhost:8080/home/","2024-12-7","17:40:57","longTask","1429.7999999970198","1493.7999999970198","64","self","-1","-1","-1","-1","-1"
"22","http://localhost:8080/home/","2024-12-7","17:41:09","LCP","992.6000000014901","2962.3000000044703","1969.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","977.1000000014901","992.6000000014901"
"22","http://localhost:8080/home/","2024-12-7","17:41:09","longTask","1429.6000000014901","1492.6000000014901","63","self","-1","-1","-1","-1","-1"
"23","http://localhost:8080/home/","2024-12-7","17:41:22","LCP","984.5999999940395","2939.599999986589","1954.9999999925494","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.3999999985099","984.5999999940395"
"23","http://localhost:8080/home/","2024-12-7","17:41:22","longTask","1429.5","1493.5","64","self","-1","-1","-1","-1","-1"
"24","http://localhost:8080/home/","2024-12-7","17:41:35","LCP","990.8999999985099","2952.39999999851","1961.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.6000000014901","990.8999999985099"
"24","http://localhost:8080/home/","2024-12-7","17:41:35","longTask","1414.7000000029802","1476.7000000029802","62","self","-1","-1","-1","-1","-1"
"25","http://localhost:8080/home/","2024-12-7","17:41:47","LCP","977.5","2917.2999999970198","1939.7999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","962.2999999970198","977.5"
"25","http://localhost:8080/home/","2024-12-7","17:41:47","longTask","1430.1000000014901","1494.1000000014901","64","self","-1","-1","-1","-1","-1"
"26","http://localhost:8080/home/","2024-12-7","17:42:00","LCP","988.8000000044703","2946.900000013411","1958.1000000089407","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","969.3000000044703","988.8000000044703"
"26","http://localhost:8080/home/","2024-12-7","17:42:00","longTask","1429","1492","63","self","-1","-1","-1","-1","-1"
"27","http://localhost:8080/home/","2024-12-7","17:42:13","LCP","1007.8000000044703","2994.6000000089407","1986.8000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","979","1007.8000000044703"
"27","http://localhost:8080/home/","2024-12-7","17:42:13","longTask","1431","1493","62","self","-1","-1","-1","-1","-1"
"28","http://localhost:8080/home/","2024-12-7","17:42:25","LCP","995","2960.60000000149","1965.6000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.6000000014901","995"
"28","http://localhost:8080/home/","2024-12-7","17:42:25","longTask","1431.1000000014901","1493.1000000014901","62","self","-1","-1","-1","-1","-1"
"29","http://localhost:8080/home/","2024-12-7","17:42:38","LCP","993.7000000029802","2958.8000000044703","1965.1000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971.3999999985099","993.7000000029802"
"29","http://localhost:8080/home/","2024-12-7","17:42:38","longTask","1430.2000000029802","1491.2000000029802","61","self","-1","-1","-1","-1","-1"
"30","http://localhost:8080/home/","2024-12-7","17:42:51","LCP","988.2999999970198","2946.6999999955297","1958.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.1000000014901","988.2999999970198"
"30","http://localhost:8080/home/","2024-12-7","17:42:51","longTask","1424.1000000014901","1486.1000000014901","62","self","-1","-1","-1","-1","-1"
"31","http://localhost:8080/home/","2024-12-7","17:43:03","LCP","988.6000000014901","2947.7000000029802","1959.1000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970.5","988.6000000014901"
"31","http://localhost:8080/home/","2024-12-7","17:43:03","longTask","1424.1000000014901","1492.1000000014901","68","self","-1","-1","-1","-1","-1"
"32","http://localhost:8080/home/","2024-12-7","17:43:16","LCP","992.1000000014901","2956.2000000029802","1964.1000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","972","992.1000000014901"
"32","http://localhost:8080/home/","2024-12-7","17:43:16","longTask","1423.3000000044703","1484.3000000044703","61","self","-1","-1","-1","-1","-1"
"33","http://localhost:8080/home/","2024-12-7","17:43:28","LCP","991.8999999985099","2955.39999999851","1963.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971.6000000014901","991.8999999985099"
"33","http://localhost:8080/home/","2024-12-7","17:43:28","longTask","1423.3999999985099","1486.3999999985099","63","self","-1","-1","-1","-1","-1"
"34","http://localhost:8080/home/","2024-12-7","17:43:41","LCP","988","2946","1958","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","970","988"
"34","http://localhost:8080/home/","2024-12-7","17:43:41","longTask","1423.6999999955297","1485.6999999955297","62","self","-1","-1","-1","-1","-1"
"35","http://localhost:8080/home/","2024-12-7","17:43:54","LCP","983","2929.6999999955297","1946.6999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","963.6999999955297","983"
"35","http://localhost:8080/home/","2024-12-7","17:43:54","longTask","1437.2999999970198","1503.2999999970198","66","self","-1","-1","-1","-1","-1"
"36","http://localhost:8080/home/","2024-12-7","17:44:06","LCP","997.8999999985099","2973.2999999970198","1975.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","977.5","997.8999999985099"
"36","http://localhost:8080/home/","2024-12-7","17:44:06","longTask","1428.5999999940395","1490.5999999940395","62","self","-1","-1","-1","-1","-1"
"37","http://localhost:8080/home/","2024-12-7","17:44:19","LCP","992.5","2961.5","1969","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","976.5","992.5"
"37","http://localhost:8080/home/","2024-12-7","17:44:19","longTask","1423.6999999955297","1485.6999999955297","62","self","-1","-1","-1","-1","-1"
"38","http://localhost:8080/home/","2024-12-7","17:44:32","LCP","999.9000000059605","2979.7000000178814","1979.800000011921","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","979.9000000059605","999.9000000059605"
"38","http://localhost:8080/home/","2024-12-7","17:44:32","longTask","1431.2000000029802","1493.2000000029802","62","self","-1","-1","-1","-1","-1"
"39","http://localhost:8080/home/","2024-12-7","17:44:44","LCP","988.1000000014901","2947.9000000059605","1959.8000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971.7000000029802","988.1000000014901"
"39","http://localhost:8080/home/","2024-12-7","17:44:44","longTask","1424.3999999985099","1487.3999999985099","63","self","-1","-1","-1","-1","-1"
"40","http://localhost:8080/home/","2024-12-7","17:44:57","LCP","1002.3999999985099","2991.0999999940395","1988.6999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","986.2999999970198","1002.3999999985099"
"40","http://localhost:8080/home/","2024-12-7","17:44:57","longTask","1437.8999999985099","1501.8999999985099","64","self","-1","-1","-1","-1","-1"
"41","http://localhost:8080/home/","2024-12-7","17:45:10","LCP","1010.5","3007.5","1997","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","986.5","1010.5"
"41","http://localhost:8080/home/","2024-12-7","17:45:10","longTask","1429.6999999955297","1491.6999999955297","62","self","-1","-1","-1","-1","-1"
"42","http://localhost:8080/home/","2024-12-7","17:45:22","LCP","1014.2000000029802","3014.5000000074506","2000.3000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","986.1000000014901","1014.2000000029802"
"42","http://localhost:8080/home/","2024-12-7","17:45:22","longTask","1428.2000000029802","1491.2000000029802","63","self","-1","-1","-1","-1","-1"
"43","http://localhost:8080/home/","2024-12-7","17:45:35","LCP","987.3999999985099","2946.3999999910593","1958.9999999925494","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971.5999999940395","987.3999999985099"
"43","http://localhost:8080/home/","2024-12-7","17:45:35","longTask","1431.5","1494.5","63","self","-1","-1","-1","-1","-1"
"44","http://localhost:8080/home/","2024-12-7","17:45:48","LCP","992.3000000044703","2961.1000000089407","1968.8000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","976.5","992.3000000044703"
"44","http://localhost:8080/home/","2024-12-7","17:45:48","longTask","1436.3000000044703","1498.3000000044703","62","self","-1","-1","-1","-1","-1"
"45","http://localhost:8080/home/","2024-12-7","17:46:00","LCP","984.8000000044703","2941.500000014901","1956.7000000104308","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","971.9000000059605","984.8000000044703"
"45","http://localhost:8080/home/","2024-12-7","17:46:00","longTask","1429.5","1492.5","63","self","-1","-1","-1","-1","-1"
"46","http://localhost:8080/home/","2024-12-7","17:46:13","LCP","978.1000000014901","2919.9000000059605","1941.8000000044703","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","963.7000000029802","978.1000000014901"
"46","http://localhost:8080/home/","2024-12-7","17:46:13","longTask","1430.8999999985099","1492.8999999985099","62","self","-1","-1","-1","-1","-1"
"47","http://localhost:8080/home/","2024-12-7","17:46:26","LCP","998.5","2977","1978.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","980","998.5"
"47","http://localhost:8080/home/","2024-12-7","17:46:26","longTask","1430.2000000029802","1492.2000000029802","62","self","-1","-1","-1","-1","-1"
"48","http://localhost:8080/home/","2024-12-7","17:46:38","LCP","984.7999999970198","2941.5999999940395","1956.7999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","972","984.7999999970198"
"48","http://localhost:8080/home/","2024-12-7","17:46:38","longTask","1429.2999999970198","1494.2999999970198","65","self","-1","-1","-1","-1","-1"
