idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-8","11:45:44","LCP","4557.10000000149","13658.30000000447","9101.20000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4544.10000000149","4557.10000000149"
"1","http://localhost:8080/","2024-12-8","11:45:44","longTask","3705.5","3803.5","98","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-8","11:45:55","LCP","4551.39999999851","13640.79999999702","9089.39999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4538","4551.39999999851"
"2","http://localhost:8080/","2024-12-8","11:45:55","longTask","3703.5","3797.5","94","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-8","11:46:06","LCP","4523","13555.900000002235","9032.900000002235","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4509.900000002235","4523"
"3","http://localhost:8080/","2024-12-8","11:46:06","longTask","3688.60000000149","3780.60000000149","92","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-8","11:46:16","LCP","4507.89999999851","13503.499999996275","8995.599999997765","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4487.699999999255","4507.89999999851"
"4","http://localhost:8080/","2024-12-8","11:46:16","longTask","3671.5","3760.5","89","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-8","11:46:27","LCP","4541.900000002235","13607.600000005215","9065.70000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4523.800000000745","4541.900000002235"
"5","http://localhost:8080/","2024-12-8","11:46:27","longTask","3705","3795","90","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-8","11:46:38","LCP","4564","13673.199999999255","9109.199999999255","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4545.199999999255","4564"
"6","http://localhost:8080/","2024-12-8","11:46:38","longTask","3715","3805","90","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-8","11:46:48","LCP","4550.70000000298","13632.40000000596","9081.70000000298","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4531","4550.70000000298"
"7","http://localhost:8080/","2024-12-8","11:46:48","longTask","3694.400000002235","3783.400000002235","89","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-8","11:46:59","LCP","4506.5","13501.400000002235","8994.900000002235","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","4488.400000002235","4506.5"
"8","http://localhost:8080/","2024-12-8","11:46:59","longTask","3674.300000000745","3764.300000000745","90","self","-1","-1","-1","-1","-1"
