idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-7","06:36:50","LCP","536.7999999998137","1542.199999999255","1005.3999999994412","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","468.59999999962747","536.7999999998137"
"2","http://localhost:8080/","2024-12-7","06:36:56","LCP","357.20000000018626","1012.1000000005588","654.9000000003725","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","297.70000000018626","357.20000000018626"
"3","http://localhost:8080/","2024-12-7","06:37:03","LCP","391.3000000002794","1119.9000000008382","728.6000000005588","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","337.3000000002794","391.3000000002794"
"4","http://localhost:8080/","2024-12-7","06:37:09","LCP","321.20000000018626","907.0000000004657","585.8000000002794","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","264.60000000009313","321.20000000018626"
"5","http://localhost:8080/","2024-12-7","06:37:16","LCP","338.70000000018626","958.4000000003725","619.7000000001863","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","281","338.70000000018626"
"6","http://localhost:8080/","2024-12-7","06:37:22","LCP","354.89999999990687","1005.0999999996275","650.1999999997206","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","295.29999999981374","354.89999999990687"
"7","http://localhost:8080/","2024-12-7","06:37:29","LCP","294.29999999981374","825.7999999993481","531.4999999995343","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","237.1999999997206","294.29999999981374"
"8","http://localhost:8080/","2024-12-7","06:37:35","LCP","343.5","973.7000000001863","630.2000000001863","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","286.70000000018626","343.5"
"9","http://localhost:8080/","2024-12-7","06:37:42","LCP","484.70000000018626","1440.2000000001863","955.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","470.79999999981374","484.70000000018626"
"10","http://localhost:8080/","2024-12-7","06:37:48","LCP","256.29999999981374","714.3999999994412","458.09999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","201.79999999981374","256.29999999981374"
"11","http://localhost:8080/","2024-12-7","06:37:55","LCP","521.1999999997206","1501.4999999990687","980.2999999993481","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","459.09999999962747","521.1999999997206"
"12","http://localhost:8080/","2024-12-7","06:38:02","LCP","479.39999999990687","1381.0999999996275","901.6999999997206","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","422.29999999981374","479.39999999990687"
"13","http://localhost:8080/","2024-12-7","06:38:08","LCP","486.60000000009313","1397.2000000001863","910.6000000000931","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","424","486.60000000009313"
"14","http://localhost:8080/","2024-12-7","06:38:15","LCP","587","1740.5","1153.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","566.5","587"
"15","http://localhost:8080/","2024-12-7","06:38:22","LCP","462.09999999962747","1330.3999999989755","868.2999999993481","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","406.1999999997206","462.09999999962747"
"16","http://localhost:8080/","2024-12-7","06:38:28","LCP","447.60000000009313","1287.2000000001863","839.6000000000931","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","392","447.60000000009313"
"17","http://localhost:8080/","2024-12-7","06:38:35","LCP","429.1999999997206","1228.0999999991618","798.8999999994412","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","369.6999999997206","429.1999999997206"
"18","http://localhost:8080/","2024-12-7","06:38:41","LCP","384","1091.5","707.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","323.5","384"
"19","http://localhost:8080/","2024-12-7","06:38:48","LCP","321.10000000009313","944","622.8999999999069","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","301.79999999981374","321.10000000009313"
"20","http://localhost:8080/","2024-12-7","06:38:54","LCP","612.2000000001863","1811.800000000745","1199.6000000005588","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","587.4000000003725","612.2000000001863"
"21","http://localhost:8080/","2024-12-7","06:39:01","LCP","546.8999999999069","1617.6999999997206","1070.7999999998137","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","523.8999999999069","546.8999999999069"
"22","http://localhost:8080/","2024-12-7","06:39:08","LCP","341.79999999981374","973.6999999992549","631.8999999994412","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","290.09999999962747","341.79999999981374"
"23","http://localhost:8080/","2024-12-7","06:39:14","LCP","362","1032.5","670.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","308.5","362"
"24","http://localhost:8080/","2024-12-7","06:39:21","LCP","463.29999999981374","1329.0999999996275","865.7999999998137","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","402.5","463.29999999981374"
"25","http://localhost:8080/","2024-12-7","06:39:27","LCP","498.5","1474.7000000001863","976.2000000001863","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","477.70000000018626","498.5"
"26","http://localhost:8080/","2024-12-7","06:39:34","LCP","430.3000000002794","1232.800000000745","802.5000000004657","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","372.20000000018626","430.3000000002794"
"27","http://localhost:8080/","2024-12-7","06:39:41","LCP","333.79999999981374","947.7999999993481","613.9999999995343","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","280.1999999997206","333.79999999981374"
"28","http://localhost:8080/","2024-12-7","06:39:47","LCP","444.89999999990687","1274.0999999996275","829.1999999997206","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","384.29999999981374","444.89999999990687"
"29","http://localhost:8080/","2024-12-7","06:39:54","LCP","514.7999999998137","1526.8999999994412","1012.0999999996275","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","497.29999999981374","514.7999999998137"
"30","http://localhost:8080/","2024-12-7","06:40:00","LCP","373.29999999981374","1063.2999999998137","690","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","316.70000000018626","373.29999999981374"
"31","http://localhost:8080/","2024-12-7","06:40:07","LCP","397.39999999990687","1172.7999999998137","775.3999999999069","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","378","397.39999999990687"
