idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-7","11:51:31","5372","10405","6207.900000002235","1550.300000000745","654.5","216","4542.300000000745","4","189",""
"2","http://localhost:8080/","2024-12-7","11:51:42","5000","10027","5320.300000000745","1212.5","363.19999999925494","197","4165.300000000745","4","179",""
"3","http://localhost:8080/","2024-12-7","11:51:53","4985","10012","5169.300000000745","1179.300000000745","356","201","4158.199999999255","4","179",""
"4","http://localhost:8080/","2024-12-7","11:52:03","4978","10002","5259.69999999553","1192.7999999970198","363.29999999701977","190","4145.79999999702","4","175",""
"5","http://localhost:8080/","2024-12-7","11:52:14","4985","10008","5302.30000000447","1191.199999999255","355.5","197","4152.300000000745","4","179",""
"6","http://localhost:8080/","2024-12-7","11:52:25","5006","10032","5363.9000000059605","1211","356.30000000074506","190","4174.900000002235","4","174",""
"7","http://localhost:8080/","2024-12-7","11:52:35","4786","9810","3799.2000000029802","1185.5","356.4000000022352","194","3956.400000002235","4","173",""
"8","http://localhost:8080/","2024-12-7","11:52:46","5021","10047","5337","1192.699999999255","363.6000000014901","191","4189.89999999851","4","172",""
"9","http://localhost:8080/","2024-12-7","11:52:56","4971","9995","5243.999999996275","1188.8999999985099","363.5","194","4142.199999999255","4","177",""
"10","http://localhost:8080/","2024-12-7","11:53:07","4786","9812","3781.7999999970198","1185.3999999985099","356.29999999701977","191","3952.2999999970198","4","175",""
"11","http://localhost:8080/","2024-12-7","11:53:17","5015","10039","5325.89999999851","1198.800000000745","354.5999999977648","191","4178.699999999255","4","172",""
"12","http://localhost:8080/","2024-12-7","11:53:28","4964","9988","5275.60000000149","1181.6000000014901","356.4000000022352","192","4131.199999999255","4","175",""
"13","http://localhost:8080/","2024-12-7","11:53:39","4807","9830","3837.60000000149","1204.5","363.3999999985099","192","3971.800000000745","4","174",""
"14","http://localhost:8080/","2024-12-7","11:53:49","4779","9801","3788.8999999947846","1181.3999999985099","356.19999999925494","192","3947.5","4","171",""
"15","http://localhost:8080/","2024-12-7","11:54:00","4979","10003","5261.89999999851","1186.0999999977648","356.0999999977648","191","4144.099999997765","4","175",""
"16","http://localhost:8080/","2024-12-7","11:54:10","4965","9990","5230.099999997765","1190.8999999985099","355.29999999701977","188","4131.5","4","172",""
"17","http://localhost:8080/","2024-12-7","11:54:21","5006","10030","5330.599999997765","1215.5","356.5","187","4174","4","171",""
"18","http://localhost:8080/","2024-12-7","11:54:31","5021","10045","5233.600000005215","1201.5","363.80000000074506","188","4185.900000002235","4","173",""
"19","http://localhost:8080/","2024-12-7","11:54:42","4805","9833","3876.300000000745","1210.199999999255","356.0999999977648","189","3972","4","169",""
"20","http://localhost:8080/","2024-12-7","11:54:52","5015","10041","5344.10000000149","1196.1000000014901","363.30000000074506","198","4176.800000000745","4","181",""
"21","http://localhost:8080/","2024-12-7","11:55:03","5027","10053","5251.199999999255","1198.5999999977648","355","194","4196.800000000745","4","174",""
"22","http://localhost:8080/","2024-12-7","11:55:14","5007","10033","5357.100000008941","1207.300000000745","356.4000000022352","191","4172","4","175",""
