idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-7","13:37:45","4931","9947","4525.400000002235","1430.4000000022352","661.1000000014901","22","3835.800000000745","1","72",""
"2","http://localhost:8080/","2024-12-7","13:37:56","4648","9660","3626.3000000081956","1105.4000000022352","362.30000000074506","18","3546.400000002235","1","68",""
"3","http://localhost:8080/","2024-12-7","13:38:06","4621","9633","3625.6999999955297","1113.3999999985099","355.19999999925494","21","3527.199999999255","1","71",""
"4","http://localhost:8080/","2024-12-7","13:38:16","4646","9659","3605.8000000044703","1107","354.1000000014901","19","3806.699999999255","2","69",""
"5","http://localhost:8080/","2024-12-7","13:38:27","4698","9708","4013.2999999970198","1126.199999999255","361.30000000074506","17","3602.10000000149","1","67",""
"6","http://localhost:8080/","2024-12-7","13:38:37","4626","9637","3571.199999999255","1113.4000000022352","361.30000000074506","16","3530","1","66",""
"7","http://localhost:8080/","2024-12-7","13:38:47","4662","9673","3609.10000000149","1108.300000000745","362.5","21","3564","1","71",""
"8","http://localhost:8080/","2024-12-7","13:38:57","4656","9667","3818.8999999947846","1119.5","354.0999999977648","18","3568","1","68",""
"9","http://localhost:8080/","2024-12-7","13:39:08","4642","9653","3612.0999999940395","1110.0999999977648","363.0999999977648","18","3551.89999999851","1","68",""
"10","http://localhost:8080/","2024-12-7","13:39:18","4640","9652","3622.900000002235","1099.1000000014901","355.4000000022352","19","3554.300000000745","1","69",""
"11","http://localhost:8080/","2024-12-7","13:39:28","4625","9636","3544.1000000052154","1128.300000000745","355.5","18","3532.400000002235","1","68",""
"12","http://localhost:8080/","2024-12-7","13:39:38","4656","9666","3914.2000000029802","1094.4000000022352","355.20000000298023","18","3567.60000000149","1","68",""
"13","http://localhost:8080/","2024-12-7","13:39:49","4662","9673","3846.900000002235","1121.699999999255","361.5","18","3574.599999997765","1","68",""
"14","http://localhost:8080/","2024-12-7","13:39:59","4625","9636","3552.2999999932945","1107.5","361.5999999977648","16","3539.39999999851","1","66",""
"15","http://localhost:8080/","2024-12-7","13:40:09","4654","9665","3848.5999999940395","1122.699999999255","355.5","17","3566.2999999970198","1","67",""
"16","http://localhost:8080/","2024-12-7","13:40:20","4704","9712","4101.7000000067055","1122.4000000022352","355.30000000074506","17","3616.199999999255","1","67",""
"17","http://localhost:8080/","2024-12-7","13:40:30","4668","9681","3868.300000000745","1128.800000000745","362.6000000014901","18","3575.900000002235","1","68",""
"18","http://localhost:8080/","2024-12-7","13:40:40","4610","9620","3583.1000000089407","1098.7000000029802","355.5","18","3517.900000002235","1","68",""
"19","http://localhost:8080/","2024-12-7","13:40:50","4613","9622","3553.7000000029802","1108","362.30000000074506","17","3524","1","67",""
"20","http://localhost:8080/","2024-12-7","13:41:01","4634","9643","3520.5999999940395","1120.3999999985099","362.19999999925494","19","3540.699999999255","1","69",""
"21","http://localhost:8080/","2024-12-7","13:41:11","4631","9643","3608.199999999255","1116.4000000022352","362.19999999925494","18","3538.60000000149","1","68",""
"22","http://localhost:8080/","2024-12-7","13:41:21","4661","9672","3650.699999999255","1114.199999999255","355.3999999985099","18","3566.699999999255","1","68",""
"23","http://localhost:8080/","2024-12-7","13:41:31","4668","9678","3945.9999999962747","1115","362.19999999925494","18","3567.699999999255","1","68",""
"24","http://localhost:8080/","2024-12-7","13:41:42","4611","9625","3628.60000000149","1106.699999999255","354.19999999925494","18","3527","1","68",""
"25","http://localhost:8080/","2024-12-7","13:41:52","4645","9656","3633.800000000745","1101.1000000014901","361.5","18","3550.900000002235","1","68",""
"26","http://localhost:8080/","2024-12-7","13:42:02","4669","9679","3926.0000000037253","1105.300000000745","361.4000000022352","18","3581.400000002235","1","68",""
"27","http://localhost:8080/","2024-12-7","13:42:12","4663","9672","3967.3000000044703","1122","362.4000000022352","18","3575.7000000029802","1","68",""
"28","http://localhost:8080/","2024-12-7","13:42:23","4625","9636","3579.6000000052154","1106.300000000745","353.80000000074506","16","3537.60000000149","1","66",""
"29","http://localhost:8080/","2024-12-7","13:42:33","4647","9658","3617.900000002235","1113.4000000022352","361.4000000022352","18","3559","1","68",""
"30","http://localhost:8080/","2024-12-7","13:42:43","4631","9642","3619.5000000037253","1121.699999999255","362.9000000022352","16","3544","1","66",""
"31","http://localhost:8080/","2024-12-7","13:42:53","4676","9687","3712.3999999947846","1121.3999999985099","360.8999999985099","17","3588.099999997765","1","67",""
"32","http://localhost:8080/","2024-12-7","13:43:04","4709","9719","3675.699999999255","1130.5","370.4000000022352","19","3610.5","1","69",""
"33","http://localhost:8080/","2024-12-7","13:43:14","4670","9683","3600.4999999962747","1140.199999999255","369.5","18","3575.300000000745","1","68",""
"34","http://localhost:8080/","2024-12-7","13:43:24","4643","9655","3563.599999997765","1126.5999999977648","377.19999999925494","18","3546.39999999851","1","68",""
"35","http://localhost:8080/","2024-12-7","13:43:35","4642","9653","3707.5000000037253","1134.300000000745","368.5","17","3544","1","67",""
"36","http://localhost:8080/","2024-12-7","13:43:45","4641","9651","3698.1999999955297","1122.5","371.3999999985099","17","3538","1","67",""
"37","http://localhost:8080/","2024-12-7","13:43:55","4683","9690","3679.89999999851","1150.199999999255","369.69999999925494","18","3590.39999999851","1","68",""
"38","http://localhost:8080/","2024-12-7","13:44:05","4707","9716","3700.89999999851","1131.5999999977648","377.5","16","3608.89999999851","1","66",""
"39","http://localhost:8080/","2024-12-7","13:44:16","4664","9674","3685.2000000029802","1143.5","369","16","3566.10000000149","1","66",""
"40","http://localhost:8080/","2024-12-7","13:44:26","4685","9698","3890.9999999925494","1145","370.0999999977648","15","3587.7999999970198","1","65",""
"41","http://localhost:8080/","2024-12-7","13:44:36","4674","9684","3664.900000002235","1153.5","370.70000000298023","17","3566.60000000149","1","67",""
"42","http://localhost:8080/","2024-12-7","13:44:47","4718","9728","4089.5999999940395","1145","370.5","17","3616.099999997765","1","67",""
"43","http://localhost:8080/","2024-12-7","13:44:57","4699","9708","3689.9999999962747","1128.3999999985099","370.69999999925494","17","3605.599999997765","1","67",""
"44","http://localhost:8080/","2024-12-7","13:45:07","4696","9706","3655.3000000044703","1115.6000000014901","369.9000000022352","16","3602.10000000149","1","66",""
"45","http://localhost:8080/","2024-12-7","13:45:18","4706","9717","3699.0999999940395","1131.5","377.5","17","3608.89999999851","1","67",""
"46","http://localhost:8080/","2024-12-7","13:45:28","4719","9728","4092.5","1145.6000000014901","370.69999999925494","16","3623.300000000745","1","66",""
"47","http://localhost:8080/","2024-12-7","13:45:38","4650","9663","3826.699999999255","1125.6000000014901","370.69999999925494","16","3544.300000000745","1","66",""
"48","http://localhost:8080/","2024-12-7","13:45:49","4705","9715","3983.599999997765","1125.800000000745","370.5","15","3608.699999999255","1","65",""
"49","http://localhost:8080/","2024-12-7","13:45:59","4701","9710","3659.6000000089407","1118.300000000745","370.1000000014901","16","3602.7000000029802","1","66",""
"50","http://localhost:8080/","2024-12-7","13:46:09","4691","9700","3931.9999999925494","1150.199999999255","370.5999999977648","16","3587.599999997765","1","66",""
"51","http://localhost:8080/","2024-12-7","13:46:19","4691","9701","3680.400000002235","1116.800000000745","369.4000000022352","14","3599","1","64",""
"52","http://localhost:8080/","2024-12-7","13:46:30","4708","9719","3657.5999999940395","1126.0999999977648","368.30000000074506","16","3609.5","1","66",""
"53","http://localhost:8080/","2024-12-7","13:46:40","4632","9641","3635.9999999962747","1117.8999999985099","371.30000000074506","16","3535.39999999851","1","66",""
"54","http://localhost:8080/","2024-12-7","13:46:50","4699","9710","3663.10000000149","1119.5","370","15","3599.800000000745","1","65",""
"55","http://localhost:8080/","2024-12-7","13:47:01","4698","9707","3676.5","1122.5","370.5999999977648","15","3592.300000000745","1","65",""
"56","http://localhost:8080/","2024-12-7","13:47:11","4693","9702","3921.1000000052154","1147.9000000022352","370.5","18","3589","1","68",""
"57","http://localhost:8080/","2024-12-7","13:47:21","4706","9716","3784.7000000067055","1141.9000000022352","369.80000000074506","16","3609.7000000029802","1","66",""
"58","http://localhost:8080/","2024-12-7","13:47:32","4678","9688","3879.39999999851","1143","369.19999999925494","16","3583.39999999851","1","66",""
"59","http://localhost:8080/","2024-12-7","13:47:42","4706","9716","4051.099999997765","1149.699999999255","370.5","16","3607.699999999255","1","66",""
"60","http://localhost:8080/","2024-12-7","13:47:52","4704","9713","4054.8000000081956","1151.4000000022352","369.80000000074506","16","3606.60000000149","1","66",""
"61","http://localhost:8080/","2024-12-7","13:48:03","4705","9715","3783.900000002235","1141.5","368","16","3610.199999999255","1","66",""
"62","http://localhost:8080/","2024-12-7","13:48:13","4704","9713","3691.89999999851","1127.199999999255","369.3999999985099","17","3610.099999997765","1","67",""
"63","http://localhost:8080/","2024-12-7","13:48:23","4684","9695","3714.4000000059605","1126.5","368.70000000298023","15","3587","1","65",""
"64","http://localhost:8080/","2024-12-7","13:48:34","4672","9684","3683.89999999851","1151.3999999985099","368.5999999977648","18","3575.39999999851","1","68",""
"65","http://localhost:8080/","2024-12-7","13:48:44","4691","9701","3648.8999999947846","1113.199999999255","368.69999999925494","18","3598.099999997765","1","68",""
"66","http://localhost:8080/","2024-12-7","13:48:54","4912","9921","5415.5","1159.9000000022352","368.80000000074506","17","3810.60000000149","1","67",""
"67","http://localhost:8080/","2024-12-7","13:49:05","4685","9696","3719.9999999925494","1145.3999999985099","371","16","3587.39999999851","1","66",""
"68","http://localhost:8080/","2024-12-7","13:49:15","4656","9666","3830","1133.5","369.0999999977648","16","3551.699999999255","1","66",""
"69","http://localhost:8080/","2024-12-7","13:49:25","4671","9682","3739.1000000052154","1159.7000000029802","368.6000000014901","16","3573.10000000149","1","66",""
"70","http://localhost:8080/","2024-12-7","13:49:36","4675","9685","3655.2000000029802","1148.5","369.4000000022352","15","3574.400000002235","1","65",""
"71","http://localhost:8080/","2024-12-7","13:49:46","4692","9701","3913.8000000044703","1144.3999999985099","370","16","3596.5","1","66",""
"72","http://localhost:8080/","2024-12-7","13:49:56","4657","9668","3613.400000002235","1143.1000000014901","369.6000000014901","16","3557.199999999255","1","66",""
"73","http://localhost:8080/","2024-12-7","13:50:06","4734","9744","4100.79999999702","1155.5999999977648","370.69999999925494","15","3637.5","1","65",""
"74","http://localhost:8080/","2024-12-7","13:50:17","4677","9689","3886.0999999940395","1142.199999999255","371","17","3580.599999997765","1","67",""
"75","http://localhost:8080/","2024-12-7","13:50:27","4698","9709","3657.6999999955297","1117.699999999255","368.5","16","3600.300000000745","1","66",""
"76","http://localhost:8080/","2024-12-7","13:50:37","4690","9700","3664.0000000037253","1117.300000000745","369.30000000074506","15","3583.89999999851","1","65",""
"77","http://localhost:8080/","2024-12-7","13:50:48","4692","9702","3935.199999999255","1134.5","368.3999999985099","17","3589.300000000745","1","67",""
"78","http://localhost:8080/","2024-12-7","13:50:58","4669","9682","3730.9000000059605","1139.7000000029802","369","16","3573.300000000745","1","66",""
"79","http://localhost:8080/","2024-12-7","13:51:08","4698","9709","3677.3000000044703","1123.800000000745","369.69999999925494","16","3604","1","66",""
"80","http://localhost:8080/","2024-12-7","13:51:19","4678","9688","3711.8999999947846","1126","368.30000000074506","16","3580.39999999851","1","66",""
"81","http://localhost:8080/","2024-12-7","13:51:29","4679","9689","3880.0999999940395","1134.3999999985099","363.79999999701977","16","3579.699999999255","1","66",""
"82","http://localhost:8080/","2024-12-7","13:51:39","4708","9717","3809.6999999955297","1159.3999999985099","368.30000000074506","17","3609.800000000745","1","67",""
"83","http://localhost:8080/","2024-12-7","13:51:50","4706","9715","3794.300000000745","1146.4000000022352","369.5","15","3608.5","1","65",""
"84","http://localhost:8080/","2024-12-7","13:52:00","4906","9915","5358.29999999702","1134.5","370.79999999701977","15","3808.39999999851","1","65",""
"85","http://localhost:8080/","2024-12-7","13:52:10","4706","9717","3731.800000000745","1131.300000000745","377.19999999925494","16","3606.199999999255","1","66",""
"86","http://localhost:8080/","2024-12-7","13:52:21","4655","9667","3829.3000000044703","1124.800000000745","370.69999999925494","15","3558.300000000745","1","65",""
"87","http://localhost:8080/","2024-12-7","13:52:31","4672","9681","3699.199999999255","1122.699999999255","368.69999999925494","17","3575.199999999255","1","67",""
"88","http://localhost:8080/","2024-12-7","13:52:41","4714","9723","4039.8000000081956","1152.7000000029802","369.9000000022352","15","3615.60000000149","1","65",""
"89","http://localhost:8080/","2024-12-7","13:52:52","4920","9929","5385.699999999255","1145","370.5","15","3820","1","65",""
"90","http://localhost:8080/","2024-12-7","13:53:02","4685","9695","3633.2999999970198","1117.199999999255","370.29999999701977","15","3577.699999999255","1","65",""
"91","http://localhost:8080/","2024-12-7","13:53:12","4700","9711","3800.10000000149","1147","369.1000000014901","17","3603.800000000745","1","67",""
"92","http://localhost:8080/","2024-12-7","13:53:23","4678","9688","3739.400000002235","1151.699999999255","368.9000000022352","17","3583.400000002235","1","67",""
"93","http://localhost:8080/","2024-12-7","13:53:33","4689","9700","3640.2000000029802","1112.6000000014901","370.4000000022352","16","3594.400000002235","1","66",""
"94","http://localhost:8080/","2024-12-7","13:53:43","4656","9666","3641.800000000745","1145.800000000745","377","15","3551","1","65",""
"95","http://localhost:8080/","2024-12-7","13:53:54","4679","9690","3943.9000000059605","1138.699999999255","368.19999999925494","16","3579.400000002235","1","66",""
"96","http://localhost:8080/","2024-12-7","13:54:04","4671","9680","3700.89999999851","1156.800000000745","369.3999999985099","16","3565.699999999255","1","66",""
"97","http://localhost:8080/","2024-12-7","13:54:14","4684","9694","3907.89999999851","1144.8999999985099","370.3999999985099","15","3586.2999999970198","1","65",""
"98","http://localhost:8080/","2024-12-7","13:54:24","4740","9750","4122.500000003725","1121.1000000014901","370.9000000022352","14","3640.900000002235","1","64",""
"99","http://localhost:8080/","2024-12-7","13:54:35","4684","9694","3901.099999997765","1145.8999999985099","369.80000000074506","16","3588.10000000149","1","66",""
