idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/home/","2024-12-7","19:27:26","901","5916","1013.1999999955297","357.79999999701977","264.3999999985099","0","357.79999999701977","0","-1",""
"2","http://localhost:8080/home/","2024-12-7","19:27:33","670","5681","322","127.10000000149012","36.79999999701977","0","127.10000000149012","0","-1",""
"3","http://localhost:8080/home/","2024-12-7","19:27:39","660","5672","300","119","32.19999999552965","0","119","0","-1",""
"4","http://localhost:8080/home/","2024-12-7","19:27:45","658","5669","279.6000000014901","112.89999999850988","25","0","112.89999999850988","0","-1",""
"5","http://localhost:8080/home/","2024-12-7","19:27:52","649","5659","265.90000001341105","106.40000000596046","23.5","0","106.40000000596046","0","-1",""
"6","http://localhost:8080/home/","2024-12-7","19:27:58","658","5668","218.99999999254942","91.29999999701977","23.899999998509884","0","91.29999999701977","0","-1",""
"7","http://localhost:8080/home/","2024-12-7","19:28:04","664","5673","220.40000000596046","91.10000000149012","25.700000002980232","0","91.10000000149012","0","-1",""
"8","http://localhost:8080/home/","2024-12-7","19:28:11","652","5663","273.4999999925494","110.79999999701977","23.100000001490116","0","110.79999999701977","0","-1",""
"9","http://localhost:8080/home/","2024-12-7","19:28:17","661","5671","292.90000000596046","117.10000000149012","28.100000001490116","0","117.10000000149012","0","-1",""
"10","http://localhost:8080/home/","2024-12-7","19:28:23","655","5666","213.19999999552965","89.5","21.5","0","89.5","0","-1",""
"11","http://localhost:8080/home/","2024-12-7","19:28:29","654","5663","202.00000000745058","83.10000000149012","23.30000000447035","0","83.10000000149012","0","-1",""
"12","http://localhost:8080/home/","2024-12-7","19:28:36","658","5669","271.0000000074506","107.70000000298023","25.80000000447035","0","107.70000000298023","0","-1",""
"13","http://localhost:8080/home/","2024-12-7","19:28:42","656","5666","206.2000000178814","86.90000000596046","19.600000001490116","0","86.90000000596046","0","-1",""
"14","http://localhost:8080/home/","2024-12-7","19:28:48","653","5661","197.00000000745058","81.60000000149012","21","0","81.60000000149012","0","-1",""
