idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-9","17:36:25","LCP","6435.10000000149","6451.60000000149","16.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-9","17:36:25","longTask","1008","1102","94","unknown","-1","-1","-1"
"1","http://localhost:8080/","2024-12-9","17:36:25","longTask","1130.2999999970198","1201.2999999970198","71","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-9","17:36:25","longTask","5416.89999999851","5645.89999999851","229","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","17:36:38","LCP","6370.39999999851","6383","12.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-9","17:36:38","longTask","1022.5","1105.5","83","unknown","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","17:36:38","longTask","1110.7999999970198","1182.7999999970198","72","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","17:36:38","longTask","5400.60000000149","5619.60000000149","219","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","17:36:50","LCP","6400.89999999851","6417.79999999702","16.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-9","17:36:50","longTask","1051.7999999970198","1129.7999999970198","78","unknown","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","17:36:50","longTask","1133.6999999955297","1209.6999999955297","76","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","17:36:50","longTask","5426.69999999553","5647.69999999553","221","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-9","17:37:03","LCP","6378.80000000447","6398.5","19.69999999552965","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2024-12-9","17:37:03","longTask","993","1075","82","unknown","-1","-1","-1"
"4","http://localhost:8080/","2024-12-9","17:37:03","longTask","1102.4000000059605","1175.4000000059605","73","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-9","17:37:03","longTask","5386.60000000149","5618.60000000149","232","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-9","17:37:15","LCP","6379.4000000059605","6395.30000000447","15.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2024-12-9","17:37:15","longTask","1031.1000000014901","1114.1000000014901","83","unknown","-1","-1","-1"
"5","http://localhost:8080/","2024-12-9","17:37:15","longTask","1115.5","1189.5","74","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-9","17:37:15","longTask","5409.4000000059605","5635.4000000059605","226","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-9","17:37:28","LCP","6363.39999999851","6376.5","13.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2024-12-9","17:37:28","longTask","1030.2999999970198","1111.2999999970198","81","unknown","-1","-1","-1"
