idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-9","15:48:53","LCP","6060.39999999851","6076.60000000149","16.200000002980232","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-9","15:48:53","longTask","1058.2999999970198","1117.2999999970198","59","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-9","15:48:53","longTask","5208.19999999553","5306.19999999553","98","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","15:49:05","LCP","6019.10000000149","6032.60000000149","13.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-9","15:49:05","longTask","5178.10000000149","5270.10000000149","92","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","15:49:17","LCP","5963.10000000149","5983.19999999553","20.099999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-9","15:49:17","longTask","5134.60000000149","5221.60000000149","87","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-9","15:49:29","LCP","5983.19999999553","5997.10000000149","13.900000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2024-12-9","15:49:29","longTask","5141.60000000149","5232.60000000149","91","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-9","15:49:41","LCP","5948","5961.10000000149","13.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2024-12-9","15:49:41","longTask","5117.9000000059605","5205.9000000059605","88","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-9","15:49:53","LCP","6019","6032.79999999702","13.799999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2024-12-9","15:49:53","longTask","5164","5253","89","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-9","15:50:06","LCP","5975.70000000298","5996","20.299999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2024-12-9","15:50:06","longTask","5156.39999999851","5241.39999999851","85","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-9","15:50:18","LCP","5968.80000000447","5988.60000000149","19.799999997019768","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2024-12-9","15:50:18","longTask","5127.70000000298","5217.70000000298","90","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-9","15:50:30","LCP","5968.79999999702","5986.19999999553","17.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2024-12-9","15:50:30","longTask","5122.19999999553","5212.19999999553","90","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-9","15:50:42","LCP","5977.29999999702","5991.29999999702","14","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2024-12-9","15:50:42","longTask","5143","5235","92","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-9","15:50:54","LCP","5961.60000000149","5974.70000000298","13.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2024-12-9","15:50:54","longTask","5135.5","5223.5","88","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-9","15:51:06","LCP","5983","6001.20000000298","18.200000002980232","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2024-12-9","15:51:06","longTask","5143.5","5233.5","90","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-9","15:51:18","LCP","5976.10000000149","5994.20000000298","18.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2024-12-9","15:51:18","longTask","5128.5","5220.5","92","self","-1","-1","-1"
