idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-10","15:14:13","LCP","997.2999999970198","1043.7999999970198","46.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2024-12-10","15:14:20","LCP","394.5","442.59999999403954","48.099999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-10","15:14:27","LCP","350.5","394.5","44","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-10","15:14:33","LCP","416.80000000447035","466.80000000447035","50","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-10","15:14:40","LCP","281.79999999701977","327.3999999985099","45.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-10","15:14:46","LCP","270.80000000447035","321.6000000014901","50.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-10","15:14:53","LCP","405.80000000447035","451.90000000596046","46.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-10","15:14:59","LCP","273.20000000298023","321.70000000298023","48.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-10","15:15:06","LCP","220.20000000298023","263.30000000447035","43.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2024-12-10","15:15:12","LCP","282.5","334","51.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2024-12-10","15:15:19","LCP","328.69999999552965","378.8999999985099","50.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2024-12-10","15:15:25","LCP","400.30000000447035","448.80000000447035","48.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2024-12-10","15:15:32","LCP","268.5","315.5","47","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2024-12-10","15:15:38","LCP","359.5","410.40000000596046","50.900000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2024-12-10","15:15:45","LCP","271.8999999985099","317.69999999552965","45.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2024-12-10","15:15:51","LCP","387.40000000596046","437.40000000596046","50","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2024-12-10","15:15:58","LCP","290.29999999701977","342.8999999985099","52.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2024-12-10","15:16:04","LCP","413.3999999985099","465.8999999985099","52.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2024-12-10","15:16:11","LCP","320","371.90000000596046","51.900000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2024-12-10","15:16:18","LCP","252.89999999850988","303.20000000298023","50.30000000447035","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2024-12-10","15:16:24","LCP","302","352.20000000298023","50.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2024-12-10","15:16:31","LCP","392.20000000298023","445.70000000298023","53.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2024-12-10","15:16:37","LCP","457.6000000014901","509.70000000298023","52.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2024-12-10","15:16:44","LCP","300.59999999403954","352","51.400000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2024-12-10","15:16:50","LCP","238.89999999850988","282.79999999701977","43.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2024-12-10","15:16:57","LCP","359.79999999701977","414.79999999701977","55","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2024-12-10","15:17:03","LCP","320.1000000014901","370","49.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2024-12-10","15:17:10","LCP","330.29999999701977","377.1000000014901","46.80000000447035","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2024-12-10","15:17:17","LCP","228.79999999701977","277.8999999985099","49.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2024-12-10","15:17:23","LCP","257.5","307.6000000014901","50.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2024-12-10","15:17:29","LCP","248.60000000149012","302.1000000014901","53.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
