idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/home/","2024-12-10","20:23:37","LCP","243.59999999403954","311.5","67.90000000596046","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"2","http://localhost:8080/home/","2024-12-10","20:23:44","LCP","63.70000000298023","121.60000000149012","57.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"3","http://localhost:8080/home/","2024-12-10","20:23:50","LCP","57.600000001490116","115.60000000149012","58","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"4","http://localhost:8080/home/","2024-12-10","20:23:56","LCP","57.399999998509884","108.59999999403954","51.19999999552965","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"5","http://localhost:8080/home/","2024-12-10","20:24:03","LCP","52","112.19999999552965","60.19999999552965","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"6","http://localhost:8080/home/","2024-12-10","20:24:09","LCP","37.600000001490116","86.39999999850988","48.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"7","http://localhost:8080/home/","2024-12-10","20:24:15","LCP","49","101.69999999552965","52.69999999552965","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"8","http://localhost:8080/home/","2024-12-10","20:24:22","LCP","44.20000000298023","86.30000000447035","42.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"9","http://localhost:8080/home/","2024-12-10","20:24:28","LCP","56.79999999701977","114.89999999850988","58.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"10","http://localhost:8080/home/","2024-12-10","20:24:34","LCP","49.399999998509884","107.79999999701977","58.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"11","http://localhost:8080/home/","2024-12-10","20:24:40","LCP","54","105.59999999403954","51.599999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
