idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-9","13:08:43","LCP","5211.300000000745","5225.10000000149","13.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-9","13:08:43","longTask","1034.800000000745","1103.800000000745","69","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-9","13:08:43","longTask","1104.6000000014901","1237.6000000014901","133","unknown","-1","-1","-1"
"1","http://localhost:8080/","2024-12-9","13:08:43","longTask","1242.5","1395.5","153","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-9","13:08:43","longTask","4133.70000000298","4407.70000000298","274","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-9","13:08:43","longTask","4420.60000000149","4518.60000000149","98","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","13:08:54","LCP","4891.400000002235","4908.900000002235","17.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-9","13:08:54","longTask","1016.7000000029802","1105.7000000029802","89","unknown","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","13:08:54","longTask","1107.2000000029802","1183.2000000029802","76","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","13:08:54","longTask","3895.400000002235","4143.400000002235","248","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-9","13:08:54","longTask","4157.900000002235","4253.900000002235","96","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","13:09:05","LCP","4877.300000000745","4898.89999999851","21.599999997764826","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-9","13:09:05","longTask","1024","1113","89","unknown","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","13:09:05","longTask","1116.3999999985099","1194.3999999985099","78","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-9","13:09:05","longTask","3893.60000000149","4123.60000000149","230","self","-1","-1","-1"
