idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-10","09:00:25","LCP","1262.699999999255","1282.5","19.800000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"1","http://localhost:8080/","2024-12-10","09:00:25","longTask","1183.300000000745","1247.300000000745","64","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-10","09:00:25","longTask","3550.699999999255","3633.699999999255","83","self","-1","-1","-1"
"1","http://localhost:8080/","2024-12-10","09:00:25","longTask","3826.4000000003725","3878.4000000003725","52","self","-1","-1","-1"
"2","http://localhost:8080/","2024-12-10","09:00:36","LCP","1212","1237.699999999255","25.699999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"2","http://localhost:8080/","2024-12-10","09:00:36","longTask","3455.300000000745","3527.300000000745","72","self","-1","-1","-1"
"3","http://localhost:8080/","2024-12-10","09:00:46","LCP","1204.7000000011176","1217.2000000011176","12.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"3","http://localhost:8080/","2024-12-10","09:00:46","longTask","3456.5999999996275","3522.5999999996275","66","self","-1","-1","-1"
"4","http://localhost:8080/","2024-12-10","09:00:56","LCP","1191.2000000011176","1211.5999999996275","20.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"4","http://localhost:8080/","2024-12-10","09:00:56","longTask","3491.5","3559.5","68","self","-1","-1","-1"
"5","http://localhost:8080/","2024-12-10","09:01:06","LCP","1199.7000000011176","1215.9000000003725","16.199999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"5","http://localhost:8080/","2024-12-10","09:01:06","longTask","3479.4000000003725","3546.4000000003725","67","self","-1","-1","-1"
"6","http://localhost:8080/","2024-12-10","09:01:17","LCP","1264","1280.1000000014901","16.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"6","http://localhost:8080/","2024-12-10","09:01:17","longTask","3492.300000000745","3560.300000000745","68","self","-1","-1","-1"
"7","http://localhost:8080/","2024-12-10","09:01:27","LCP","1212.4000000003725","1232.800000000745","20.40000000037253","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"7","http://localhost:8080/","2024-12-10","09:01:27","longTask","3499.4000000003725","3569.4000000003725","70","self","-1","-1","-1"
"8","http://localhost:8080/","2024-12-10","09:01:37","LCP","1169.9000000003725","1194.0999999996275","24.199999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"8","http://localhost:8080/","2024-12-10","09:01:37","longTask","3464.199999999255","3532.199999999255","68","self","-1","-1","-1"
"9","http://localhost:8080/","2024-12-10","09:01:48","LCP","1177.7999999988824","1201.7999999988824","24","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"9","http://localhost:8080/","2024-12-10","09:01:48","longTask","3477","3543","66","self","-1","-1","-1"
"10","http://localhost:8080/","2024-12-10","09:01:58","LCP","1192.199999999255","1205.5999999996275","13.400000000372529","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"10","http://localhost:8080/","2024-12-10","09:01:58","longTask","3484.699999999255","3550.699999999255","66","self","-1","-1","-1"
"11","http://localhost:8080/","2024-12-10","09:02:08","LCP","1199.9000000003725","1216.4000000003725","16.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"11","http://localhost:8080/","2024-12-10","09:02:08","longTask","3499.300000000745","3566.300000000745","67","self","-1","-1","-1"
"12","http://localhost:8080/","2024-12-10","09:02:18","LCP","1214.0999999996275","1228.0999999996275","14","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"12","http://localhost:8080/","2024-12-10","09:02:18","longTask","3497.7999999988824","3564.7999999988824","67","self","-1","-1","-1"
"13","http://localhost:8080/","2024-12-10","09:02:29","LCP","1305.5","1329.5999999996275","24.09999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"13","http://localhost:8080/","2024-12-10","09:02:29","longTask","3505.0999999996275","3571.0999999996275","66","self","-1","-1","-1"
"14","http://localhost:8080/","2024-12-10","09:02:39","LCP","1263.5999999996275","1276.9000000003725","13.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"14","http://localhost:8080/","2024-12-10","09:02:39","longTask","3494.199999999255","3561.199999999255","67","self","-1","-1","-1"
"15","http://localhost:8080/","2024-12-10","09:02:49","LCP","1199.2000000011176","1223","23.799999998882413","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"15","http://localhost:8080/","2024-12-10","09:02:49","longTask","3441.5999999996275","3507.5999999996275","66","self","-1","-1","-1"
"16","http://localhost:8080/","2024-12-10","09:02:59","LCP","1213.0999999996275","1229.5999999996275","16.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"16","http://localhost:8080/","2024-12-10","09:02:59","longTask","3478.5999999996275","3549.5999999996275","71","self","-1","-1","-1"
"17","http://localhost:8080/","2024-12-10","09:03:10","LCP","1190.699999999255","1208.2999999988824","17.59999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"17","http://localhost:8080/","2024-12-10","09:03:10","longTask","3464.5","3530.5","66","self","-1","-1","-1"
"18","http://localhost:8080/","2024-12-10","09:03:20","LCP","1191.800000000745","1208.9000000003725","17.09999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"18","http://localhost:8080/","2024-12-10","09:03:20","longTask","3492.7000000011176","3558.7000000011176","66","self","-1","-1","-1"
"19","http://localhost:8080/","2024-12-10","09:03:30","LCP","1177.5999999996275","1195.8999999985099","18.299999998882413","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"19","http://localhost:8080/","2024-12-10","09:03:30","longTask","3459.199999999255","3526.199999999255","67","self","-1","-1","-1"
"20","http://localhost:8080/","2024-12-10","09:03:40","LCP","1178.7999999988824","1195","16.200000001117587","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"20","http://localhost:8080/","2024-12-10","09:03:40","longTask","3465.4000000003725","3533.4000000003725","68","self","-1","-1","-1"
"21","http://localhost:8080/","2024-12-10","09:03:50","LCP","1226.5999999996275","1246.199999999255","19.59999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"21","http://localhost:8080/","2024-12-10","09:03:50","longTask","3499.199999999255","3566.199999999255","67","self","-1","-1","-1"
"22","http://localhost:8080/","2024-12-10","09:04:01","LCP","1206.1000000014901","1230.800000000745","24.699999999254942","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"22","http://localhost:8080/","2024-12-10","09:04:01","longTask","3478.4000000003725","3545.4000000003725","67","self","-1","-1","-1"
"23","http://localhost:8080/","2024-12-10","09:04:11","LCP","1277.8999999985099","1300.199999999255","22.300000000745058","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp",""
"23","http://localhost:8080/","2024-12-10","09:04:11","longTask","3483.5999999996275","3549.5999999996275","66","self","-1","-1","-1"
