idx,site,date,time,type,start,end,duration,name,element,url,id
"1","http://localhost:8080/","2024-12-9","19:39:15","LCP","1097.1000000014901","1140.5","43.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"2","http://localhost:8080/","2024-12-9","19:39:22","LCP","405.80000000447035","455.20000000298023","49.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"3","http://localhost:8080/","2024-12-9","19:39:29","LCP","450.69999999552965","499.29999999701977","48.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"4","http://localhost:8080/","2024-12-9","19:39:36","LCP","342.6000000014901","392.3999999985099","49.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"5","http://localhost:8080/","2024-12-9","19:39:42","LCP","348.8999999985099","396","47.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"6","http://localhost:8080/","2024-12-9","19:39:49","LCP","402.20000000298023","454.20000000298023","52","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"7","http://localhost:8080/","2024-12-9","19:39:55","LCP","394.8999999985099","443.70000000298023","48.80000000447035","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"8","http://localhost:8080/","2024-12-9","19:40:02","LCP","647.9000000059605","697.2000000029802","49.29999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"9","http://localhost:8080/","2024-12-9","19:40:09","LCP","326.8999999985099","378.69999999552965","51.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"10","http://localhost:8080/","2024-12-9","19:40:15","LCP","478","532.3999999985099","54.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"11","http://localhost:8080/","2024-12-9","19:40:22","LCP","300.5","350.79999999701977","50.29999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"12","http://localhost:8080/","2024-12-9","19:40:28","LCP","320.70000000298023","368.20000000298023","47.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"13","http://localhost:8080/","2024-12-9","19:40:35","LCP","228.60000000149012","278.70000000298023","50.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"14","http://localhost:8080/","2024-12-9","19:40:41","LCP","346.5","398","51.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"15","http://localhost:8080/","2024-12-9","19:40:48","LCP","315.29999999701977","365.70000000298023","50.400000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"16","http://localhost:8080/","2024-12-9","19:40:54","LCP","296.70000000298023","344.8999999985099","48.19999999552965","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"17","http://localhost:8080/","2024-12-9","19:41:01","LCP","463.1000000014901","512.4000000059605","49.30000000447035","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"18","http://localhost:8080/","2024-12-9","19:41:08","LCP","188.59999999403954","230.09999999403954","41.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"19","http://localhost:8080/","2024-12-9","19:41:14","LCP","257.80000000447035","305.80000000447035","48","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"20","http://localhost:8080/","2024-12-9","19:41:20","LCP","199.30000000447035","240.90000000596046","41.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"21","http://localhost:8080/","2024-12-9","19:41:27","LCP","387.8999999985099","439.8999999985099","52","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"22","http://localhost:8080/","2024-12-9","19:41:33","LCP","339.8999999985099","388.5","48.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"23","http://localhost:8080/","2024-12-9","19:41:40","LCP","333.8999999985099","378.19999999552965","44.29999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"24","http://localhost:8080/","2024-12-9","19:41:46","LCP","291.5","340.30000000447035","48.80000000447035","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"25","http://localhost:8080/","2024-12-9","19:41:53","LCP","281.29999999701977","325.1000000014901","43.80000000447035","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"26","http://localhost:8080/","2024-12-9","19:41:59","LCP","447.1000000014901","501.80000000447035","54.70000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"27","http://localhost:8080/","2024-12-9","19:42:06","LCP","211.19999999552965","253.19999999552965","42","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"28","http://localhost:8080/","2024-12-9","19:42:12","LCP","288.6000000014901","338.1000000014901","49.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"29","http://localhost:8080/","2024-12-9","19:42:19","LCP","387.80000000447035","404.80000000447035","17","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"30","http://localhost:8080/","2024-12-9","19:42:25","LCP","311.79999999701977","357.3999999985099","45.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"31","http://localhost:8080/","2024-12-9","19:42:32","LCP","363.79999999701977","413.5","49.70000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"32","http://localhost:8080/","2024-12-9","19:42:39","LCP","570.5","591.9000000059605","21.400000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"33","http://localhost:8080/","2024-12-9","19:42:45","LCP","686","737.2000000029802","51.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"34","http://localhost:8080/","2024-12-9","19:42:52","LCP","527.2999999970198","579.3999999985099","52.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"35","http://localhost:8080/","2024-12-9","19:42:59","LCP","441.1000000014901","494.70000000298023","53.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"36","http://localhost:8080/","2024-12-9","19:43:06","LCP","597.2999999970198","648.8999999985099","51.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"37","http://localhost:8080/","2024-12-9","19:43:12","LCP","562.8000000044703","611","48.19999999552965","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"38","http://localhost:8080/","2024-12-9","19:43:19","LCP","333.20000000298023","383","49.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"39","http://localhost:8080/","2024-12-9","19:43:26","LCP","284.3999999985099","335.5","51.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"40","http://localhost:8080/","2024-12-9","19:43:32","LCP","421.19999999552965","471.6000000014901","50.400000005960464","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"41","http://localhost:8080/","2024-12-9","19:43:39","LCP","587.8999999985099","637","49.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"42","http://localhost:8080/","2024-12-9","19:43:46","LCP","180.40000000596046","229.20000000298023","48.79999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"43","http://localhost:8080/","2024-12-9","19:43:52","LCP","639.8999999985099","687.2999999970198","47.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"44","http://localhost:8080/","2024-12-9","19:43:59","LCP","312.29999999701977","365.5","53.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"45","http://localhost:8080/","2024-12-9","19:44:05","LCP","307","355.29999999701977","48.29999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"46","http://localhost:8080/","2024-12-9","19:44:12","LCP","752.7999999970198","803.1999999955297","50.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"47","http://localhost:8080/","2024-12-9","19:44:19","LCP","241.60000000149012","286.8999999985099","45.29999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"48","http://localhost:8080/","2024-12-9","19:44:25","LCP","457.29999999701977","504.79999999701977","47.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"49","http://localhost:8080/","2024-12-9","19:44:32","LCP","372.19999999552965","419.79999999701977","47.600000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"50","http://localhost:8080/","2024-12-9","19:44:38","LCP","268.3999999985099","316.8999999985099","48.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"51","http://localhost:8080/","2024-12-9","19:44:45","LCP","283.5","329.3999999985099","45.899999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"52","http://localhost:8080/","2024-12-9","19:44:51","LCP","401.6000000014901","453.29999999701977","51.69999999552965","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"53","http://localhost:8080/","2024-12-9","19:44:58","LCP","388.19999999552965","438.29999999701977","50.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"54","http://localhost:8080/","2024-12-9","19:45:04","LCP","379.6000000014901","428.80000000447035","49.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"55","http://localhost:8080/","2024-12-9","19:45:11","LCP","508.79999999701977","554.5","45.70000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"56","http://localhost:8080/","2024-12-9","19:45:18","LCP","348.40000000596046","402","53.599999994039536","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"57","http://localhost:8080/","2024-12-9","19:45:24","LCP","468.19999999552965","521.2999999970198","53.100000001490116","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"58","http://localhost:8080/","2024-12-9","19:45:31","LCP","558.5","609.5","51","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"59","http://localhost:8080/","2024-12-9","19:45:38","LCP","223.5","270.79999999701977","47.29999999701977","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"60","http://localhost:8080/","2024-12-9","19:45:44","LCP","367.20000000298023","419.6000000014901","52.399999998509884","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
"61","http://localhost:8080/","2024-12-9","19:45:51","LCP","460.3999999985099","511.6000000014901","51.20000000298023","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp",""
