idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-9","13:08:43","5730","10765","5225.10000000149","1258.4000000022352","333.5","272","4518.60000000149","5","274",""
"2","http://localhost:8080/","2024-12-9","13:08:54","5402","10424","4908.900000002235","1125.6000000014901","334","244","4253.900000002235","4","248",""
"3","http://localhost:8080/","2024-12-9","13:09:05","5394","10424","4898.89999999851","1132.300000000745","328.19999999925494","222","4263.60000000149","4","230",""
"4","http://localhost:8080/","2024-12-9","13:09:16","5365","10389","4869.599999997765","1119.5999999977648","327.80000000074506","219","4214.39999999851","4","230",""
"5","http://localhost:8080/","2024-12-9","13:09:27","5407","10431","4911","1127.699999999255","327.69999999925494","217","4242.099999997765","4","227",""
"6","http://localhost:8080/","2024-12-9","13:09:38","5351","10379","4851.5","1130.7000000029802","335","224","4231.70000000298","4","233",""
"7","http://localhost:8080/","2024-12-9","13:09:49","5372","10399","4879.199999999255","1129.199999999255","326.69999999925494","218","4240.199999999255","4","230",""
"8","http://localhost:8080/","2024-12-9","13:10:00","5373","10397","4878.89999999851","1137.199999999255","326.3999999985099","220","4245.89999999851","4","232",""
"9","http://localhost:8080/","2024-12-9","13:10:11","5356","10384","4857","1098.6000000014901","327.9000000022352","244","4228","4","233",""
"10","http://localhost:8080/","2024-12-9","13:10:22","5349","10373","4859.39999999851","1126.1000000014901","334.3999999985099","224","4235.5","4","232",""
"11","http://localhost:8080/","2024-12-9","13:10:33","5367","10393","4870.800000000745","1112.6000000014901","327.3999999985099","219","4226.5","4","232",""
"12","http://localhost:8080/","2024-12-9","13:10:44","5406","10435","4914.39999999851","1139.3999999985099","327","220","4249.89999999851","4","230",""
"13","http://localhost:8080/","2024-12-9","13:10:55","5372","10396","4872.5","1114.199999999255","326.69999999925494","217","4216.89999999851","4","227",""
"14","http://localhost:8080/","2024-12-9","13:11:06","5423","10451","4925.199999999255","1133.6000000014901","327.69999999925494","223","4254.400000002235","4","233",""
"15","http://localhost:8080/","2024-12-9","13:11:17","5393","10419","4895.70000000298","1137.4000000022352","326.70000000298023","217","4232.10000000149","4","228",""
"16","http://localhost:8080/","2024-12-9","13:11:28","5395","10422","4902.60000000149","1119.300000000745","327.80000000074506","222","4229.10000000149","4","231",""
"17","http://localhost:8080/","2024-12-9","13:11:39","5392","10417","4898.10000000149","1123.1000000014901","327.30000000074506","238","4239.10000000149","4","244",""
"18","http://localhost:8080/","2024-12-9","13:11:50","5378","10405","4881.5","1123.0999999977648","327.30000000074506","218","4211.800000000745","4","230",""
"19","http://localhost:8080/","2024-12-9","13:12:01","5387","10414","4893.099999997765","1134.699999999255","334.8999999985099","226","4264.5","4","235",""
"20","http://localhost:8080/","2024-12-9","13:12:12","5410","10437","4907.10000000149","1123.800000000745","328.1000000014901","222","4241.20000000298","4","230",""
"21","http://localhost:8080/","2024-12-9","13:12:23","5386","10410","4890.89999999851","1116","327.8999999985099","222","4239.5","4","228",""
"22","http://localhost:8080/","2024-12-9","13:12:34","5352","10379","4740.800000000745","1082.5","327.19999999925494","236","4187.300000000745","4","218",""
"23","http://localhost:8080/","2024-12-9","13:12:45","5408","10437","4917.39999999851","1150.699999999255","334.0999999977648","223","4276.199999999255","4","233",""
"24","http://localhost:8080/","2024-12-9","13:12:56","5380","10407","4889.900000002235","1131.6000000014901","327.5","221","4252.900000002235","4","231",""
"25","http://localhost:8080/","2024-12-9","13:13:07","5420","10441","4926.39999999851","1159.699999999255","327.79999999701977","222","4262.89999999851","4","231",""
