idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-11","14:59:40","1313","8880","4671.699999999255","1088.300000000745","332.80000000074506","47","3828.099999997765","1","97",""
"2","http://localhost:8080/","2024-12-11","14:59:50","1308","8800","4559.60000000149","1076.2000000029802","333","45","3777.5","1","95",""
"3","http://localhost:8080/","2024-12-11","14:59:59","1315","8800","4568.800000000745","1085.4000000022352","332.70000000298023","41","3773.800000000745","1","91",""
"4","http://localhost:8080/","2024-12-11","15:00:09","1308","8807","4590.70000000298","1073.9000000022352","332.80000000074506","41","3781.7000000029802","1","91",""
"5","http://localhost:8080/","2024-12-11","15:00:18","1315","8822","4570.60000000149","1070.6000000014901","332.5","40","3774.699999999255","1","90",""
"6","http://localhost:8080/","2024-12-11","15:00:28","1332","8813","4579.199999999255","1095.7999999970198","332.79999999701977","41","3788.599999997765","1","91",""
"7","http://localhost:8080/","2024-12-11","15:00:37","1331","8816","4579.099999997765","1095.699999999255","332.8999999985099","42","3792.2999999970198","1","92",""
"8","http://localhost:8080/","2024-12-11","15:00:47","1310","8796","4576.10000000149","1076.1000000014901","325.5","41","3771.300000000745","1","91",""
"9","http://localhost:8080/","2024-12-11","15:00:56","1330","8826","4596.89999999851","1096.8999999985099","333.5","40","3799.89999999851","1","90",""
"10","http://localhost:8080/","2024-12-11","15:01:06","1309","8793","4569.599999997765","1069.699999999255","333.5","41","3770.099999997765","1","91",""
"11","http://localhost:8080/","2024-12-11","15:01:15","1302","8806","4567.60000000149","1067.6000000014901","332.4000000022352","42","3781.199999999255","1","92",""
"12","http://localhost:8080/","2024-12-11","15:01:25","1319","8809","4562.10000000149","1095.4000000022352","328","41","3784","1","91",""
"13","http://localhost:8080/","2024-12-11","15:01:34","1327","8821","4577.900000002235","1094.6000000014901","327.9000000022352","41","3796","1","91",""
"14","http://localhost:8080/","2024-12-11","15:01:44","1308","8832","4583.60000000149","1083.6000000014901","332.4000000022352","45","3784.800000000745","1","95",""
"15","http://localhost:8080/","2024-12-11","15:01:53","1302","8792","4569.099999997765","1069.0999999977648","333","42","3767.89999999851","1","92",""
"16","http://localhost:8080/","2024-12-11","15:02:03","1295","8790","4552.699999999255","1069.300000000745","333.30000000074506","40","3765.300000000745","1","90",""
"17","http://localhost:8080/","2024-12-11","15:02:12","1295","8813","4564.199999999255","1064.199999999255","332.5","39","3766.699999999255","1","89",""
"18","http://localhost:8080/","2024-12-11","15:02:22","1336","8829","4603","1103","332.9000000022352","42","3805.199999999255","1","92",""
"19","http://localhost:8080/","2024-12-11","15:02:31","1294","8782","4551.199999999255","1051.1000000014901","332.6000000014901","42","3759.5","1","92",""
"20","http://localhost:8080/","2024-12-11","15:02:41","1302","8785","4552.39999999851","1069","332.79999999701977","43","3761","1","93",""
"21","http://localhost:8080/","2024-12-11","15:02:50","1305","8838","4577.900000002235","1061.300000000745","327.69999999925494","42","3788.900000002235","1","92",""
"22","http://localhost:8080/","2024-12-11","15:03:00","1297","8772","4527.5","1060.9000000022352","327.69999999925494","42","3748.60000000149","1","92",""
"23","http://localhost:8080/","2024-12-11","15:03:09","1295","8818","4579.900000002235","1063.300000000745","333","40","3771.199999999255","1","90",""
"24","http://localhost:8080/","2024-12-11","15:03:19","1310","8803","4569.5","1069.5","327.80000000074506","41","3778.5","1","91",""
"25","http://localhost:8080/","2024-12-11","15:03:28","1331","8859","4588.599999997765","1105.300000000745","332.8999999985099","41","3812.199999999255","1","91",""
"26","http://localhost:8080/","2024-12-11","15:03:38","1286","8809","4546.5","1063.0999999977648","332.29999999701977","42","3763.89999999851","1","92",""
"27","http://localhost:8080/","2024-12-11","15:03:47","1302","8794","4553.60000000149","1070.300000000745","334.1000000014901","40","3767.900000002235","1","90",""
"28","http://localhost:8080/","2024-12-11","15:03:57","1309","8807","4560.10000000149","1076.800000000745","325.4000000022352","41","3781.900000002235","1","91",""
"29","http://localhost:8080/","2024-12-11","15:04:06","1302","8805","4559.900000002235","1076.6000000014901","325.9000000022352","41","3781.10000000149","1","91",""
"30","http://localhost:8080/","2024-12-11","15:04:16","1290","8821","4562.39999999851","1062.3999999985099","328.19999999925494","40","3774.300000000745","1","90",""
"31","http://localhost:8080/","2024-12-11","15:04:25","1302","8788","4552.20000000298","1068.800000000745","325.70000000298023","41","3766.60000000149","1","91",""
"32","http://localhost:8080/","2024-12-11","15:04:35","1295","8833","4579.60000000149","1062.8999999985099","332.5","40","3784.89999999851","1","90",""
