idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-9","11:36:07","5140","10156","4648","1089.7000000029802","331.20000000298023","44","3838","1","94",""
"2","http://localhost:8080/","2024-12-9","11:36:18","5004","10016","4506.400000002235","1048.2000000029802","326","39","3747.60000000149","1","89",""
"3","http://localhost:8080/","2024-12-9","11:36:29","5027","10039","4535.39999999851","1043.7999999970198","326.5","45","3754.5","1","95",""
"4","http://localhost:8080/","2024-12-9","11:36:39","5055","10066","4558.199999999255","1058.199999999255","333.1000000014901","40","3784.39999999851","1","90",""
"5","http://localhost:8080/","2024-12-9","11:36:50","5003","10012","4514.699999999255","1031.3999999985099","324.8999999985099","40","3742.5","1","90",""
"6","http://localhost:8080/","2024-12-9","11:37:01","5033","10044","4534.599999997765","1042.8999999985099","332.8999999985099","42","3759.599999997765","1","92",""
"7","http://localhost:8080/","2024-12-9","11:37:11","5056","10066","4559.300000000745","1075.9000000022352","332.70000000298023","40","3787.900000002235","1","90",""
"8","http://localhost:8080/","2024-12-9","11:37:22","5042","10053","4550.800000000745","1059.1000000014901","332.6000000014901","40","3770.5","1","90",""
"9","http://localhost:8080/","2024-12-9","11:37:33","5020","10032","4525.29999999702","1058.699999999255","333.19999999925494","40","3766","1","90",""
"10","http://localhost:8080/","2024-12-9","11:37:43","5041","10053","4547","1055.300000000745","332.6000000014901","40","3776.5","1","90",""
"11","http://localhost:8080/","2024-12-9","11:37:54","5027","10038","4530","1046.699999999255","333.19999999925494","41","3752.599999997765","1","91",""
"12","http://localhost:8080/","2024-12-9","11:38:05","5020","10030","4515.599999997765","1032.2999999970198","325.69999999925494","41","3763.5","1","91",""
"13","http://localhost:8080/","2024-12-9","11:38:15","5056","10067","4565.10000000149","1081.699999999255","332.5","40","3786.10000000149","1","90",""
"14","http://localhost:8080/","2024-12-9","11:38:26","5040","10050","4546.20000000298","1046.2000000029802","332.6000000014901","40","3769.300000000745","1","90",""
"15","http://localhost:8080/","2024-12-9","11:38:37","5041","10052","4538.39999999851","1055.0999999977648","332.5999999977648","40","3767.89999999851","1","90",""
"16","http://localhost:8080/","2024-12-9","11:38:47","5025","10034","4530.5","1030.5","332.9000000022352","39","3755.400000002235","1","89",""
"17","http://localhost:8080/","2024-12-9","11:38:58","5056","10068","4551.39999999851","1059.800000000745","332.5","39","3790.5","1","89",""
"18","http://localhost:8080/","2024-12-9","11:39:08","5041","10052","4550.5","1058.800000000745","332.80000000074506","41","3772.800000000745","1","91",""
"19","http://localhost:8080/","2024-12-9","11:39:19","5006","10016","4508.10000000149","1041.5","332.6000000014901","39","3749.5","1","89",""
"20","http://localhost:8080/","2024-12-9","11:39:30","5027","10039","4525.599999997765","1050.5999999977648","332.8999999985099","40","3750.5","1","90",""
"21","http://localhost:8080/","2024-12-9","11:39:40","5020","10032","4526.89999999851","1051.8999999985099","332.69999999925494","41","3763.599999997765","1","91",""
"22","http://localhost:8080/","2024-12-9","11:39:51","5020","10030","4526.60000000149","1051.5","332.80000000074506","41","3766.60000000149","1","91",""
"23","http://localhost:8080/","2024-12-9","11:40:02","5055","10066","4554.39999999851","1071.199999999255","340","39","3791.89999999851","1","89",""
"24","http://localhost:8080/","2024-12-9","11:40:12","5040","10052","4538.29999999702","1055","332.8999999985099","38","3778.199999999255","1","88",""
"25","http://localhost:8080/","2024-12-9","11:40:23","5034","10043","4539.300000000745","1039.4000000022352","325.4000000022352","39","3771","1","89",""
"26","http://localhost:8080/","2024-12-9","11:40:33","5025","10040","4523","1031.4000000022352","325.4000000022352","39","3752.7000000029802","1","89",""
"27","http://localhost:8080/","2024-12-9","11:40:44","5028","10039","4536.599999997765","1036.699999999255","332.8999999985099","41","3756.39999999851","1","91",""
"28","http://localhost:8080/","2024-12-9","11:40:55","5020","10031","4517.39999999851","1050.800000000745","333.19999999925494","40","3758.39999999851","1","90",""
"29","http://localhost:8080/","2024-12-9","11:41:05","5099","10112","4609.89999999851","1109.8999999985099","332.80000000074506","40","3839.099999997765","1","90",""
"30","http://localhost:8080/","2024-12-9","11:41:16","5086","10098","4584.60000000149","1076.4000000022352","332.69999999925494","41","3814.699999999255","1","91",""
"31","http://localhost:8080/","2024-12-9","11:41:27","5077","10087","4587.300000000745","1070.800000000745","339.69999999925494","39","3805.89999999851","1","89",""
"32","http://localhost:8080/","2024-12-9","11:41:38","5066","10078","4567.5","1067.4000000022352","340.70000000298023","39","3786.10000000149","1","89",""
"33","http://localhost:8080/","2024-12-9","11:41:48","5079","10091","4583.60000000149","1067","340.4000000022352","40","3800.199999999255","1","90",""
"34","http://localhost:8080/","2024-12-9","11:41:59","5064","10076","4566.599999997765","1066.5","339.69999999925494","40","3787.89999999851","1","90",""
"35","http://localhost:8080/","2024-12-9","11:42:10","5086","10099","4582.10000000149","1073.699999999255","340","38","3803.400000002235","1","88",""
