idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-9","10:11:13","912","5931","427.30000000074506","94","26.90000000037253","0","94","0","-1",""
"2","http://localhost:8080/","2024-12-9","10:11:19","993","6007","508.69999999925494","75.5","16","0","75.5","0","-1",""
"3","http://localhost:8080/","2024-12-9","10:11:26","1000","6013","515.6999999992549","82.40000000037253","17.90000000037253","0","82.40000000037253","0","-1",""
"4","http://localhost:8080/","2024-12-9","10:11:32","943","5956","459.2999999988824","76","12.799999998882413","0","76","0","-1",""
"5","http://localhost:8080/","2024-12-9","10:11:39","870","5883","389.90000000037253","81.5","13.900000000372529","0","81.5","0","-1",""
"6","http://localhost:8080/","2024-12-9","10:11:45","826","5839","346","79.40000000037253","12.600000001490116","0","79.40000000037253","0","-1",""
"7","http://localhost:8080/","2024-12-9","10:11:52","958","5970","477.5","77.5","16.200000001117587","0","77.5","0","-1",""
"8","http://localhost:8080/","2024-12-9","10:11:59","814","5827","333.2999999988824","75","12","0","75","0","-1",""
"9","http://localhost:8080/","2024-12-9","10:12:05","720","5733","237.69999999925494","79.29999999888241","13.599999999627471","0","79.29999999888241","0","-1",""
"10","http://localhost:8080/","2024-12-9","10:12:11","854","5867","368.8999999985099","77.19999999925494","9.399999998509884","0","77.19999999925494","0","-1",""
"11","http://localhost:8080/","2024-12-9","10:12:18","1275","6286","792.0999999996275","75.29999999888241","9.899999998509884","0","75.29999999888241","0","-1",""
"12","http://localhost:8080/","2024-12-9","10:12:25","925","5936","443.7999999988824","77.09999999962747","10.900000000372529","0","77.09999999962747","0","-1",""
"13","http://localhost:8080/","2024-12-9","10:12:31","844","5855","360.69999999925494","69","14.5","0","69","0","-1",""
"14","http://localhost:8080/","2024-12-9","10:12:38","948","5960","468.59999999962747","76.90000000037253","12.400000000372529","0","76.90000000037253","0","-1",""
"15","http://localhost:8080/","2024-12-9","10:12:44","914","5926","430.09999999962747","80.19999999925494","18.800000000745058","0","80.19999999925494","0","-1",""
"16","http://localhost:8080/","2024-12-9","10:12:51","1069","6081","585.6000000014901","69","8.600000001490116","0","69","0","-1",""
"17","http://localhost:8080/","2024-12-9","10:12:58","761","5772","274","74","8.099999999627471","0","74","0","-1",""
"18","http://localhost:8080/","2024-12-9","10:13:04","806","5819","328.2000000011176","78.20000000111759","10.5","0","78.20000000111759","0","-1",""
"19","http://localhost:8080/","2024-12-9","10:13:10","889","5900","413.3999999985099","63.5","8","0","63.5","0","-1",""
"20","http://localhost:8080/","2024-12-9","10:13:17","795","5808","312.7999999988824","79.5","11.5","0","79.5","0","-1",""
"21","http://localhost:8080/","2024-12-9","10:13:23","1010","6023","534.2000000011176","67.5","8.900000000372529","0","67.5","0","-1",""
"22","http://localhost:8080/","2024-12-9","10:13:30","961","5972","479.59999999962747","79.59999999962747","11.099999999627471","0","79.59999999962747","0","-1",""
"23","http://localhost:8080/","2024-12-9","10:13:37","798","5810","321.40000000037253","79.80000000074506","14.400000000372529","0","79.80000000074506","0","-1",""
"24","http://localhost:8080/","2024-12-9","10:13:43","739","5751","254.90000000037253","63.30000000074506","7","0","63.30000000074506","0","-1",""
"25","http://localhost:8080/","2024-12-9","10:13:49","961","5973","481.2999999988824","72.89999999850988","8","0","72.89999999850988","0","-1",""
"26","http://localhost:8080/","2024-12-9","10:13:56","983","5995","503.59999999962747","78.59999999962747","11.799999998882413","0","78.59999999962747","0","-1",""
"27","http://localhost:8080/","2024-12-9","10:14:03","1061","6072","580.3999999985099","63.79999999888241","7.599999999627471","0","63.79999999888241","0","-1",""
"28","http://localhost:8080/","2024-12-9","10:14:09","925","5936","441.30000000074506","66.30000000074506","9.5","0","66.30000000074506","0","-1",""
"29","http://localhost:8080/","2024-12-9","10:14:16","857","5869","374.59999999962747","74.5","8.800000000745058","0","74.5","0","-1",""
"30","http://localhost:8080/","2024-12-9","10:14:22","728","5740","242.69999999925494","76.09999999962747","9.900000000372529","0","76.09999999962747","0","-1",""
"31","http://localhost:8080/","2024-12-9","10:14:29","862","5873","386.09999999962747","77.80000000074506","10.300000000745058","0","77.80000000074506","0","-1",""
"32","http://localhost:8080/","2024-12-9","10:14:35","868","5880","384.5","76.19999999925494","9.099999999627471","0","76.19999999925494","0","-1",""
"33","http://localhost:8080/","2024-12-9","10:14:42","814","5823","330.90000000037253","72.59999999962747","6.900000000372529","0","72.59999999962747","0","-1",""
"34","http://localhost:8080/","2024-12-9","10:14:48","1150","6162","670","78.29999999888241","11.199999999254942","0","78.29999999888241","0","-1",""
"35","http://localhost:8080/","2024-12-9","10:14:55","935","5946","455.59999999962747","72.19999999925494","10.400000000372529","0","72.19999999925494","0","-1",""
"36","http://localhost:8080/","2024-12-9","10:15:01","763","5774","281.40000000037253","73","9.599999999627471","0","73","0","-1",""
"37","http://localhost:8080/","2024-12-9","10:15:08","926","5938","440.7000000011176","65.70000000111759","7.300000000745058","0","65.70000000111759","0","-1",""
"38","http://localhost:8080/","2024-12-9","10:15:14","829","5840","347.2000000011176","63.90000000037253","8","0","63.90000000037253","0","-1",""
