idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-9","15:48:53","6578","11595","6076.60000000149","1080.6999999955297","332.8999999985099","48","5306.19999999553","2","98",""
"2","http://localhost:8080/","2024-12-9","15:49:05","6535","11547","6032.60000000149","1074.3000000044703","333.20000000298023","42","5270.10000000149","1","92",""
"3","http://localhost:8080/","2024-12-9","15:49:17","6479","11490","5983.19999999553","1049.8999999985099","333.5","37","5221.60000000149","1","87",""
"4","http://localhost:8080/","2024-12-9","15:49:29","6498","11509","5997.10000000149","1055.5","332.3999999985099","41","5232.60000000149","1","91",""
"5","http://localhost:8080/","2024-12-9","15:49:41","6464","11477","5961.10000000149","1036.1000000014901","325.5","38","5205.9000000059605","1","88",""
"6","http://localhost:8080/","2024-12-9","15:49:53","6530","11542","6032.79999999702","1074.6000000014901","332.79999999701977","39","5253","1","89",""
"7","http://localhost:8080/","2024-12-9","15:50:06","6494","11504","5996","1062.7000000029802","332.8999999985099","35","5241.39999999851","1","85",""
"8","http://localhost:8080/","2024-12-9","15:50:18","6486","11497","5988.60000000149","1038.7000000029802","331.80000000447035","40","5217.70000000298","1","90",""
"9","http://localhost:8080/","2024-12-9","15:50:30","6486","11496","5986.19999999553","1052.8999999985099","325.6000000014901","40","5212.19999999553","1","90",""
"10","http://localhost:8080/","2024-12-9","15:50:42","6484","11496","5991.29999999702","1049.5","332.69999999552965","42","5235","1","92",""
"11","http://localhost:8080/","2024-12-9","15:50:54","6479","11489","5974.70000000298","1049.7000000029802","332.70000000298023","38","5223.5","1","88",""
"12","http://localhost:8080/","2024-12-9","15:51:06","6493","11505","6001.20000000298","1051.1000000014901","332.79999999701977","40","5233.5","1","90",""
"13","http://localhost:8080/","2024-12-9","15:51:18","6493","11504","5994.20000000298","1052.6000000014901","325.6000000014901","42","5220.5","1","92",""
"14","http://localhost:8080/","2024-12-9","15:51:30","6478","11491","5984.10000000149","1050.7999999970198","332.70000000298023","41","5212.10000000149","1","91",""
"15","http://localhost:8080/","2024-12-9","15:51:42","6535","11546","6032.79999999702","1082.7999999970198","332.69999999552965","39","5260.60000000149","1","89",""
"16","http://localhost:8080/","2024-12-9","15:51:54","6457","11469","5962.60000000149","1045.9000000059605","332.80000000447035","41","5204","1","91",""
"17","http://localhost:8080/","2024-12-9","15:52:07","6529","11540","6034","1075.7000000029802","332.70000000298023","40","5259.79999999702","1","90",""
"18","http://localhost:8080/","2024-12-9","15:52:19","6479","11491","5975","1050","332.70000000298023","40","5218.20000000298","1","90",""
"19","http://localhost:8080/","2024-12-9","15:52:31","6493","11505","5993.19999999553","1051.6000000014901","332.6000000014901","41","5232.60000000149","1","91",""
"20","http://localhost:8080/","2024-12-9","15:52:43","6466","11477","5968.30000000447","1034.8999999985099","332.8999999985099","40","5203.70000000298","1","90",""
"21","http://localhost:8080/","2024-12-9","15:52:55","6479","11490","5988.20000000298","1046.5","332.5","44","5228.20000000298","1","94",""
"22","http://localhost:8080/","2024-12-9","15:53:07","6493","11502","5988.89999999851","1063.8999999985099","333","41","5224.29999999702","1","91",""
"23","http://localhost:8080/","2024-12-9","15:53:19","6528","11537","6038","1046.2999999970198","332.29999999701977","40","5259.5","1","90",""
"24","http://localhost:8080/","2024-12-9","15:53:31","6470","11482","5970.80000000447","1054.2000000029802","331.5","41","5217.39999999851","1","91",""
"25","http://localhost:8080/","2024-12-9","15:53:43","6478","11489","5988.89999999851","1047.2000000029802","332.6000000014901","40","5210.60000000149","1","90",""
"26","http://localhost:8080/","2024-12-9","15:53:55","6529","11540","6040.60000000149","1074","339.69999999552965","40","5258.79999999702","1","90",""
"27","http://localhost:8080/","2024-12-9","15:54:07","6515","11527","6021","1071","339.79999999701977","35","5251.5999999940395","1","85",""
"28","http://localhost:8080/","2024-12-9","15:54:20","6572","11585","6074.89999999851","1066.5","339.59999999403954","38","5286.0999999940395","1","88",""
"29","http://localhost:8080/","2024-12-9","15:54:32","6517","11528","6023.80000000447","1082.2000000029802","340.70000000298023","37","5256.5","1","87",""
"30","http://localhost:8080/","2024-12-9","15:54:44","6543","11553","6046.29999999702","1087.8999999985099","339","43","5273","1","93",""
"31","http://localhost:8080/","2024-12-9","15:54:56","6545","11556","6051.20000000298","1076.2000000029802","339.70000000298023","38","5266.89999999851","1","88",""
"32","http://localhost:8080/","2024-12-9","15:55:08","6519","11531","6022.5","1080.9000000059605","340.30000000447035","39","5266.4000000059605","1","89",""
"33","http://localhost:8080/","2024-12-9","15:55:20","6530","11543","6028.5","1078.5","346.8999999985099","39","5267.10000000149","1","89",""
"34","http://localhost:8080/","2024-12-9","15:55:32","6529","11543","6033.70000000298","1075.3999999985099","340.1000000014901","39","5251.89999999851","1","89",""
"35","http://localhost:8080/","2024-12-9","15:55:45","6530","11542","6030.79999999702","1080.7999999970198","339.79999999701977","38","5264.29999999702","1","88",""
"36","http://localhost:8080/","2024-12-9","15:55:57","6517","11527","6023.19999999553","1073.1999999955297","346.6000000014901","37","5255.60000000149","1","87",""
"37","http://localhost:8080/","2024-12-9","15:56:09","6528","11540","6035.10000000149","1068.4000000059605","339.80000000447035","40","5255.10000000149","1","90",""
"38","http://localhost:8080/","2024-12-9","15:56:21","6516","11528","6017.30000000447","1050.6000000014901","339.90000000596046","39","5251.30000000447","1","89",""
"39","http://localhost:8080/","2024-12-9","15:56:33","6507","11520","6017.29999999702","1058.8999999985099","339.69999999552965","37","5246.5","1","87",""
"40","http://localhost:8080/","2024-12-9","15:56:45","6530","11542","6040.30000000447","1073.7000000029802","340","36","5264.39999999851","1","86",""
"41","http://localhost:8080/","2024-12-9","15:56:57","6514","11527","6017.4000000059605","1050.8000000044703","339.80000000447035","38","5236.10000000149","1","88",""
"42","http://localhost:8080/","2024-12-9","15:57:09","6517","11528","6025","1075","332.5","35","5262.5","1","85",""
"43","http://localhost:8080/","2024-12-9","15:57:22","6535","11547","6037.5","1079.0999999940395","339.8999999985099","38","5279.89999999851","1","88",""
"44","http://localhost:8080/","2024-12-9","15:57:34","6529","11539","6026.5","1076.6000000014901","340","39","5266.10000000149","1","89",""
"45","http://localhost:8080/","2024-12-9","15:57:46","6508","11519","6009.89999999851","1060","332.59999999403954","35","5240.0999999940395","1","85",""
"46","http://localhost:8080/","2024-12-9","15:57:58","6552","11563","6062.10000000149","1078.7000000029802","341","39","5273","1","89",""
"47","http://localhost:8080/","2024-12-9","15:58:10","6528","11540","6031.79999999702","1065.1000000014901","332.1000000014901","39","5259.5","1","89",""
"48","http://localhost:8080/","2024-12-9","15:58:22","6551","11562","6051.5","1084.8999999985099","340.3999999985099","39","5277.39999999851","1","89",""
"49","http://localhost:8080/","2024-12-9","15:58:34","6549","11559","6059.79999999702","1109.7999999970198","340.29999999701977","38","5298.10000000149","1","88",""
"50","http://localhost:8080/","2024-12-9","15:58:47","6551","11562","6050.10000000149","1075.1000000014901","339.40000000596046","39","5271.9000000059605","1","89",""
