idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-9","14:50:32","968","5989","482.4000000022352","99.10000000149012","29.100000001490116","0","99.10000000149012","0","-1",""
"2","http://localhost:8080/","2024-12-9","14:50:38","1119","6133","634.3999999985099","84.30000000074506","15","0","84.30000000074506","0","-1",""
"3","http://localhost:8080/","2024-12-9","14:50:45","1011","6025","531.6999999992549","90.09999999776483","20","0","90.09999999776483","0","-1",""
"4","http://localhost:8080/","2024-12-9","14:50:51","957","5969","474.5999999977648","82.79999999701977","14.199999999254942","0","82.79999999701977","0","-1",""
"5","http://localhost:8080/","2024-12-9","14:50:58","829","5843","346.3999999985099","79.80000000074506","15.399999998509884","0","79.80000000074506","0","-1",""
"6","http://localhost:8080/","2024-12-9","14:51:05","815","5820","339.5","81.19999999925494","14.5","0","81.19999999925494","0","-1",""
"7","http://localhost:8080/","2024-12-9","14:51:11","1073","6085","591.5999999977648","83.30000000074506","14.899999998509884","0","83.30000000074506","0","-1",""
"8","http://localhost:8080/","2024-12-9","14:51:18","1186","6198","703.6999999992549","78.59999999776483","11.399999998509884","0","78.59999999776483","0","-1",""
"9","http://localhost:8080/","2024-12-9","14:51:24","884","5889","404.8999999985099","79.89999999850988","11","0","79.89999999850988","0","-1",""
"10","http://localhost:8080/","2024-12-9","14:51:31","1372","6385","889.6000000014901","81.30000000074506","13.400000002235174","0","81.30000000074506","0","-1",""
"11","http://localhost:8080/","2024-12-9","14:51:38","787","5798","312.5","87.39999999850988","18.5","0","87.39999999850988","0","-1",""
"12","http://localhost:8080/","2024-12-9","14:51:44","1005","6011","528.8999999985099","78.89999999850988","12.699999999254942","0","78.89999999850988","0","-1",""
"13","http://localhost:8080/","2024-12-9","14:51:51","1127","6140","649.5","91.10000000149012","23.200000002980232","0","91.10000000149012","0","-1",""
"14","http://localhost:8080/","2024-12-9","14:51:58","920","5933","437.19999999925494","78.89999999850988","12.599999997764826","0","78.89999999850988","0","-1",""
"15","http://localhost:8080/","2024-12-9","14:52:04","1074","6080","587.2000000029802","70.60000000149012","10.100000001490116","0","70.60000000149012","0","-1",""
"16","http://localhost:8080/","2024-12-9","14:52:11","958","5970","477.29999999701977","77.39999999850988","8.399999998509884","0","77.39999999850988","0","-1",""
"17","http://localhost:8080/","2024-12-9","14:52:17","1016","6028","536.8999999985099","78.59999999776483","11.899999998509884","0","78.59999999776483","0","-1",""
"18","http://localhost:8080/","2024-12-9","14:52:24","1046","6057","569","77.30000000074506","10.199999999254942","0","77.30000000074506","0","-1",""
"19","http://localhost:8080/","2024-12-9","14:52:31","926","5939","445.19999999925494","61.80000000074506","10","0","61.80000000074506","0","-1",""
"20","http://localhost:8080/","2024-12-9","14:52:37","834","5846","351","76","11.199999999254942","0","76","0","-1",""
"21","http://localhost:8080/","2024-12-9","14:52:44","821","5833","338.8999999985099","80.60000000149012","12","0","80.60000000149012","0","-1",""
"22","http://localhost:8080/","2024-12-9","14:52:50","949","5961","472.30000000074506","72.30000000074506","8.600000001490116","0","72.30000000074506","0","-1",""
"23","http://localhost:8080/","2024-12-9","14:52:57","905","5917","425","75","8.600000001490116","0","75","0","-1",""
"24","http://localhost:8080/","2024-12-9","14:53:03","1094","6107","616.8999999985099","75.19999999925494","9.600000001490116","0","75.19999999925494","0","-1",""
"25","http://localhost:8080/","2024-12-9","14:53:10","1111","6122","626.9000000022352","60.19999999925494","8.100000001490116","0","60.19999999925494","0","-1",""
"26","http://localhost:8080/","2024-12-9","14:53:17","1046","6057","564","64","9.5","0","64","0","-1",""
"27","http://localhost:8080/","2024-12-9","14:53:23","1082","6095","606.3000000007451","73","10.800000000745058","0","73","0","-1",""
"28","http://localhost:8080/","2024-12-9","14:53:30","1103","6115","624.1000000014901","82.5","13.5","0","82.5","0","-1",""
"29","http://localhost:8080/","2024-12-9","14:53:37","947","5958","471.8999999985099","80.19999999925494","12.299999997019768","0","80.19999999925494","0","-1",""
"30","http://localhost:8080/","2024-12-9","14:53:43","1026","6038","545.1000000014901","70.10000000149012","8.200000002980232","0","70.10000000149012","0","-1",""
"31","http://localhost:8080/","2024-12-9","14:53:50","940","5952","464.30000000074506","72.69999999925494","10.699999999254942","0","72.69999999925494","0","-1",""
"32","http://localhost:8080/","2024-12-9","14:53:57","845","5858","366.30000000074506","74.60000000149012","12.900000002235174","0","74.60000000149012","0","-1",""
"33","http://localhost:8080/","2024-12-9","14:54:03","1013","6025","533.4000000022352","75","7.5","0","75","0","-1",""
"34","http://localhost:8080/","2024-12-9","14:54:10","914","5926","434.0999999977648","67.29999999701977","9.699999999254942","0","67.29999999701977","0","-1",""
"35","http://localhost:8080/","2024-12-9","14:54:16","951","5962","473.1000000014901","73.10000000149012","8.699999999254942","0","73.10000000149012","0","-1",""
"36","http://localhost:8080/","2024-12-9","14:54:23","791","5803","307.30000000074506","73.89999999850988","7","0","73.89999999850988","0","-1",""
"37","http://localhost:8080/","2024-12-9","14:54:29","1071","6083","592.2999999970198","75.69999999925494","10","0","75.69999999925494","0","-1",""
"38","http://localhost:8080/","2024-12-9","14:54:36","1115","6127","635.5","60.600000001490116","9.699999999254942","0","60.600000001490116","0","-1",""
"39","http://localhost:8080/","2024-12-9","14:54:43","1037","6050","555.2999999970198","63.599999997764826","9.899999998509884","0","63.599999997764826","0","-1",""
"40","http://localhost:8080/","2024-12-9","14:54:49","1167","6172","687.6999999992549","62.69999999925494","9.5","0","62.69999999925494","0","-1",""
"41","http://localhost:8080/","2024-12-9","14:54:56","1142","6153","664.3000000007451","72.69999999925494","7.199999999254942","0","72.69999999925494","0","-1",""
"42","http://localhost:8080/","2024-12-9","14:55:03","1159","6171","680.5","72.10000000149012","6.800000000745058","0","72.10000000149012","0","-1",""
"43","http://localhost:8080/","2024-12-9","14:55:10","942","5947","471.6000000014901","71.60000000149012","7.700000002980232","0","71.60000000149012","0","-1",""
"44","http://localhost:8080/","2024-12-9","14:55:16","1366","6378","888.3999999985099","71.69999999925494","7.699999999254942","0","71.69999999925494","0","-1",""
"45","http://localhost:8080/","2024-12-9","14:55:23","1360","6372","880.8000000007451","72.5","8.899999998509884","0","72.5","0","-1",""
"46","http://localhost:8080/","2024-12-9","14:55:30","1039","6051","565.8000000007451","74.19999999925494","6","0","74.19999999925494","0","-1",""
"47","http://localhost:8080/","2024-12-9","14:55:37","898","5911","419.19999999925494","69.09999999776483","7.199999999254942","0","69.09999999776483","0","-1",""
"48","http://localhost:8080/","2024-12-9","14:55:43","1147","6159","665.5999999977648","73.89999999850988","6.5","0","73.89999999850988","0","-1",""
"49","http://localhost:8080/","2024-12-9","14:55:50","961","5973","488.19999999925494","63.099999997764826","8.799999997019768","0","63.099999997764826","0","-1",""
"50","http://localhost:8080/","2024-12-9","14:55:57","893","5907","412.4000000022352","70.69999999925494","9.100000001490116","0","70.69999999925494","0","-1",""
"51","http://localhost:8080/","2024-12-9","14:56:03","1058","6071","583.1000000014901","66.5","9.400000002235174","0","66.5","0","-1",""
"52","http://localhost:8080/","2024-12-9","14:56:10","1044","6052","560.1999999992549","60.19999999925494","7.099999997764826","0","60.19999999925494","0","-1",""
"53","http://localhost:8080/","2024-12-9","14:56:16","1032","6043","561.8000000007451","70.10000000149012","8.5","0","70.10000000149012","0","-1",""
"54","http://localhost:8080/","2024-12-9","14:56:23","774","5784","296","62.599999997764826","6","0","62.599999997764826","0","-1",""
"55","http://localhost:8080/","2024-12-9","14:56:30","830","5841","353.3999999985099","78.39999999850988","10.699999999254942","0","78.39999999850988","0","-1",""
"56","http://localhost:8080/","2024-12-9","14:56:36","952","5961","472.30000000074506","72.30000000074506","6.200000002980232","0","72.30000000074506","0","-1",""
"57","http://localhost:8080/","2024-12-9","14:56:43","1124","6136","644.3000000007451","69.30000000074506","10.5","0","69.30000000074506","0","-1",""
"58","http://localhost:8080/","2024-12-9","14:56:49","947","5960","462.5","70.80000000074506","6.300000000745058","0","70.80000000074506","0","-1",""
"59","http://localhost:8080/","2024-12-9","14:56:56","1124","6136","652.5999999977648","69.19999999925494","8.800000000745058","0","69.19999999925494","0","-1",""
"60","http://localhost:8080/","2024-12-9","14:57:03","873","5886","397.5","72.5","5.300000000745058","0","72.5","0","-1",""
"61","http://localhost:8080/","2024-12-9","14:57:09","1118","6132","645.2999999970198","70.39999999850988","6.699999999254942","0","70.39999999850988","0","-1",""
"62","http://localhost:8080/","2024-12-9","14:57:16","1064","6077","582.8000000007451","57.80000000074506","5.699999999254942","0","57.80000000074506","0","-1",""
"63","http://localhost:8080/","2024-12-9","14:57:23","832","5846","351.69999999925494","60.100000001490116","10","0","60.100000001490116","0","-1",""
"64","http://localhost:8080/","2024-12-9","14:57:29","1094","6105","622.2000000029802","72.20000000298023","6.900000002235174","0","72.20000000298023","0","-1",""
"65","http://localhost:8080/","2024-12-9","14:57:36","722","5733","245","70.10000000149012","5.100000001490116","0","70.10000000149012","0","-1",""
"66","http://localhost:8080/","2024-12-9","14:57:42","1155","6169","673.1000000014901","73.10000000149012","7.199999999254942","0","73.10000000149012","0","-1",""
"67","http://localhost:8080/","2024-12-9","14:57:49","1047","6060","569.1999999992549","69.19999999925494","5.800000000745058","0","69.19999999925494","0","-1",""
"68","http://localhost:8080/","2024-12-9","14:57:55","781","5792","307.5999999977648","57.599999997764826","6.399999998509884","0","57.599999997764826","0","-1",""
"69","http://localhost:8080/","2024-12-9","14:58:02","1005","6017","530.1999999992549","63.5","6.599999997764826","0","63.5","0","-1",""
"70","http://localhost:8080/","2024-12-9","14:58:09","904","5917","430","71.59999999776483","5.199999999254942","0","71.59999999776483","0","-1",""
"71","http://localhost:8080/","2024-12-9","14:58:15","874","5885","395.79999999701977","87.39999999850988","5.5","0","87.39999999850988","0","-1",""
"72","http://localhost:8080/","2024-12-9","14:58:22","952","5962","475.8999999985099","67.59999999776483","9.300000000745058","0","67.59999999776483","0","-1",""
