idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-10","15:14:13","1610","6629","1043.7999999970198","1035.3999999985099","474.29999999701977","0","1035.3999999985099","0","-1",""
"2","http://localhost:8080/","2024-12-10","15:14:20","985","6000","442.59999999403954","434.19999999552965","64.5","0","434.19999999552965","0","-1",""
"3","http://localhost:8080/","2024-12-10","15:14:27","942","5955","394.5","386.1000000014901","51.70000000298023","0","386.1000000014901","0","-1",""
"4","http://localhost:8080/","2024-12-10","15:14:33","1008","6022","466.80000000447035","458.5","58.899999998509884","0","458.5","0","-1",""
"5","http://localhost:8080/","2024-12-10","15:14:40","868","5881","327.3999999985099","319.1000000014901","54.5","0","319.1000000014901","0","-1",""
"6","http://localhost:8080/","2024-12-10","15:14:46","860","5872","321.6000000014901","304.80000000447035","73.60000000149012","0","304.80000000447035","0","-1",""
"7","http://localhost:8080/","2024-12-10","15:14:53","989","5998","451.90000000596046","443.6000000014901","46.900000005960464","0","443.6000000014901","0","-1",""
"8","http://localhost:8080/","2024-12-10","15:14:59","857","5870","321.70000000298023","305.1000000014901","74.60000000149012","0","305.1000000014901","0","-1",""
"9","http://localhost:8080/","2024-12-10","15:15:06","803","5818","263.30000000447035","255","56.30000000447035","0","255","0","-1",""
"10","http://localhost:8080/","2024-12-10","15:15:12","866","5872","334","317.29999999701977","47.20000000298023","0","317.29999999701977","0","-1",""
"11","http://localhost:8080/","2024-12-10","15:15:19","916","5929","378.8999999985099","362.29999999701977","50.19999999552965","0","362.29999999701977","0","-1",""
"12","http://localhost:8080/","2024-12-10","15:15:25","990","6001","448.80000000447035","440.5","49.70000000298023","0","440.5","0","-1",""
"13","http://localhost:8080/","2024-12-10","15:15:32","853","5862","315.5","307.20000000298023","43.70000000298023","0","307.20000000298023","0","-1",""
"14","http://localhost:8080/","2024-12-10","15:15:38","945","5955","410.40000000596046","393.70000000298023","48","0","393.70000000298023","0","-1",""
"15","http://localhost:8080/","2024-12-10","15:15:45","858","5870","317.69999999552965","309.29999999701977","42","0","309.29999999701977","0","-1",""
"16","http://localhost:8080/","2024-12-10","15:15:51","976","5988","437.40000000596046","429.1000000014901","47.600000001490116","0","429.1000000014901","0","-1",""
"17","http://localhost:8080/","2024-12-10","15:15:58","876","5888","342.8999999985099","326.29999999701977","38.100000001490116","0","326.29999999701977","0","-1",""
"18","http://localhost:8080/","2024-12-10","15:16:04","1001","6012","465.8999999985099","449.1000000014901","42.5","0","449.1000000014901","0","-1",""
"19","http://localhost:8080/","2024-12-10","15:16:11","905","5918","371.90000000596046","355.20000000298023","43.30000000447035","0","355.20000000298023","0","-1",""
"20","http://localhost:8080/","2024-12-10","15:16:18","834","5845","303.20000000298023","286.5","37.80000000447035","0","286.5","0","-1",""
"21","http://localhost:8080/","2024-12-10","15:16:24","887","5900","352.20000000298023","343.79999999701977","44.399999998509884","0","343.79999999701977","0","-1",""
"22","http://localhost:8080/","2024-12-10","15:16:31","979","5991","445.70000000298023","429","37.5","0","429","0","-1",""
"23","http://localhost:8080/","2024-12-10","15:16:37","1044","6053","509.70000000298023","493.1000000014901","40.80000000447035","0","493.1000000014901","0","-1",""
"24","http://localhost:8080/","2024-12-10","15:16:44","885","5897","352","335.29999999701977","40.5","0","335.29999999701977","0","-1",""
"25","http://localhost:8080/","2024-12-10","15:16:50","822","5832","282.79999999701977","274.5","38.5","0","274.5","0","-1",""
"26","http://localhost:8080/","2024-12-10","15:16:57","946","5957","414.79999999701977","398.09999999403954","43.399999998509884","0","398.09999999403954","0","-1",""
"27","http://localhost:8080/","2024-12-10","15:17:03","904","5915","370","361.69999999552965","37.399999998509884","0","361.69999999552965","0","-1",""
"28","http://localhost:8080/","2024-12-10","15:17:10","915","5927","377.1000000014901","368.6000000014901","34.5","0","368.6000000014901","0","-1",""
"29","http://localhost:8080/","2024-12-10","15:17:17","811","5822","277.8999999985099","261.19999999552965","49.399999998509884","0","261.19999999552965","0","-1",""
"30","http://localhost:8080/","2024-12-10","15:17:23","840","5850","307.6000000014901","290.8999999985099","38.20000000298023","0","290.8999999985099","0","-1",""
"31","http://localhost:8080/","2024-12-10","15:17:29","833","5844","302.1000000014901","285.5","34.100000001490116","0","285.5","0","-1",""
"32","http://localhost:8080/","2024-12-10","15:17:36","952","5964","419","402.30000000447035","40.400000005960464","0","402.30000000447035","0","-1",""
"33","http://localhost:8080/","2024-12-10","15:17:42","926","5938","392.3999999985099","384.09999999403954","37.399999998509884","0","384.09999999403954","0","-1",""
"34","http://localhost:8080/","2024-12-10","15:17:49","952","5964","411.8999999985099","403.59999999403954","32.69999999552965","0","403.59999999403954","0","-1",""
"35","http://localhost:8080/","2024-12-10","15:17:56","1016","6026","482.5","465.80000000447035","39.20000000298023","0","465.80000000447035","0","-1",""
"36","http://localhost:8080/","2024-12-10","15:18:02","987","5993","455.20000000298023","438.5","48.100000001490116","0","438.5","0","-1",""
