idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-10","16:19:18","6521","11538","1647.5","1414.0999999940395","653.6999999955297","45","5680.69999999553","1","95",""
"2","http://localhost:8080/","2024-12-10","16:19:30","6186","11197","1234","1125.6999999955297","361.69999999552965","45","5344.5","1","95",""
"3","http://localhost:8080/","2024-12-10","16:19:42","6200","11211","1233.0999999940395","1124.7999999970198","362.3999999985099","45","5358.0999999940395","1","95",""
"4","http://localhost:8080/","2024-12-10","16:19:54","6234","11247","1355","1130","362.40000000596046","45","5394.80000000447","1","95",""
"5","http://localhost:8080/","2024-12-10","16:20:06","6192","11204","1310.7999999970198","1102.5","355.29999999701977","20","5319.10000000149","1","70",""
"6","http://localhost:8080/","2024-12-10","16:20:18","6227","11239","1360.2999999970198","1110.1999999955297","354.09999999403954","44","5386.79999999702","1","94",""
"7","http://localhost:8080/","2024-12-10","16:20:29","6206","11218","1283.2000000029802","1124.8999999985099","362.6000000014901","43","5364.20000000298","1","93",""
"8","http://localhost:8080/","2024-12-10","16:20:41","6207","11219","1245.9000000059605","1120.9000000059605","362.70000000298023","17","5333.70000000298","1","67",""
"9","http://localhost:8080/","2024-12-10","16:20:53","6192","11203","1329.6000000014901","1129.6000000014901","361.8999999985099","42","5355.10000000149","1","92",""
"10","http://localhost:8080/","2024-12-10","16:21:05","6199","11212","1292.5","1134.2000000029802","362.6000000014901","45","5359.30000000447","1","95",""
"11","http://localhost:8080/","2024-12-10","16:21:17","6214","11226","1319.8999999985099","1111.5","361.5","45","5369.39999999851","1","95",""
"12","http://localhost:8080/","2024-12-10","16:21:28","6208","11221","1334.1000000014901","1117.5","362.69999999552965","44","5364.69999999553","1","94",""
"13","http://localhost:8080/","2024-12-10","16:21:40","6185","11197","1235.2999999970198","1118.6000000014901","355.6000000014901","45","5343.60000000149","1","95",""
"14","http://localhost:8080/","2024-12-10","16:21:52","6228","11240","1344","1119","355.5","46","5389.5999999940395","1","96",""
"15","http://localhost:8080/","2024-12-10","16:22:04","6207","11219","1324.2999999970198","1124.2999999970198","361.8999999985099","45","5368.60000000149","1","95",""
"16","http://localhost:8080/","2024-12-10","16:22:16","6213","11225","1284.4000000059605","1126","362.80000000447035","45","5373","1","95",""
"17","http://localhost:8080/","2024-12-10","16:22:28","6223","11235","1339.3999999985099","1106.1000000014901","355.3999999985099","19","5347.60000000149","1","69",""
"18","http://localhost:8080/","2024-12-10","16:22:39","6236","11247","1370.6999999955297","1120.5999999940395","362.3999999985099","44","5393.89999999851","1","94",""
"19","http://localhost:8080/","2024-12-10","16:22:51","6205","11216","1288.2999999970198","1121.6999999955297","362.6000000014901","44","5360.5","1","94",""
"20","http://localhost:8080/","2024-12-10","16:23:03","6200","11212","1296.8999999985099","1121.8999999985099","361.80000000447035","43","5360.20000000298","1","93",""
"21","http://localhost:8080/","2024-12-10","16:23:15","6250","11262","1392.7999999970198","1117.7999999970198","361.19999999552965","44","5408.19999999553","1","94",""
"22","http://localhost:8080/","2024-12-10","16:23:27","6194","11207","1230.2000000029802","1113.6000000014901","361.5","20","5328.10000000149","1","70",""
"23","http://localhost:8080/","2024-12-10","16:23:38","6212","11221","1339.2000000029802","1114.2000000029802","354.70000000298023","45","5372.60000000149","1","95",""
"24","http://localhost:8080/","2024-12-10","16:23:50","6192","11203","1247","1121.8999999985099","361","49","5354.89999999851","1","99",""
"25","http://localhost:8080/","2024-12-10","16:24:02","6206","11218","1339.5","1114.5","354.8999999985099","45","5366","1","95",""
"26","http://localhost:8080/","2024-12-10","16:24:14","6192","11204","1220.2999999970198","1120.2999999970198","355","45","5352.5","1","95",""
"27","http://localhost:8080/","2024-12-10","16:24:26","6236","11247","1258","1141.2999999970198","370.5","45","5393.39999999851","1","95",""
"28","http://localhost:8080/","2024-12-10","16:24:38","6208","11220","1257.3999999985099","1149","369.8999999985099","43","5364.60000000149","1","93",""
"29","http://localhost:8080/","2024-12-10","16:24:49","6225","11237","1267.2000000029802","1142.3000000044703","368.30000000447035","44","5379.4000000059605","1","94",""
"30","http://localhost:8080/","2024-12-10","16:25:01","6242","11254","1351.6000000014901","1151.5","368.80000000447035","42","5399.20000000298","1","92",""
