idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-15","10:10:29","33","5142","119.90000000037253","119.90000000037253","24.699999999254942","0","119.90000000037253","0","-1","80.69999999925494","85","159.09999999962747",""
"2","http://localhost:8080/","2024-12-15","10:10:35","25","5116","93.09999999962747","93.09999999962747","19.800000000745058","0","93.09999999962747","0","-1","65.40000000037253","68.20000000111759","130.5",""
"3","http://localhost:8080/","2024-12-15","10:10:41","27","5109","124","99.09999999962747","21.40000000037253","0","99.09999999962747","0","-1","58.69999999925494","62.30000000074506","121.30000000074506",""
"4","http://localhost:8080/","2024-12-15","10:10:46","25","5109","92.30000000074506","92.30000000074506","18.90000000037253","0","92.30000000074506","0","-1","57.09999999962747","60","122.90000000037253",""
"5","http://localhost:8080/","2024-12-15","10:10:52","22","5107","94.59999999962747","94.59999999962747","17.199999999254942","0","94.59999999962747","0","-1","59.30000000074506","62","121.5",""
"6","http://localhost:8080/","2024-12-15","10:10:58","23","5108","91.90000000037253","91.90000000037253","17.59999999962747","0","91.90000000037253","0","-1","57.70000000111759","60.80000000074506","122.30000000074506",""
"7","http://localhost:8080/","2024-12-15","10:11:04","22","5105","94.29999999888241","94.29999999888241","17.199999999254942","0","94.29999999888241","0","-1","55.90000000037253","59.29999999888241","120.19999999925494",""
"8","http://localhost:8080/","2024-12-15","10:11:09","22","5107","116.59999999962747","91.59999999962747","17.59999999962747","0","91.59999999962747","0","-1","58.29999999888241","61.69999999925494","121.29999999888241",""
"9","http://localhost:8080/","2024-12-15","10:11:15","21","5104","116.5","91.40000000037253","14.900000000372529","0","91.40000000037253","0","-1","52.90000000037253","55.80000000074506","116.20000000111759",""
"10","http://localhost:8080/","2024-12-15","10:11:21","22","5107","88.79999999888241","88.79999999888241","15.899999998509884","0","88.79999999888241","0","-1","58.09999999962747","61.09999999962747","119.09999999962747",""
"11","http://localhost:8080/","2024-12-15","10:11:27","23","5103","118.90000000037253","93.90000000037253","18.300000000745058","0","93.90000000037253","0","-1","55.09999999962747","58.30000000074506","117.09999999962747",""
"12","http://localhost:8080/","2024-12-15","10:11:32","19","5098","113.40000000037253","88.30000000074506","14.700000001117587","0","88.30000000074506","0","-1","50.30000000074506","52.90000000037253","112.30000000074506",""
"13","http://localhost:8080/","2024-12-15","10:11:38","22","5105","120.70000000111759","87.40000000037253","16.800000000745058","0","87.40000000037253","0","-1","56.5","60.100000001490116","118.30000000074506",""
"14","http://localhost:8080/","2024-12-15","10:11:44","23","5107","112.80000000074506","87.70000000111759","16.300000000745058","0","87.70000000111759","0","-1","55.600000001490116","59","117.80000000074506",""
"15","http://localhost:8080/","2024-12-15","10:11:50","20","5106","121","87.69999999925494","15.599999999627471","0","87.69999999925494","0","-1","56.09999999962747","60.19999999925494","120.09999999962747",""
"16","http://localhost:8080/","2024-12-15","10:11:55","21","5100","113.5","88.5","15.400000000372529","0","88.5","0","-1","50.40000000037253","53.29999999888241","111.90000000037253",""
"17","http://localhost:8080/","2024-12-15","10:12:01","20","5099","109.80000000074506","93.10000000149012","15.100000001490116","0","93.10000000149012","0","-1","50.100000001490116","52.90000000037253","112",""
"18","http://localhost:8080/","2024-12-15","10:12:07","20","5104","119.5","86.09999999962747","15.5","0","86.09999999962747","0","-1","55.70000000111759","58.90000000037253","117",""
"19","http://localhost:8080/","2024-12-15","10:12:13","21","5101","112.5","87.5","15.699999999254942","0","87.5","0","-1","53","56.19999999925494","116.19999999925494",""
"20","http://localhost:8080/","2024-12-15","10:12:18","20","5106","118.5","85.19999999925494","15.5","0","85.19999999925494","0","-1","55.59999999962747","58.90000000037253","118.80000000074506",""
"21","http://localhost:8080/","2024-12-15","10:12:24","21","5107","87.69999999925494","87.69999999925494","15.900000000372529","0","87.69999999925494","0","-1","56.80000000074506","59.90000000037253","120.5",""
"22","http://localhost:8080/","2024-12-15","10:12:30","20","5101","110.90000000037253","94.20000000111759","15.100000001490116","0","94.20000000111759","0","-1","51.70000000111759","54.600000001490116","115.40000000037253",""
"23","http://localhost:8080/","2024-12-15","10:12:36","21","5104","119.59999999962747","86.30000000074506","15.900000000372529","0","86.30000000074506","0","-1","56.09999999962747","59.09999999962747","119.20000000111759",""
"24","http://localhost:8080/","2024-12-15","10:12:41","20","5103","110.90000000037253","86","15.200000001117587","0","86","0","-1","53.5","56.70000000111759","115.80000000074506",""
"25","http://localhost:8080/","2024-12-15","10:12:47","19","5106","84.09999999962747","84.09999999962747","14.200000001117587","0","84.09999999962747","0","-1","54.70000000111759","57.80000000074506","120.09999999962747",""
"26","http://localhost:8080/","2024-12-15","10:12:53","19","5100","109.19999999925494","92.5","14.800000000745058","0","92.5","0","-1","48.30000000074506","51.40000000037253","113.19999999925494",""
"27","http://localhost:8080/","2024-12-15","10:12:59","21","5097","109.10000000149012","92.5","14.900000000372529","0","92.5","0","-1","49","52","110.70000000111759",""
"28","http://localhost:8080/","2024-12-15","10:13:04","22","5099","113.10000000149012","88.10000000149012","15.5","0","88.10000000149012","0","-1","49.80000000074506","53.20000000111759","112.10000000149012",""
"29","http://localhost:8080/","2024-12-15","10:13:10","19","5100","112.30000000074506","87.19999999925494","14.800000000745058","0","87.19999999925494","0","-1","52.80000000074506","55.69999999925494","113.09999999962747",""
"30","http://localhost:8080/","2024-12-15","10:13:16","18","5098","113.10000000149012","88.10000000149012","12.5","0","88.10000000149012","0","-1","49.80000000074506","53","112.40000000037253",""
"31","http://localhost:8080/","2024-12-15","10:13:22","19","5104","119.40000000037253","86.09999999962747","13.400000000372529","0","86.09999999962747","0","-1","52.90000000037253","56.69999999925494","117.09999999962747",""
"32","http://localhost:8080/","2024-12-15","10:13:27","19","5101","117.19999999925494","92.30000000074506","14.5","0","92.30000000074506","0","-1","50","53.59999999962747","115.90000000037253",""
"33","http://localhost:8080/","2024-12-15","10:13:33","18","5102","117.60000000149012","84.20000000111759","14","0","84.20000000111759","0","-1","52.30000000074506","55.90000000037253","115.90000000037253",""
"34","http://localhost:8080/","2024-12-15","10:13:39","24","5105","120.40000000037253","95.40000000037253","17.800000000745058","0","95.40000000037253","0","-1","55.69999999925494","59","120.69999999925494",""
"35","http://localhost:8080/","2024-12-15","10:13:45","20","5105","115.40000000037253","90.40000000037253","15.199999999254942","0","90.40000000037253","0","-1","53.5","56.90000000037253","117",""
"36","http://localhost:8080/","2024-12-15","10:13:50","22","5107","115.90000000037253","90.90000000037253","16.299999998882413","0","90.90000000037253","0","-1","55","57.90000000037253","119.59999999962747",""
"37","http://localhost:8080/","2024-12-15","10:13:56","18","5095","103","86.40000000037253","12.599999999627471","0","86.40000000037253","0","-1","46.69999999925494","49.80000000074506","108.40000000037253",""
"38","http://localhost:8080/","2024-12-15","10:14:02","19","5102","114","88.90000000037253","14.300000000745058","0","88.90000000037253","0","-1","49.20000000111759","52.20000000111759","114.40000000037253",""
"39","http://localhost:8080/","2024-12-15","10:14:08","20","5098","108.89999999850988","92.19999999925494","14.099999999627471","0","92.19999999925494","0","-1","49.19999999925494","52","110.89999999850988",""
"40","http://localhost:8080/","2024-12-15","10:14:13","19","5096","109.90000000037253","93.29999999888241","14.900000000372529","0","93.29999999888241","0","-1","49.59999999962747","52.5","110.40000000037253",""
"41","http://localhost:8080/","2024-12-15","10:14:19","18","5100","111.90000000037253","86.90000000037253","12.900000000372529","0","86.90000000037253","0","-1","48.59999999962747","51.5","113.79999999888241",""
"42","http://localhost:8080/","2024-12-15","10:14:25","19","5099","112.09999999962747","87.19999999925494","14.400000000372529","0","87.19999999925494","0","-1","50.19999999925494","53.30000000074506","113",""
"43","http://localhost:8080/","2024-12-15","10:14:31","19","5101","115.89999999850988","90.89999999850988","13.599999999627471","0","90.89999999850988","0","-1","49.59999999962747","52.59999999962747","115.69999999925494",""
"44","http://localhost:8080/","2024-12-15","10:14:36","21","5101","111.90000000037253","95.29999999888241","15.699999999254942","0","95.29999999888241","0","-1","50.29999999888241","53.40000000037253","113.69999999925494",""
"45","http://localhost:8080/","2024-12-15","10:14:42","20","5101","110.59999999962747","93.80000000074506","15.200000001117587","0","93.80000000074506","0","-1","51.20000000111759","54.70000000111759","114",""
"46","http://localhost:8080/","2024-12-15","10:14:48","18","5103","112.89999999850988","88","13.299999998882413","0","88","0","-1","53.5","56.399999998509884","116.69999999925494",""
"47","http://localhost:8080/","2024-12-15","10:14:53","19","5099","110.5","85.5","13.300000000745058","0","85.5","0","-1","51","54.5","113.40000000037253",""
"48","http://localhost:8080/","2024-12-15","10:14:59","18","5099","112.89999999850988","87.79999999888241","13.299999998882413","0","87.79999999888241","0","-1","47.899999998509884","50.899999998509884","113.39999999850988",""
"49","http://localhost:8080/","2024-12-15","10:15:05","17","5097","108.79999999888241","83.79999999888241","12.899999998509884","0","83.79999999888241","0","-1","47.29999999888241","50.09999999962747","112.09999999962747",""
"50","http://localhost:8080/","2024-12-15","10:15:11","19","5101","109.59999999962747","84.59999999962747","13.599999999627471","0","84.59999999962747","0","-1","52.09999999962747","54.899999998509884","114.09999999962747",""
"51","http://localhost:8080/","2024-12-15","10:15:16","18","5101","111.39999999850988","86.39999999850988","12.899999998509884","0","86.39999999850988","0","-1","48.5","51.399999998509884","113.79999999888241",""
"52","http://localhost:8080/","2024-12-15","10:15:22","18","5104","113.09999999962747","88.09999999962747","13.300000000745058","0","88.09999999962747","0","-1","49.69999999925494","52.59999999962747","117.30000000074506",""
"53","http://localhost:8080/","2024-12-15","10:15:28","18","5095","104.70000000111759","88","13.600000001490116","0","88","0","-1","48","50.90000000037253","108.5",""
"54","http://localhost:8080/","2024-12-15","10:15:34","18","5101","116.59999999962747","83.20000000111759","13.099999999627471","0","83.20000000111759","0","-1","50.59999999962747","54.40000000037253","114.09999999962747",""
"55","http://localhost:8080/","2024-12-15","10:15:39","16","5099","109","84","11.800000000745058","0","84","0","-1","49.40000000037253","52.30000000074506","111.70000000111759",""
"56","http://localhost:8080/","2024-12-15","10:15:45","18","5094","105.90000000037253","89.30000000074506","13.200000001117587","0","89.30000000074506","0","-1","46.70000000111759","49.59999999962747","109.80000000074506",""
"57","http://localhost:8080/","2024-12-15","10:15:51","18","5099","113.70000000111759","88.70000000111759","13.400000000372529","0","88.70000000111759","0","-1","51","54","114",""
"58","http://localhost:8080/","2024-12-15","10:15:57","19","5098","112.40000000037253","87.5","13.5","0","87.5","0","-1","51.90000000037253","54.70000000111759","113.30000000074506",""
"59","http://localhost:8080/","2024-12-15","10:16:02","18","5097","113.60000000149012","88.60000000149012","12.900000000372529","0","88.60000000149012","0","-1","46.40000000037253","49.5","113",""
"60","http://localhost:8080/","2024-12-15","10:16:08","20","5096","112.09999999962747","87.09999999962747","13.900000000372529","0","87.09999999962747","0","-1","48","50.90000000037253","110.69999999925494",""
"61","http://localhost:8080/","2024-12-15","10:16:14","22","5103","113.89999999850988","88.89999999850988","17.299999998882413","0","88.89999999850988","0","-1","54.399999998509884","57.59999999962747","117.09999999962747",""
"62","http://localhost:8080/","2024-12-15","10:16:20","19","5100","113.19999999925494","88.19999999925494","13.199999999254942","0","88.19999999925494","0","-1","48.59999999962747","51.90000000037253","114.59999999962747",""
"63","http://localhost:8080/","2024-12-15","10:16:25","17","5096","113.30000000074506","88.20000000111759","12.800000000745058","0","88.20000000111759","0","-1","49.100000001490116","52","111.40000000037253",""
"64","http://localhost:8080/","2024-12-15","10:16:31","18","5100","112.30000000074506","79","12.800000000745058","0","79","0","-1","51.90000000037253","54.5","113.09999999962747",""
"65","http://localhost:8080/","2024-12-15","10:16:37","20","5102","112.90000000037253","87.90000000037253","13.300000000745058","0","87.90000000037253","0","-1","54.30000000074506","57.100000001490116","114.60000000149012",""
"66","http://localhost:8080/","2024-12-15","10:16:43","19","5102","92.69999999925494","92.69999999925494","14.400000000372529","0","92.69999999925494","0","-1","50.29999999888241","53.59999999962747","118.19999999925494",""
"67","http://localhost:8080/","2024-12-15","10:16:48","18","5104","113.60000000149012","88.60000000149012","12.600000001490116","0","88.60000000149012","0","-1","50","53.100000001490116","115.60000000149012",""
"68","http://localhost:8080/","2024-12-15","10:16:54","18","5094","104","87.40000000037253","12.799999998882413","0","87.40000000037253","0","-1","46.29999999888241","49.29999999888241","109.19999999925494",""
"69","http://localhost:8080/","2024-12-15","10:17:00","18","5105","120.90000000037253","87.59999999962747","12.900000000372529","0","87.59999999962747","0","-1","52","54.80000000074506","118.5",""
"70","http://localhost:8080/","2024-12-15","10:17:06","20","5103","115.39999999850988","90.39999999850988","14.599999999627471","0","90.39999999850988","0","-1","48.5","52","114.5",""
"71","http://localhost:8080/","2024-12-15","10:17:11","18","5098","113.20000000111759","88.20000000111759","12.600000001490116","0","88.20000000111759","0","-1","48.5","51.40000000037253","110.20000000111759",""
"72","http://localhost:8080/","2024-12-15","10:17:17","18","5098","105.30000000074506","88.70000000111759","13","0","88.70000000111759","0","-1","46.30000000074506","49.600000001490116","110.70000000111759",""
"73","http://localhost:8080/","2024-12-15","10:17:23","18","5093","104.5","87.89999999850988","13.399999998509884","0","87.89999999850988","0","-1","46.5","49.899999998509884","108.79999999888241",""
"74","http://localhost:8080/","2024-12-15","10:17:29","18","5099","108.90000000037253","83.90000000037253","13.5","0","83.90000000037253","0","-1","48","50.69999999925494","113.59999999962747",""
"75","http://localhost:8080/","2024-12-15","10:17:34","18","5103","120","86.69999999925494","12.899999998509884","0","86.69999999925494","0","-1","53.79999999888241","56.899999998509884","115.89999999850988",""
