idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","19:08:22","329","6293","1383.3999999910593","1283.3999999910593","360.19999998807907","0","1283.3999999910593","0","-1","1667.5","1837.0999999940395","-1",""
"2","http://localhost:8080/","2024-12-14","19:08:29","328","6260","1355.7000000029802","1255.7000000029802","360.90000000596046","0","1255.7000000029802","0","-1","1644.9000000059605","1808.5999999940395","-1",""
"3","http://localhost:8080/","2024-12-14","19:08:36","321","6265","1360.8999999910593","1260.8999999910593","355.19999998807907","0","1260.8999999910593","0","-1","1651.699999988079","1815.5","-1",""
"4","http://localhost:8080/","2024-12-14","19:08:42","320","6251","1360.199999988079","1243.5","354.69999998807907","0","1243.5","0","-1","1659.3999999910593","1822.5","-1",""
"5","http://localhost:8080/","2024-12-14","19:08:49","322","6260","1361.8999999910593","1253.5","355.29999999701977","0","1253.5","0","-1","1658.7000000029802","1823.0999999940395","-1",""
"6","http://localhost:8080/","2024-12-14","19:08:56","327","6258","1363.0999999940395","1254.7000000029802","361.29999999701977","0","1254.7000000029802","0","-1","1659.8999999910593","1823.5","-1",""
"7","http://localhost:8080/","2024-12-14","19:09:03","321","6268","1364.9000000059605","1256.5999999940395","354.20000000298023","0","1256.5999999940395","0","-1","1658.0999999940395","1822.4000000059605","-1",""
"8","http://localhost:8080/","2024-12-14","19:09:10","328","6264","1370.7000000029802","1262.2999999970198","362.3999999910593","0","1262.2999999970198","0","-1","1660","1823.5999999940395","-1",""
"9","http://localhost:8080/","2024-12-14","19:09:17","321","6262","1368.2999999970198","1260","355.5","0","1260","0","-1","1659.5","1831","-1",""
"10","http://localhost:8080/","2024-12-14","19:09:24","328","6250","1392.2999999970198","1242.2000000029802","362.79999999701977","0","1242.2000000029802","0","-1","1659.5","1824.2999999970198","-1",""
"11","http://localhost:8080/","2024-12-14","19:09:31","321","6272","1372.7999999970198","1264.5","354","0","1264.5","0","-1","1665.8999999910593","1830.0999999940395","-1",""
"12","http://localhost:8080/","2024-12-14","19:09:37","320","6267","1368.5999999940395","1260.199999988079","354.29999999701977","0","1260.199999988079","0","-1","1651.699999988079","1816.3999999910593","-1",""
"13","http://localhost:8080/","2024-12-14","19:09:44","328","6270","1366.9000000059605","1258.5","362.30000001192093","0","1258.5","0","-1","1667.4000000059605","1838.6000000089407","-1",""
"14","http://localhost:8080/","2024-12-14","19:09:51","328","6252","1358.9000000059605","1242.2999999970198","362.70000000298023","0","1242.2999999970198","0","-1","1646.2999999970198","1815.7999999970198","-1",""
"15","http://localhost:8080/","2024-12-14","19:09:58","329","6257","1368.5999999940395","1251.8999999910593","362.5","0","1251.8999999910593","0","-1","1659.0999999940395","1824.8999999910593","-1",""
"16","http://localhost:8080/","2024-12-14","19:10:05","327","6278","1375.8999999910593","1275.8999999910593","361.59999999403954","0","1275.8999999910593","0","-1","1665.8999999910593","1830","-1",""
"17","http://localhost:8080/","2024-12-14","19:10:12","321","6258","1365.5999999940395","1248.8999999910593","356.19999998807907","0","1248.8999999910593","0","-1","1659.2999999970198","1823.699999988079","-1",""
"18","http://localhost:8080/","2024-12-14","19:10:19","322","6256","1360.6000000089407","1252.2999999970198","355.6000000089407","0","1252.2999999970198","0","-1","1645","1808.4000000059605","-1",""
"19","http://localhost:8080/","2024-12-14","19:10:26","320","6258","1402.7000000029802","1252.7000000029802","354.59999999403954","0","1252.7000000029802","0","-1","1667.7999999970198","1829.8999999910593","-1",""
"20","http://localhost:8080/","2024-12-14","19:10:32","328","6267","1367.0999999940395","1258.7000000029802","362.5","0","1258.7000000029802","0","-1","1666.4000000059605","1830.0999999940395","-1",""
"21","http://localhost:8080/","2024-12-14","19:10:39","329","6266","1371.5","1254.9000000059605","362.09999999403954","0","1254.9000000059605","0","-1","1665.2999999970198","1829.9000000059605","-1",""
"22","http://localhost:8080/","2024-12-14","19:10:46","328","6257","1367.7000000029802","1251","362.20000000298023","0","1251","0","-1","1666","1829.9000000059605","-1",""
"23","http://localhost:8080/","2024-12-14","19:10:53","328","6260","1364.0999999940395","1255.7999999970198","361.3999999910593","0","1255.7999999970198","0","-1","1650.5","1815.699999988079","-1",""
"24","http://localhost:8080/","2024-12-14","19:11:00","328","6260","1364.1000000089407","1255.7000000029802","361.20000000298023","0","1255.7000000029802","0","-1","1659.4000000059605","1822.7000000029802","-1",""
"25","http://localhost:8080/","2024-12-14","19:11:07","327","6266","1362.199999988079","1262.199999988079","362.29999999701977","0","1262.199999988079","0","-1","1651","1816.199999988079","-1",""
"26","http://localhost:8080/","2024-12-14","19:11:14","322","6240","1386.699999988079","1236.5999999940395","355.79999999701977","0","1236.5999999940395","0","-1","1644.8999999910593","1809.199999988079","-1",""
"27","http://localhost:8080/","2024-12-14","19:11:21","322","6260","1370","1253.2999999970198","355.19999998807907","0","1253.2999999970198","0","-1","1667.3999999910593","1830.699999988079","-1",""
"28","http://localhost:8080/","2024-12-14","19:11:27","321","6265","1370","1261.7000000029802","354.29999999701977","0","1261.7000000029802","0","-1","1660","1822.7000000029802","-1",""
"29","http://localhost:8080/","2024-12-14","19:11:34","321","6260","1356","1256","355.1000000089407","0","1256","0","-1","1653.2999999970198","1821.5","-1",""
"30","http://localhost:8080/","2024-12-14","19:11:41","328","6264","1363.5","1255.2000000029802","360.5","0","1255.2000000029802","0","-1","1657","1821.6000000089407","-1",""
"31","http://localhost:8080/","2024-12-14","19:11:48","322","6259","1361.2000000029802","1252.7999999970198","354.79999999701977","0","1252.7999999970198","0","-1","1644.0999999940395","1809","-1",""
"32","http://localhost:8080/","2024-12-14","19:11:55","320","6264","1368.8999999910593","1260.5999999940395","355.5","0","1260.5999999940395","0","-1","1667.5","1829.8999999910593","-1",""
"33","http://localhost:8080/","2024-12-14","19:12:02","327","6287","1396.5999999940395","1280","361.3999999910593","0","1280","0","-1","1687.5","1850.7999999970198","-1",""
"34","http://localhost:8080/","2024-12-14","19:12:09","328","6262","1370","1253.2999999970198","361.70000000298023","0","1253.2999999970198","0","-1","1652.1000000089407","1814.7000000029802","-1",""
"35","http://localhost:8080/","2024-12-14","19:12:16","321","6248","1361.3999999910593","1244.7000000029802","354.70000000298023","0","1244.7000000029802","0","-1","1643.5999999940395","1808.5","-1",""
"36","http://localhost:8080/","2024-12-14","19:12:22","320","6273","1369","1269","354.19999998807907","0","1269","0","-1","1666.0999999940395","1830","-1",""
"37","http://localhost:8080/","2024-12-14","19:12:29","327","6253","1364","1247.300000011921","361.20000000298023","0","1247.300000011921","0","-1","1657.800000011921","1822.9000000059605","-1",""
"38","http://localhost:8080/","2024-12-14","19:12:36","327","6284","1388.7999999970198","1280.5","362.19999998807907","0","1280.5","0","-1","1681.5","1852.5999999940395","-1",""
"39","http://localhost:8080/","2024-12-14","19:12:43","320","6256","1361.5","1253.199999988079","353.8999999910593","0","1253.199999988079","0","-1","1644.8999999910593","1809","-1",""
"40","http://localhost:8080/","2024-12-14","19:12:50","327","6260","1362.7999999970198","1254.5","362.8999999910593","0","1254.5","0","-1","1658.7999999970198","1823.2999999970198","-1",""
"41","http://localhost:8080/","2024-12-14","19:12:57","320","6259","1357.9000000059605","1249.6000000089407","354.20000000298023","0","1249.6000000089407","0","-1","1652.1000000089407","1815.300000011921","-1",""
"42","http://localhost:8080/","2024-12-14","19:13:04","327","6266","1366.8999999910593","1258.5999999940395","362.79999999701977","0","1258.5999999940395","0","-1","1652","1815.3999999910593","-1",""
"43","http://localhost:8080/","2024-12-14","19:13:11","322","6244","1385.2000000029802","1235.2000000029802","354.40000000596046","0","1235.2000000029802","0","-1","1650","1816.5","-1",""
"44","http://localhost:8080/","2024-12-14","19:13:17","321","6251","1357.7999999970198","1241.0999999940395","354.69999998807907","0","1241.0999999940395","0","-1","1659.699999988079","1822.699999988079","-1",""
"45","http://localhost:8080/","2024-12-14","19:13:24","336","6315","1917.3999999910593","1309.0999999940395","370.59999999403954","0","1309.0999999940395","0","-1","1944.5","2116.2999999970198","-1",""
