idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","19:48:17","329","8166","1372.7999999970198","1272.7999999970198","360.40000000596046","50","3154.5","1","100","1666.0999999940395","1836","4472.79999999702",""
"2","http://localhost:8080/","2024-12-14","19:48:25","321","8135","1358.5999999940395","1250.2000000029802","354.5","44","3127.8999999910593","1","94","1645.0999999940395","1809","4444.5999999940395",""
"3","http://localhost:8080/","2024-12-14","19:48:34","329","8153","1401.2999999970198","1251.3999999910593","362.3999999910593","44","3144.7999999970198","1","94","1666","1829.5","4466.5",""
"4","http://localhost:8080/","2024-12-14","19:48:43","328","8147","1366.5","1258.0999999940395","362.29999999701977","44","3139.9000000059605","1","94","1660.0999999940395","1830.2999999970198","4451.9000000059605",""
"5","http://localhost:8080/","2024-12-14","19:48:51","328","8152","1371.7000000029802","1263.5","361.6000000089407","44","3143.2999999970198","1","94","1666.4000000059605","1831.1000000089407","4467.100000008941",""
"6","http://localhost:8080/","2024-12-14","19:49:00","329","8150","1373.7000000029802","1265.5","361.6000000089407","44","3142.6000000089407","1","94","1666.9000000059605","1830","4452.300000011921",""
"7","http://localhost:8080/","2024-12-14","19:49:09","328","8161","1384.300000011921","1276","362.70000000298023","43","3154.2000000029802","1","93","1673.6000000089407","1836.5","4458.70000000298",""
"8","http://localhost:8080/","2024-12-14","19:49:17","327","8143","1363.1000000089407","1254.800000011921","360.30000001192093","44","3133.9000000059605","1","94","1648.9000000059605","1812.7000000029802","4450.20000000298",""
"9","http://localhost:8080/","2024-12-14","19:49:26","328","8143","1363.2000000029802","1263.2000000029802","362.20000000298023","45","3136","1","95","1658.4000000059605","1823.6000000089407","4445.20000000298",""
"10","http://localhost:8080/","2024-12-14","19:49:35","327","8144","1362.9000000059605","1262.9000000059605","361.90000000596046","45","3138.1000000089407","1","95","1651.800000011921","1815.6000000089407","4458.600000008941",""
"11","http://localhost:8080/","2024-12-14","19:49:43","321","8153","1375.1000000089407","1266.7000000029802","355.5","44","3145.2000000029802","1","94","1659.4000000059605","1823.2000000029802","4459.600000008941",""
"12","http://localhost:8080/","2024-12-14","19:49:52","321","8136","1366.0999999940395","1249.5","354.79999999701977","44","3128.0999999940395","1","94","1644.9000000059605","1809.4000000059605","4438.79999999702",""
"13","http://localhost:8080/","2024-12-14","19:50:01","327","8141","1363.7999999970198","1255.5","360.90000000596046","43","3134","1","93","1650.7999999970198","1814.0999999940395","4450.5",""
"14","http://localhost:8080/","2024-12-14","19:50:09","327","8152","1400.2000000029802","1250.2000000029802","362.70000000298023","44","3143.4000000059605","1","94","1665.7999999970198","1829.2000000029802","4459.70000000298",""
"15","http://localhost:8080/","2024-12-14","19:50:18","322","8145","1366.3999999910593","1258","355","44","3136.0999999940395","1","94","1652.5","1817.199999988079","4452.5999999940395",""
"16","http://localhost:8080/","2024-12-14","19:50:27","328","8141","1362.6000000089407","1262.7000000029802","362.70000000298023","43","3134.1000000089407","1","93","1651.6000000089407","1815.4000000059605","4452.5",""
"17","http://localhost:8080/","2024-12-14","19:50:35","328","8150","1401.1000000089407","1251.2000000029802","361.20000000298023","44","3141.800000011921","1","94","1666.800000011921","1829.1000000089407","4460.20000000298",""
"18","http://localhost:8080/","2024-12-14","19:50:44","327","8151","1400.4000000059605","1250.5","361.1000000089407","41","3142.2999999970198","1","91","1658.5","1823.2000000029802","4459.4000000059605",""
