idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","20:25:17","506","8328","1542.6000000089407","1434.2999999970198","539.7000000029802","48","3319.2999999970198","1","98","1837.5","2002.1000000089407","4630.5",""
"2","http://localhost:8080/","2024-12-14","20:25:26","328","8159","1376.0999999940395","1267.7999999970198","361.59999999403954","44","3149.5999999940395","1","94","1673.0999999940395","1836.7999999970198","4459.70000000298",""
"3","http://localhost:8080/","2024-12-14","20:25:35","327","8143","1367.7000000029802","1251","362.5","43","3135","1","93","1653.7999999970198","1824","4453.5999999940395",""
"4","http://localhost:8080/","2024-12-14","20:25:43","322","8157","1374.0999999940395","1257.4000000059605","355.20000000298023","50","3149.2999999970198","1","100","1660.0999999940395","1822.7000000029802","4466.5999999940395",""
"5","http://localhost:8080/","2024-12-14","20:25:52","328","8137","1359.2999999970198","1250.7999999970198","361.09999999403954","44","3128.7999999970198","1","94","1652.7000000029802","1815.5","4445.20000000298",""
"6","http://localhost:8080/","2024-12-14","20:26:01","328","8156","1382.4000000059605","1265.7000000029802","361.79999999701977","45","3149.7999999970198","1","95","1674.2000000029802","1836.6000000089407","4465.9000000059605",""
"7","http://localhost:8080/","2024-12-14","20:26:10","328","8156","1383.2999999970198","1275","362.59999999403954","42","3148.9000000059605","1","92","1665.7999999970198","1830.4000000059605","4465.70000000298",""
"8","http://localhost:8080/","2024-12-14","20:26:19","320","8135","1357.4000000059605","1249","355.40000000596046","45","3129.2000000029802","1","95","1645.300000011921","1815.6000000089407","4452.5",""
"9","http://localhost:8080/","2024-12-14","20:26:27","327","8146","1363.4000000059605","1263.4000000059605","362.1000000089407","44","3137.7999999970198","1","94","1653","1815.5","4445.100000008941",""
"10","http://localhost:8080/","2024-12-14","20:26:36","328","8152","1375.0999999940395","1266.699999988079","362.59999999403954","45","3143.699999988079","1","95","1666.3999999910593","1829","4459.5",""
"11","http://localhost:8080/","2024-12-14","20:26:45","328","8167","1384.0999999940395","1275.699999988079","361.09999999403954","44","3159.0999999940395","1","94","1673","1836.5","4481.29999999702",""
"12","http://localhost:8080/","2024-12-14","20:26:54","321","8152","1377.0999999940395","1268.7999999970198","355","43","3143.5999999940395","1","93","1666.3999999910593","1829.0999999940395","4459.70000000298",""
"13","http://localhost:8080/","2024-12-14","20:27:03","321","8152","1368.3999999910593","1251.699999988079","354.19999998807907","44","3144","1","94","1665.699999988079","1829.0999999940395","4466.0999999940395",""
"14","http://localhost:8080/","2024-12-14","20:27:11","328","8146","1367.7000000029802","1251.0999999940395","361.8999999910593","45","3137.3999999910593","1","95","1652.7000000029802","1815.5","4452.5999999940395",""
"15","http://localhost:8080/","2024-12-14","20:27:20","321","8136","1358.7999999970198","1242","356.3999999910593","43","3129.2000000029802","1","93","1647.3999999910593","1817.3999999910593","4446.70000000298",""
"16","http://localhost:8080/","2024-12-14","20:27:29","327","8154","1375.3999999910593","1267","361.3999999910593","44","3146.8999999910593","1","94","1666.2999999970198","1829.7999999970198","4459.899999991059",""
"17","http://localhost:8080/","2024-12-14","20:27:38","327","8136","1367.2999999970198","1250.5999999940395","361.09999999403954","44","3129","1","94","1651.3999999910593","1816.0999999940395","4444.699999988079",""
"18","http://localhost:8080/","2024-12-14","20:27:47","321","8135","1357.2999999970198","1249","355.29999999701977","45","3129.7000000029802","1","95","1645.5999999940395","1809.7000000029802","4445.70000000298",""
"19","http://localhost:8080/","2024-12-14","20:27:55","329","8145","1367.0999999940395","1250.4000000059605","362.90000000596046","43","3138.0999999940395","1","93","1652.4000000059605","1816.4000000059605","4461.4000000059605",""
"20","http://localhost:8080/","2024-12-14","20:28:04","328","8152","1376.1000000089407","1259.4000000059605","362","43","3142.9000000059605","1","93","1658.7000000029802","1823.4000000059605","4458.4000000059605",""
"21","http://localhost:8080/","2024-12-14","20:28:13","327","8149","1375.6000000089407","1258.7999999970198","362.90000000596046","43","3140.5","1","93","1666.6000000089407","1829.4000000059605","4458.70000000298",""
"22","http://localhost:8080/","2024-12-14","20:28:22","327","8146","1363.1000000089407","1254.800000011921","361.70000000298023","45","3137.4000000059605","1","95","1652.2000000029802","1815.4000000059605","4459",""
