idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-15","10:33:48","533","8979","1517.9000000003725","1517.9000000003725","560.3000000007451","22","3970.4000000003725","2","72","1845.300000000745","2016.800000000745","4050.60000000149",""
"2","http://localhost:8080/","2024-12-15","10:33:57","328","8748","1257.4000000003725","1257.4000000003725","361.7000000011176","16","3742.4000000003725","1","66","1631","1801.5999999996275","3834.2000000011176",""
"3","http://localhost:8080/","2024-12-15","10:34:07","328","8743","1263.9000000003725","1263.9000000003725","361.59999999962747","18","3737.800000000745","1","68","1622.9000000003725","1787.5","3823",""
"4","http://localhost:8080/","2024-12-15","10:34:16","321","8728","1247.9000000003725","1247.9000000003725","353.90000000037253","17","3722.2000000011176","1","67","1616.0999999996275","1780.2000000011176","3814.5",""
"5","http://localhost:8080/","2024-12-15","10:34:25","320","8736","1249.2999999988824","1249.2999999988824","355.2999999988824","16","3730.0999999996275","1","66","1615.5999999996275","1787.9000000003725","3813.9000000003725",""
"6","http://localhost:8080/","2024-12-15","10:34:35","321","8736","1253.5999999996275","1253.5999999996275","355.09999999962747","16","3730.5","1","66","1609.4000000003725","1780.9000000003725","3816.5",""
"7","http://localhost:8080/","2024-12-15","10:34:44","322","8738","1253.5999999996275","1253.5999999996275","355.09999999962747","17","3731.699999999255","1","67","1609.300000000745","1781.4000000003725","3815.800000000745",""
"8","http://localhost:8080/","2024-12-15","10:34:54","327","8750","1255.300000000745","1255.300000000745","361","17","3744.9000000003725","1","67","1623.9000000003725","1795.1000000014901","3828.10000000149",""
"9","http://localhost:8080/","2024-12-15","10:35:03","327","8736","1255.699999999255","1255.699999999255","362.59999999962747","16","3729.699999999255","1","66","1615.2999999988824","1779.5","3814.5999999996275",""
"10","http://localhost:8080/","2024-12-15","10:35:12","328","8746","1262.8999999985099","1262.8999999985099","363.5","18","3740","1","68","1617","1788.3999999985099","3821.7999999988824",""
"11","http://localhost:8080/","2024-12-15","10:35:22","328","8749","1265.7999999988824","1265.7999999988824","361.69999999925494","17","3743.5","1","67","1628.9000000003725","1794","3827.5",""
"12","http://localhost:8080/","2024-12-15","10:35:31","328","8751","1271.699999999255","1271.699999999255","361.90000000037253","18","3745","1","68","1623.0999999996275","1794.199999999255","3831",""
"13","http://localhost:8080/","2024-12-15","10:35:41","327","8743","1262.7000000011176","1262.7000000011176","362.7000000011176","16","3737.9000000003725","1","66","1624.300000000745","1794.7000000011176","3828.300000000745",""
"14","http://localhost:8080/","2024-12-15","10:35:50","327","8740","1263","1263","362.80000000074506","16","3735.699999999255","1","66","1622.5999999996275","1788.5999999996275","3823.699999999255",""
"15","http://localhost:8080/","2024-12-15","10:35:59","321","8735","1260.5","1260.5","354.7999999988824","18","3730.5999999996275","1","68","1615.3999999985099","1781.0999999996275","3816.699999999255",""
"16","http://localhost:8080/","2024-12-15","10:36:09","328","8756","1272.0999999996275","1272.0999999996275","361.69999999925494","15","3750.2999999988824","1","65","1637.9000000003725","1809.4000000003725","3843.199999999255",""
"17","http://localhost:8080/","2024-12-15","10:36:18","327","8757","1271.4000000003725","1271.4000000003725","361.19999999925494","16","3751.0999999996275","1","66","1637.2999999988824","1808.699999999255","3843.2999999988824",""
"18","http://localhost:8080/","2024-12-15","10:36:28","327","8735","1255.5","1255.5","361.69999999925494","17","3729.699999999255","1","67","1617","1786.199999999255","3815.5",""
"19","http://localhost:8080/","2024-12-15","10:36:37","321","8735","1257.5999999996275","1257.5999999996275","354.40000000037253","16","3728.800000000745","1","66","1618","1787.4000000003725","3816.300000000745",""
"20","http://localhost:8080/","2024-12-15","10:36:46","328","8753","1255.699999999255","1255.699999999255","361.09999999962747","18","3747","1","68","1622.4000000003725","1793","3827.4000000003725",""
"21","http://localhost:8080/","2024-12-15","10:36:56","321","8730","1242.7000000011176","1242.7000000011176","355.30000000074506","16","3723.5","1","66","1608.6000000014901","1779.800000000745","3816.5",""
"22","http://localhost:8080/","2024-12-15","10:37:05","327","8742","1271","1271","362.69999999925494","15","3736.4000000003725","1","65","1624.0999999996275","1793.5999999996275","3822",""
"23","http://localhost:8080/","2024-12-15","10:37:14","328","8743","1270.5","1270.5","362.2000000011176","15","3736.800000000745","1","65","1622.5","1794.2000000011176","3830.300000000745",""
"24","http://localhost:8080/","2024-12-15","10:37:24","327","8747","1266.800000000745","1266.800000000745","362.7000000011176","16","3742.60000000149","1","66","1623.6000000014901","1794","3830",""
"25","http://localhost:8080/","2024-12-15","10:37:33","320","8745","1252.7000000011176","1252.7000000011176","354.7000000011176","16","3738.4000000003725","1","66","1624","1795.800000000745","3821.10000000149",""
