idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","20:55:09","520","8366","1566.7999999970198","1483.3999999910593","554.2999999970198","54","3357","2","104","1862.5","2030.2999999970198","4666.399999991059",""
"2","http://localhost:8080/","2024-12-14","20:55:18","329","8153","1371.5","1263.2000000029802","361.20000000298023","43","3144.1000000089407","1","93","1658.7000000029802","1822.7000000029802","4467.100000008941",""
"3","http://localhost:8080/","2024-12-14","20:55:27","329","8152","1372","1255.2999999970198","361.20000000298023","45","3143.8999999910593","1","95","1658.2999999970198","1823.3999999910593","4452.70000000298",""
"4","http://localhost:8080/","2024-12-14","20:55:36","328","8157","1378.9000000059605","1270.5","362.70000000298023","43","3147.800000011921","1","93","1672.300000011921","1836.800000011921","4467.20000000298",""
"5","http://localhost:8080/","2024-12-14","20:55:45","328","8152","1375.5999999940395","1267.2999999970198","363.20000000298023","44","3142.7999999970198","1","94","1660.2999999970198","1823.7999999970198","4459.9000000059605",""
"6","http://localhost:8080/","2024-12-14","20:55:54","328","8146","1366.5","1258.199999988079","362.5","42","3137.5999999940395","1","92","1659.7999999970198","1822.199999988079","4460.199999988079",""
"7","http://localhost:8080/","2024-12-14","20:56:02","328","8144","1365.9000000059605","1257.6000000089407","361.90000000596046","44","3134.7999999970198","1","94","1650.6000000089407","1815","4452",""
"8","http://localhost:8080/","2024-12-14","20:56:11","328","8140","1366.5","1249.800000011921","362.40000000596046","42","3133.2000000029802","1","92","1660.300000011921","1823.1000000089407","4452.4000000059605",""
"9","http://localhost:8080/","2024-12-14","20:56:20","328","8164","1375.3999999910593","1258.699999988079","362.8999999910593","43","3155.5999999940395","1","93","1674.2999999970198","1843.7999999970198","4473.79999999702",""
"10","http://localhost:8080/","2024-12-14","20:56:29","328","8159","1376.2000000029802","1267.8999999910593","362.20000000298023","45","3151.7000000029802","1","95","1666.2999999970198","1830.3999999910593","4466.399999991059",""
"11","http://localhost:8080/","2024-12-14","20:56:38","329","8160","1362.2000000029802","1262.2000000029802","362.29999999701977","45","3151.6000000089407","1","95","1667.2000000029802","1838","4466.4000000059605",""
"12","http://localhost:8080/","2024-12-14","20:56:46","328","8150","1371.5","1254.9000000059605","361.20000000298023","44","3142.5","1","94","1659.2999999970198","1823.2999999970198","4460.29999999702",""
"13","http://localhost:8080/","2024-12-14","20:56:55","328","8142","1367.6000000089407","1250.9000000059605","361.40000000596046","43","3134.800000011921","1","93","1653.4000000059605","1815.6000000089407","4451.9000000059605",""
"14","http://localhost:8080/","2024-12-14","20:57:04","328","8147","1362.7000000029802","1254.2999999970198","362.70000000298023","45","3138.7999999970198","1","95","1651.9000000059605","1815.1000000089407","4459.79999999702",""
"15","http://localhost:8080/","2024-12-14","20:57:13","321","8144","1365.5999999940395","1257.2000000029802","354.8999999910593","44","3135.8999999910593","1","94","1651.5","1815.2000000029802","4452.899999991059",""
"16","http://localhost:8080/","2024-12-14","20:57:22","322","8137","1357.7999999970198","1241.2000000029802","355.09999999403954","44","3128.2999999970198","1","94","1645.7999999970198","1809.3999999910593","4446.399999991059",""
"17","http://localhost:8080/","2024-12-14","20:57:30","327","8157","1375.4000000059605","1275.300000011921","361.90000000596046","45","3150.6000000089407","1","95","1672.5","1836.9000000059605","4459.800000011921",""
"18","http://localhost:8080/","2024-12-14","20:57:39","322","8140","1352","1243.7999999970198","355.5","45","3131","1","95","1647.5","1816.3999999910593","4445.5",""
"19","http://localhost:8080/","2024-12-14","20:57:48","326","8154","1379.4000000059605","1262.7000000029802","359.90000000596046","43","3146","1","93","1671.7000000029802","1835.5","4457.20000000298",""
"20","http://localhost:8080/","2024-12-14","20:57:57","327","8149","1400.5999999940395","1250.5999999940395","361.20000000298023","43","3142.7000000029802","1","93","1666.7000000029802","1830.2999999970198","4458.79999999702",""
"21","http://localhost:8080/","2024-12-14","20:58:06","328","8143","1393.0999999940395","1243.0999999940395","362.09999999403954","43","3136.0999999940395","1","93","1657.9000000059605","1823.0999999940395","4452.20000000298",""
"22","http://localhost:8080/","2024-12-14","20:58:14","328","8154","1409.4000000059605","1251","361.90000000596046","45","3145.5999999940395","1","95","1667.2000000029802","1829.7000000029802","4459.20000000298",""
"23","http://localhost:8080/","2024-12-14","20:58:23","320","8146","1356","1247.5999999940395","355","45","3138.199999988079","1","95","1659.5999999940395","1822.5999999940395","4452.79999999702",""
"24","http://localhost:8080/","2024-12-14","20:58:32","328","8144","1366.9000000059605","1250.2000000029802","361.79999999701977","44","3135.2999999970198","1","94","1658.4000000059605","1823.4000000059605","4452.0999999940395",""
"25","http://localhost:8080/","2024-12-14","20:58:41","328","8146","1366.3999999910593","1258.199999988079","362.3999999910593","43","3136.5","1","93","1651.0999999940395","1815.5","4453.79999999702",""
"26","http://localhost:8080/","2024-12-14","20:58:50","327","8137","1358.5999999940395","1250.3999999910593","362.70000000298023","44","3128.2999999970198","1","94","1645.5999999940395","1808.8999999910593","4445.899999991059",""
"27","http://localhost:8080/","2024-12-14","20:58:58","322","8146","1395.7000000029802","1245.800000011921","355.80000001192093","44","3138.300000011921","1","94","1659.5","1823.800000011921","4454.600000008941",""
"28","http://localhost:8080/","2024-12-14","20:59:07","327","8137","1358","1249.800000011921","362.30000001192093","44","3129.300000011921","1","94","1650.800000011921","1815.4000000059605","4452.600000008941",""
"29","http://localhost:8080/","2024-12-14","20:59:16","328","8141","1365.4000000059605","1257.0999999940395","361.40000000596046","43","3134.0999999940395","1","93","1657.7999999970198","1823.0999999940395","4445",""
"30","http://localhost:8080/","2024-12-14","20:59:25","328","8161","1408.5999999940395","1258.5999999940395","362.79999999701977","45","3150.8999999910593","1","95","1673.5","1836.5","4467.0999999940395",""
"31","http://localhost:8080/","2024-12-14","20:59:34","327","8144","1367.5","1259.199999988079","361.19999998807907","44","3135.3999999910593","1","94","1651.7999999970198","1815.3999999910593","4444.79999999702",""
"32","http://localhost:8080/","2024-12-14","20:59:42","327","8152","1404.0999999940395","1254","362.3999999910593","44","3143.7999999970198","1","94","1659.8999999910593","1823.3999999910593","4459.699999988079",""
"33","http://localhost:8080/","2024-12-14","20:59:51","328","8144","1364.5","1247.8999999910593","361","43","3136.699999988079","1","93","1658.2999999970198","1821.8999999910593","4444.199999988079",""
"34","http://localhost:8080/","2024-12-14","21:00:00","327","8149","1376.2000000029802","1267.8999999910593","361.59999999403954","43","3142.5","1","93","1665.2000000029802","1829.5","4457.79999999702",""
"35","http://localhost:8080/","2024-12-14","21:00:09","337","8462","1916","1299.300000011921","370.20000000298023","43","3452.7000000029802","1","93","1949.1000000089407","2130.1000000089407","4767.20000000298",""
"36","http://localhost:8080/","2024-12-14","21:00:18","329","8452","1901","1292.6000000089407","363.40000000596046","42","3443.4000000059605","1","92","1952.9000000059605","2123.5","4766.5",""
"37","http://localhost:8080/","2024-12-14","21:00:27","337","8440","1900.3999999910593","1292","371.20000000298023","42","3431.3999999910593","1","92","1941","2116.3999999910593","4753.29999999702",""
"38","http://localhost:8080/","2024-12-14","21:00:36","335","8437","1900.9000000059605","1292.5","370.79999999701977","42","3429.7000000029802","1","92","1946","2115.6000000089407","4746",""
"39","http://localhost:8080/","2024-12-14","21:00:45","337","8430","1890.6000000089407","1282.300000011921","369.80000001192093","44","3422.7000000029802","1","94","1932.6000000089407","2101.7000000029802","4740.20000000298",""
"40","http://localhost:8080/","2024-12-14","21:00:54","336","8438","1903.7999999970198","1287.0999999940395","370.5","42","3429.7000000029802","1","92","1944.7999999970198","2118.5999999940395","4744.5",""
"41","http://localhost:8080/","2024-12-14","21:01:03","335","8165","1387.2000000029802","1262.2000000029802","370.70000000298023","41","3155.7000000029802","1","91","1667.800000011921","1837.1000000089407","4480.70000000298",""
