idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","21:29:37","521","8370","1553.5999999940395","1470.2000000029802","545.2000000029802","60","3361.7000000029802","2","110","1860.7000000029802","2029.5","4670.79999999702",""
"2","http://localhost:8080/","2024-12-14","21:29:46","327","8156","1375.7000000029802","1275.5999999940395","362.5","51","3148.8999999910593","1","101","1666","1830.3999999910593","4466.5999999940395",""
"3","http://localhost:8080/","2024-12-14","21:29:55","328","8149","1361.5999999940395","1253.2999999970198","362.20000000298023","44","3141.8999999910593","1","94","1660.5","1831","4458.899999991059",""
"4","http://localhost:8080/","2024-12-14","21:30:04","327","8132","1355.5","1255.6000000089407","361.29999999701977","43","3125.4000000059605","1","93","1645.1000000089407","1808.1000000089407","4444.9000000059605",""
"5","http://localhost:8080/","2024-12-14","21:30:12","320","8135","1360.7999999970198","1244.2000000029802","355.20000000298023","44","3127.7999999970198","1","94","1645.7000000029802","1808.4000000059605","4446",""
"6","http://localhost:8080/","2024-12-14","21:30:21","328","8160","1388.7000000029802","1272","361.3999999910593","44","3153.7000000029802","1","94","1665.5","1835.7999999970198","4473.0999999940395",""
"7","http://localhost:8080/","2024-12-14","21:30:30","321","8147","1410.0999999940395","1251.7999999970198","354.79999999701977","45","3141","1","95","1665.7999999970198","1830.2999999970198","4451",""
"8","http://localhost:8080/","2024-12-14","21:30:39","321","8167","1419.199999988079","1269.199999988079","354.59999999403954","47","3159.3999999910593","1","97","1674","1836.8999999910593","4466.0999999940395",""
"9","http://localhost:8080/","2024-12-14","21:30:47","327","8157","1382.5999999940395","1274.2999999970198","361.79999999701977","47","3152","1","97","1665.8999999910593","1830.5","4468",""
"10","http://localhost:8080/","2024-12-14","21:30:56","328","8153","1371.5999999940395","1255","361.29999999701977","45","3143.5999999940395","1","95","1656.5999999940395","1821.5999999940395","4457.79999999702",""
"11","http://localhost:8080/","2024-12-14","21:31:05","328","8142","1368.2999999970198","1259.8999999910593","361.8999999910593","44","3135.2999999970198","1","94","1651.2999999970198","1816.0999999940395","4450.5",""
"12","http://localhost:8080/","2024-12-14","21:31:14","327","8146","1368.5999999940395","1268.5","361.3999999910593","44","3139.2000000029802","1","94","1665.5999999940395","1830.7000000029802","4451.29999999702",""
"13","http://localhost:8080/","2024-12-14","21:31:23","321","8142","1351.9000000059605","1243.5999999940395","355","47","3135","1","97","1652.5999999940395","1823.5999999940395","4453.0999999940395",""
"14","http://localhost:8080/","2024-12-14","21:31:31","329","8140","1367.0999999940395","1267.0999999940395","362.69999998807907","42","3134.199999988079","1","92","1651.699999988079","1817.3999999910593","4452.5",""
"15","http://localhost:8080/","2024-12-14","21:31:40","327","8141","1367.5","1250.800000011921","361.5","45","3133.7000000029802","1","95","1652.5","1815.9000000059605","4451.800000011921",""
