idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-15","07:20:36","614","6590","1658.2999999999884","1583.2999999999884","640.7000000000116","0","1557","1","56","-1","-1","-1",""
"2","http://localhost:8080/","2024-12-15","07:20:43","329","6252","1400.100000000035","1250.2000000000116","362.70000000001164","0","1250.2000000000116","0","-1","-1","-1","-1",""
"3","http://localhost:8080/","2024-12-15","07:20:50","328","6267","1371.7000000000116","1271.600000000035","360.9000000000233","0","1271.600000000035","0","-1","-1","-1","-1",""
"4","http://localhost:8080/","2024-12-15","07:20:57","328","6267","1375.7000000000116","1267.3000000000466","362.20000000001164","0","1267.3000000000466","0","-1","-1","-1","-1",""
"5","http://localhost:8080/","2024-12-15","07:21:04","327","6255","1365.7999999999884","1257.5","361.70000000001164","0","1257.5","0","-1","-1","-1","-1",""
"6","http://localhost:8080/","2024-12-15","07:21:11","327","6267","1380.5999999999767","1264","361.79999999998836","0","1264","0","-1","-1","-1","-1",""
"7","http://localhost:8080/","2024-12-15","07:21:18","321","6255","1374.7000000000116","1258","355","0","1258","0","-1","-1","-1","-1",""
"8","http://localhost:8080/","2024-12-15","07:21:25","327","6251","1362.7000000000116","1254.2999999999884","362.70000000001164","0","1254.2999999999884","0","-1","-1","-1","-1",""
"9","http://localhost:8080/","2024-12-15","07:21:32","327","6242","1396.9000000000233","1246.8000000000466","360.5","0","1246.8000000000466","0","-1","-1","-1","-1",""
"10","http://localhost:8080/","2024-12-15","07:21:39","320","6243","1393.7999999999884","1243.7000000000116","354.79999999998836","0","1243.7000000000116","0","-1","-1","-1","-1",""
"11","http://localhost:8080/","2024-12-15","07:21:46","327","6251","1404.7999999999884","1254.899999999965","361.3999999999651","0","1254.899999999965","0","-1","-1","-1","-1",""
"12","http://localhost:8080/","2024-12-15","07:21:53","328","6262","1368.5999999999767","1260.2000000000116","361.9000000000233","0","1260.2000000000116","0","-1","-1","-1","-1",""
"13","http://localhost:8080/","2024-12-15","07:21:59","327","6277","1383.5","1275.2999999999884","362.8999999999651","0","1275.2999999999884","0","-1","-1","-1","-1",""
"14","http://localhost:8080/","2024-12-15","07:22:06","327","6263","1366.5","1266.5999999999767","362.5","0","1266.5999999999767","0","-1","-1","-1","-1",""
"15","http://localhost:8080/","2024-12-15","07:22:13","328","6271","1380","1271.7000000000116","361.80000000004657","0","1271.7000000000116","0","-1","-1","-1","-1",""
"16","http://localhost:8080/","2024-12-15","07:22:20","327","6257","1368","1259.600000000035","361.30000000004657","0","1259.600000000035","0","-1","-1","-1","-1",""
"17","http://localhost:8080/","2024-12-15","07:22:27","320","6252","1356.2999999999884","1247.9000000000233","353.79999999998836","0","1247.9000000000233","0","-1","-1","-1","-1",""
"18","http://localhost:8080/","2024-12-15","07:22:34","328","6264","1382.2999999999884","1265.5999999999767","361.5","0","1265.5999999999767","0","-1","-1","-1","-1",""
"19","http://localhost:8080/","2024-12-15","07:22:41","327","6269","1380.4000000000233","1272.100000000035","361.6000000000349","0","1272.100000000035","0","-1","-1","-1","-1",""
"20","http://localhost:8080/","2024-12-15","07:22:48","321","6253","1356.0999999999767","1256","355.29999999998836","0","1256","0","-1","-1","-1","-1",""
"21","http://localhost:8080/","2024-12-15","07:22:55","321","6242","1357.399999999965","1240.7000000000116","355.79999999998836","0","1240.7000000000116","0","-1","-1","-1","-1",""
"22","http://localhost:8080/","2024-12-15","07:23:02","321","6244","1357.2000000000116","1249","354.70000000001164","0","1249","0","-1","-1","-1","-1",""
"23","http://localhost:8080/","2024-12-15","07:23:09","321","6250","1405","1255.1000000000931","355.60000000009313","0","1255.1000000000931","0","-1","-1","-1","-1",""
"24","http://localhost:8080/","2024-12-15","07:23:15","328","6249","1367.2999999999302","1250.5999999999767","363.0999999999767","0","1250.5999999999767","0","-1","-1","-1","-1",""
"25","http://localhost:8080/","2024-12-15","07:23:22","327","6245","1390.9000000000233","1249.2000000000698","362.20000000006985","0","1249.2000000000698","0","-1","-1","-1","-1",""
"26","http://localhost:8080/","2024-12-15","07:23:29","327","6258","1405.0999999999767","1255.0999999999767","361.69999999995343","0","1255.0999999999767","0","-1","-1","-1","-1",""
"27","http://localhost:8080/","2024-12-15","07:23:36","327","6249","1363.8999999999069","1247.2999999999302","361.19999999995343","0","1247.2999999999302","0","-1","-1","-1","-1",""
"28","http://localhost:8080/","2024-12-15","07:23:43","327","6262","1413.4000000000233","1263.4000000000233","362.70000000006985","0","1263.4000000000233","0","-1","-1","-1","-1",""
"29","http://localhost:8080/","2024-12-15","07:23:50","320","6250","1363.2999999999302","1246.6999999999534","355","0","1246.6999999999534","0","-1","-1","-1","-1",""
"30","http://localhost:8080/","2024-12-15","07:23:57","321","6249","1355.9000000000233","1247.5","354.20000000006985","0","1247.5","0","-1","-1","-1","-1",""
"31","http://localhost:8080/","2024-12-15","07:24:04","327","6250","1363.6999999999534","1255.2999999999302","362.0999999999767","0","1255.2999999999302","0","-1","-1","-1","-1",""
"32","http://localhost:8080/","2024-12-15","07:24:11","326","6251","1405.0999999999767","1255.0999999999767","360.69999999995343","0","1255.0999999999767","0","-1","-1","-1","-1",""
"33","http://localhost:8080/","2024-12-15","07:24:18","328","6264","1379.3999999999069","1262.7999999999302","362.79999999993015","0","1262.7999999999302","0","-1","-1","-1","-1",""
"34","http://localhost:8080/","2024-12-15","07:24:24","328","6258","1375.8000000000466","1259.2000000000698","363","0","1259.2000000000698","0","-1","-1","-1","-1",""
"35","http://localhost:8080/","2024-12-15","07:24:31","320","6257","1374.2999999999302","1257.5999999999767","354.39999999990687","0","1257.5999999999767","0","-1","-1","-1","-1",""
"36","http://localhost:8080/","2024-12-15","07:24:38","327","6257","1363.2000000000698","1254.9000000000233","362.60000000009313","0","1254.9000000000233","0","-1","-1","-1","-1",""
"37","http://localhost:8080/","2024-12-15","07:24:45","328","6248","1367.4000000000233","1250.6999999999534","362.5999999999767","0","1250.6999999999534","0","-1","-1","-1","-1",""
"38","http://localhost:8080/","2024-12-15","07:24:52","328","6252","1363","1254.6999999999534","362.29999999993015","0","1254.6999999999534","0","-1","-1","-1","-1",""
"39","http://localhost:8080/","2024-12-15","07:24:59","321","6247","1364.1999999999534","1247.5","354","0","1247.5","0","-1","-1","-1","-1",""
"40","http://localhost:8080/","2024-12-15","07:25:06","327","6263","1379.3000000000466","1262.6999999999534","362.80000000004657","0","1262.6999999999534","0","-1","-1","-1","-1",""
"41","http://localhost:8080/","2024-12-15","07:25:13","327","6263","1375.7999999999302","1267.4000000000233","362.9000000000233","0","1267.4000000000233","0","-1","-1","-1","-1",""
"42","http://localhost:8080/","2024-12-15","07:25:20","328","6263","1375.5","1267.1999999999534","363","0","1267.1999999999534","0","-1","-1","-1","-1",""
"43","http://localhost:8080/","2024-12-15","07:25:27","335","6261","1370.3000000000466","1261.9000000000233","368.9000000000233","0","1261.9000000000233","0","-1","-1","-1","-1",""
"44","http://localhost:8080/","2024-12-15","07:25:33","321","6275","1880.6999999999534","1272.3999999999069","354.69999999995343","0","1272.3999999999069","0","-1","-1","-1","-1",""
"45","http://localhost:8080/","2024-12-15","07:25:40","335","6287","1892.7999999999302","1284.3999999999069","369","0","1284.3999999999069","0","-1","-1","-1","-1",""
"46","http://localhost:8080/","2024-12-15","07:25:47","335","6293","1896.5999999999767","1296.6999999999534","368.29999999993015","0","1296.6999999999534","0","-1","-1","-1","-1",""
"47","http://localhost:8080/","2024-12-15","07:25:54","329","6261","1368.7999999999302","1260.4000000000233","363.4000000000233","0","1260.4000000000233","0","-1","-1","-1","-1",""
"48","http://localhost:8080/","2024-12-15","07:26:01","336","6284","1882.4000000000233","1282.4000000000233","370.0999999999767","0","1282.4000000000233","0","-1","-1","-1","-1",""
