idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-15","09:40:02","528","6473","1560.4000000003725","1468.800000000745","561.0999999996275","0","1468.800000000745","0","-1","-1","-1","-1",""
"2","http://localhost:8080/","2024-12-15","09:40:10","328","6281","1388.2000000011176","1280","362.7000000011176","0","1280","0","-1","-1","-1","-1",""
"3","http://localhost:8080/","2024-12-15","09:40:17","327","6258","1374.5","1266.199999999255","362.09999999962747","0","1266.199999999255","0","-1","-1","-1","-1",""
"4","http://localhost:8080/","2024-12-15","09:40:23","327","6258","1366","1265.8999999985099","361.8999999985099","0","1265.8999999985099","0","-1","-1","-1","-1",""
"5","http://localhost:8080/","2024-12-15","09:40:30","328","6252","1367.699999999255","1259.5","361.19999999925494","0","1259.5","0","-1","-1","-1","-1",""
"6","http://localhost:8080/","2024-12-15","09:40:37","327","6259","1365.199999999255","1265.0999999996275","361.09999999962747","0","1265.0999999996275","0","-1","-1","-1","-1",""
"7","http://localhost:8080/","2024-12-15","09:40:44","327","6281","1388.0999999996275","1288.0999999996275","362.59999999962747","0","1288.0999999996275","0","-1","-1","-1","-1",""
"8","http://localhost:8080/","2024-12-15","09:40:51","327","6268","1380.5","1272.0999999996275","361.2999999988824","0","1272.0999999996275","0","-1","-1","-1","-1",""
"9","http://localhost:8080/","2024-12-15","09:40:58","329","6269","1376.4000000003725","1268","362.5","0","1268","0","-1","-1","-1","-1",""
"10","http://localhost:8080/","2024-12-15","09:41:05","327","6254","1362.2999999988824","1254","362.2999999988824","0","1254","0","-1","-1","-1","-1",""
"11","http://localhost:8080/","2024-12-15","09:41:12","328","6254","1409.199999999255","1259.199999999255","361.2999999988824","0","1259.199999999255","0","-1","-1","-1","-1",""
"12","http://localhost:8080/","2024-12-15","09:41:19","321","6261","1368.699999999255","1268.699999999255","355.19999999925494","0","1268.699999999255","0","-1","-1","-1","-1",""
"13","http://localhost:8080/","2024-12-15","09:41:26","328","6256","1364.4000000003725","1264.4000000003725","361.7000000011176","0","1264.4000000003725","0","-1","-1","-1","-1",""
"14","http://localhost:8080/","2024-12-15","09:41:33","328","6251","1366.9000000003725","1258.6000000014901","361.30000000074506","0","1258.6000000014901","0","-1","-1","-1","-1",""
"15","http://localhost:8080/","2024-12-15","09:41:40","327","6260","1374.8999999985099","1266.5999999996275","362.59999999962747","0","1266.5999999996275","0","-1","-1","-1","-1",""
"16","http://localhost:8080/","2024-12-15","09:41:47","328","6253","1367.0999999996275","1258.699999999255","363","0","1258.699999999255","0","-1","-1","-1","-1",""
"17","http://localhost:8080/","2024-12-15","09:41:53","328","6257","1364.5","1256.199999999255","361.5","0","1256.199999999255","0","-1","-1","-1","-1",""
"18","http://localhost:8080/","2024-12-15","09:42:00","327","6259","1364.0999999996275","1264.0999999996275","362.2999999988824","0","1264.0999999996275","0","-1","-1","-1","-1",""
"19","http://localhost:8080/","2024-12-15","09:42:07","328","6260","1367.300000000745","1267.4000000003725","361.30000000074506","0","1267.4000000003725","0","-1","-1","-1","-1",""
"20","http://localhost:8080/","2024-12-15","09:42:14","328","6256","1363.699999999255","1255.2999999988824","361.69999999925494","0","1255.2999999988824","0","-1","-1","-1","-1",""
