idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","17:17:44","568","9030","1617.5","1517.5","595.5","22","4020.5","1","72","1904.4000000059605","2071.5","4101.79999999702",""
"2","http://localhost:8080/","2024-12-14","17:17:53","323","8777","1370.0999999940395","1261.7000000029802","357.59999999403954","17","3769.0999999940395","1","67","1661.2000000029802","1824.5999999940395","3851.7999999970198",""
"3","http://localhost:8080/","2024-12-14","17:18:03","327","8782","1370.0999999940395","1261.7999999970198","361.8999999910593","19","3776.0999999940395","1","69","1673.5999999940395","1837.7999999970198","3863.7999999970198",""
"4","http://localhost:8080/","2024-12-14","17:18:12","329","8771","1367.4000000059605","1250.7000000029802","362","16","3763.7000000029802","1","66","1658.2999999970198","1823.6000000089407","3850.1000000089407",""
"5","http://localhost:8080/","2024-12-14","17:18:22","321","8772","1365.9000000059605","1249.2000000029802","355.1000000089407","16","3765.1000000089407","1","66","1666.300000011921","1830.4000000059605","3856.2000000029802",""
"6","http://localhost:8080/","2024-12-14","17:18:31","328","8773","1368.0999999940395","1259.7999999970198","361.69999998807907","16","3766.0999999940395","1","66","1652.199999988079","1816.2999999970198","3851.7999999970198",""
"7","http://localhost:8080/","2024-12-14","17:18:40","322","8788","1419.9000000059605","1261.5","356.59999999403954","16","3780.4000000059605","1","66","1674.5999999940395","1838.5","3863.7999999970198",""
"8","http://localhost:8080/","2024-12-14","17:18:50","320","8781","1402","1252","356.29999999701977","17","3774.5","1","67","1667.7000000029802","1831.5","3857.0999999940395",""
"9","http://localhost:8080/","2024-12-14","17:18:59","327","8786","1379.7999999970198","1279.7000000029802","360.09999999403954","16","3778.2999999970198","1","66","1664.0999999940395","1827.5","3861.3999999910593",""
"10","http://localhost:8080/","2024-12-14","17:19:08","327","8774","1399.4000000059605","1249.2999999970198","361.90000000596046","15","3765.0999999940395","1","65","1665.7000000029802","1830.4000000059605","3855.2000000029802",""
"11","http://localhost:8080/","2024-12-14","17:19:18","328","8787","1383.9000000059605","1275.5","361.09999999403954","16","3779.5999999940395","1","66","1673.7000000029802","1838.4000000059605","3865.5",""
"12","http://localhost:8080/","2024-12-14","17:19:27","327","8775","1366.7999999970198","1258.3999999910593","361.19999998807907","16","3767.199999988079","1","66","1652.699999988079","1816.5","3850.5",""
"13","http://localhost:8080/","2024-12-14","17:19:37","328","8766","1365","1256.7000000029802","361.5","17","3758.9000000059605","1","67","1652.9000000059605","1816.6000000089407","3850.5",""
"14","http://localhost:8080/","2024-12-14","17:19:46","329","8773","1366.9000000059605","1266.800000011921","362.90000000596046","16","3766.4000000059605","1","66","1651.5","1817.300000011921","3850.5",""
"15","http://localhost:8080/","2024-12-14","17:19:55","329","8770","1401.2000000029802","1251.2999999970198","362.5","16","3764.8999999910593","1","66","1665.2999999970198","1830.8999999910593","3856.8999999910593",""
"16","http://localhost:8080/","2024-12-14","17:20:05","329","8781","1372.2999999970198","1264","362.40000000596046","16","3773.7000000029802","1","66","1667.7999999970198","1830.5999999940395","3857",""
"17","http://localhost:8080/","2024-12-14","17:20:14","321","8773","1373","1256.4000000059605","354.80000001192093","16","3765.800000011921","1","66","1660","1830.9000000059605","3856.7000000029802",""
"18","http://localhost:8080/","2024-12-14","17:20:24","322","8779","1369.4000000059605","1277.7999999970198","354.20000000298023","17","3772.0999999940395","1","67","1658.5999999940395","1823.0999999940395","3857.2000000029802",""
"19","http://localhost:8080/","2024-12-14","17:20:33","327","8775","1405.1000000089407","1246.7999999970198","362.70000000298023","16","3765.7000000029802","1","66","1665","1830","3856.4000000059605",""
"20","http://localhost:8080/","2024-12-14","17:20:42","328","8795","1383.2999999970198","1266.6000000089407","362.5","16","3786.6000000089407","1","66","1680.6000000089407","1844.1000000089407","3871.7000000029802",""
"21","http://localhost:8080/","2024-12-14","17:20:52","328","8771","1368.2000000029802","1268.1000000089407","361","15","3764.7999999970198","1","65","1658.2000000029802","1822","3854.4000000059605",""
"22","http://localhost:8080/","2024-12-14","17:21:01","321","8767","1386.199999988079","1236.199999988079","354.5","17","3758","1","67","1652.699999988079","1815.699999988079","3843.199999988079",""
"23","http://localhost:8080/","2024-12-14","17:21:10","328","8780","1372.4000000059605","1272.4000000059605","362.79999999701977","16","3771.4000000059605","1","66","1665.4000000059605","1830.2000000029802","3856.2999999970198",""
