idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","13:11:47","564","9011","1598","1514.7000000029802","597.6000000089407","20","4003.2000000029802","2","70","1888.1000000089407","2058.9000000059605","4244.9000000059605",""
"2","http://localhost:8080/","2024-12-14","13:11:57","328","8808","1417.699999988079","1276","361.29999999701977","15","3800.0999999940395","1","65","1688.5999999940395","1858.3999999910593","4054.699999988079",""
"3","http://localhost:8080/","2024-12-14","13:12:06","328","8802","1389.5","1272.8999999910593","361.8999999910593","16","3792.7999999970198","1","66","1688.2000000029802","1849.8999999910593","4040.8999999910593",""
"4","http://localhost:8080/","2024-12-14","13:12:15","328","8780","1371.0999999940395","1262.7999999970198","360.79999999701977","16","3771.3999999910593","1","66","1658.7999999970198","1822.199999988079","4016.8999999910593",""
"5","http://localhost:8080/","2024-12-14","13:12:25","321","8759","1356.2000000029802","1239.5","354.09999999403954","16","3750.2999999970198","1","66","1645.0999999940395","1808.5999999940395","4002.7999999970198",""
"6","http://localhost:8080/","2024-12-14","13:12:34","327","8794","1384.5999999940395","1276.2999999970198","361.5","16","3786.7999999970198","1","66","1672.8999999910593","1836.8999999910593","4031",""
"7","http://localhost:8080/","2024-12-14","13:12:44","328","8780","1371.7000000029802","1255","361.29999999701977","17","3772.7000000029802","1","67","1667.1000000089407","1830","4015.5",""
"8","http://localhost:8080/","2024-12-14","13:12:53","321","8765","1360","1243.4000000059605","354","16","3756.7000000029802","1","66","1644.5","1808.1000000089407","4004.4000000059605",""
"9","http://localhost:8080/","2024-12-14","13:13:02","326","8787","1375.5999999940395","1267.2999999970198","362.59999999403954","15","3778.7000000029802","1","65","1672.7999999970198","1836.5999999940395","4024.0999999940395",""
"10","http://localhost:8080/","2024-12-14","13:13:12","329","8796","1384.5999999940395","1276.2999999970198","362.59999999403954","16","3788.5999999940395","1","66","1676.7999999970198","1845.2000000029802","4031.7000000029802",""
"11","http://localhost:8080/","2024-12-14","13:13:21","320","8765","1360.2000000029802","1243.5","355.40000000596046","17","3758.300000011921","1","67","1645.800000011921","1808.300000011921","4013",""
"12","http://localhost:8080/","2024-12-14","13:13:31","320","8777","1380.9000000059605","1272.5999999940395","353.5","16","3770.7000000029802","1","66","1665.2000000029802","1828.9000000059605","4022.7000000029802",""
"13","http://localhost:8080/","2024-12-14","13:13:40","327","8779","1375.5999999940395","1267.2999999970198","362.79999999701977","17","3773.2999999970198","1","67","1658.2000000029802","1823.5","4017.2000000029802",""
"14","http://localhost:8080/","2024-12-14","13:13:49","327","8770","1363.5","1255.2000000029802","361","16","3762.800000011921","1","66","1665.800000011921","1831.1000000089407","4024.6000000089407",""
"15","http://localhost:8080/","2024-12-14","13:13:59","320","8764","1364.1000000089407","1255.7000000029802","354","17","3758.5","1","67","1653.1000000089407","1823.4000000059605","4009.7999999970198",""
"16","http://localhost:8080/","2024-12-14","13:14:08","327","8771","1371.2000000029802","1254.5","361.09999999403954","17","3765.2000000029802","1","67","1652.5999999940395","1815.2999999970198","4017.5",""
"17","http://localhost:8080/","2024-12-14","13:14:17","328","8769","1366.0999999940395","1257.7999999970198","362.09999999403954","15","3764","1","65","1650.5","1815.2000000029802","4010.7999999970198",""
"18","http://localhost:8080/","2024-12-14","13:14:27","321","8765","1360.0999999940395","1243.2999999970198","354.5","16","3757.2999999970198","1","66","1651.2000000029802","1816.5","4009.9000000059605",""
"19","http://localhost:8080/","2024-12-14","13:14:36","321","8764","1360.5","1243.7999999970198","355.5","16","3757.0999999940395","1","66","1645.7999999970198","1808.7999999970198","4004.0999999940395",""
"20","http://localhost:8080/","2024-12-14","13:14:45","320","8758","1360.7000000029802","1244","354.29999999701977","16","3751.5999999940395","1","66","1645.2999999970198","1809","4011.2000000029802",""
"21","http://localhost:8080/","2024-12-14","13:14:55","328","8780","1403.7999999970198","1253.7999999970198","362.29999999701977","16","3772.5","1","66","1665.5","1830.9000000059605","4024.2999999970198",""
"22","http://localhost:8080/","2024-12-14","13:15:04","328","8783","1376","1259.4000000059605","362","15","3777.1000000089407","1","65","1666.5","1837","4031.5",""
"23","http://localhost:8080/","2024-12-14","13:15:14","328","8772","1362.4000000059605","1262.4000000059605","362.40000000596046","16","3765","1","66","1651.7000000029802","1814.2999999970198","4016.6000000089407",""
"24","http://localhost:8080/","2024-12-14","13:15:23","327","8765","1354.6000000089407","1254.7000000029802","362.70000000298023","16","3758","1","66","1643.5","1808.9000000059605","4010.7000000029802",""
"25","http://localhost:8080/","2024-12-14","13:15:32","328","8773","1369","1260.7000000029802","362.6000000089407","16","3766.4000000059605","1","66","1658.4000000059605","1823.4000000059605","4017.7000000029802",""
"26","http://localhost:8080/","2024-12-14","13:15:42","327","8779","1362.8999999910593","1254.5","362.09999999403954","16","3772.2999999970198","1","66","1659.5999999940395","1830.699999988079","4026",""
"27","http://localhost:8080/","2024-12-14","13:15:51","328","8781","1376.5","1268.199999988079","362.69999998807907","16","3772.2999999970198","1","66","1658.3999999910593","1822.3999999910593","4020.199999988079",""
"28","http://localhost:8080/","2024-12-14","13:16:00","321","8772","1365.3999999910593","1257","354","15","3764","1","65","1660.3999999910593","1823.5","4017.2000000029802",""
"29","http://localhost:8080/","2024-12-14","13:16:10","328","8774","1367.2999999970198","1250.699999988079","361.8999999910593","17","3766.2999999970198","1","67","1654.5999999940395","1823.3999999910593","4010.5",""
"30","http://localhost:8080/","2024-12-14","13:16:19","328","8767","1358.1000000089407","1249.800000011921","362.30000001192093","17","3759.6000000089407","1","67","1652.9000000059605","1815.800000011921","4010.6000000089407",""
"31","http://localhost:8080/","2024-12-14","13:16:29","321","8781","1357.2000000029802","1248.9000000059605","354.09999999403954","17","3773.5999999940395","1","67","1659.2999999970198","1830.2000000029802","4024.5",""
"32","http://localhost:8080/","2024-12-14","13:16:38","327","8772","1368","1251.2999999970198","361.29999999701977","16","3765","1","66","1651","1816.5","4016.0999999940395",""
"33","http://localhost:8080/","2024-12-14","13:16:47","335","9073","1899.6000000089407","1283","369.30000001192093","15","4064.1000000089407","1","65","1932.2000000029802","2110.5","4307.4000000059605",""
"34","http://localhost:8080/","2024-12-14","13:16:57","338","9088","1907.5","1299.2999999970198","370.1000000089407","16","4080.9000000059605","1","66","1952.5","2130.6000000089407","4325",""
"35","http://localhost:8080/","2024-12-14","13:17:07","336","9079","1912.5999999940395","1287.5999999940395","369.3999999910593","14","4071.5999999940395","1","64","1945.199999988079","2123.199999988079","4323.5999999940395",""
"36","http://localhost:8080/","2024-12-14","13:17:16","336","9063","1900.0999999940395","1291.7999999970198","371","14","4055.5999999940395","1","64","1942.0999999940395","2125.0999999940395","4309.20000000298",""
"37","http://localhost:8080/","2024-12-14","13:17:26","336","8814","1380.2000000029802","1271.7999999970198","368.6000000089407","14","3805.6000000089407","1","64","1682.6000000089407","1852.9000000059605","4061",""
"38","http://localhost:8080/","2024-12-14","13:17:36","337","9065","1916.5","1299.7999999970198","370.79999999701977","14","4057.4000000059605","1","64","1952.2000000029802","2122.7000000029802","4316.79999999702",""
"39","http://localhost:8080/","2024-12-14","13:17:45","327","9048","1893.0999999940395","1276.4000000059605","362.09999999403954","15","4041.9000000059605","1","65","1918.5999999940395","2095.2000000029802","4288.70000000298",""
"40","http://localhost:8080/","2024-12-14","13:17:55","342","9058","1898.0999999940395","1289.7999999970198","377.20000000298023","14","4048.8999999910593","1","64","1937.2999999970198","2108.2999999970198","4301.29999999702",""
"41","http://localhost:8080/","2024-12-14","13:18:05","336","9073","1897.7000000029802","1289.2999999970198","370.79999999701977","17","4065.6000000089407","1","67","1938.5","2116.9000000059605","4326.70000000298",""
"42","http://localhost:8080/","2024-12-14","13:18:14","328","9056","1893.5999999940395","1276.9000000059605","361.79999999701977","15","4049.2999999970198","1","65","1920.2000000029802","2096.7000000029802","4296.0999999940395",""
"43","http://localhost:8080/","2024-12-14","13:18:24","335","8783","1388.199999988079","1288.199999988079","368.3999999910593","14","3776.5999999940395","1","64","1673","1837.5999999940395","4029.5999999940395",""
"44","http://localhost:8080/","2024-12-14","13:18:33","344","9083","1927.4000000059605","1302.4000000059605","377.5","13","4075.9000000059605","1","63","1956.6000000089407","2138.5","4323.600000008941",""
"45","http://localhost:8080/","2024-12-14","13:18:43","336","9075","1899.7000000029802","1291.4000000059605","370.59999999403954","17","4067.0999999940395","1","67","1930.9000000059605","2110.4000000059605","4311.20000000298",""
"46","http://localhost:8080/","2024-12-14","13:18:53","329","9060","1877.2999999970198","1285.5999999940395","362.29999999701977","17","4051.8999999910593","1","67","1930.3999999910593","2109.699999988079","4295.699999988079",""
"47","http://localhost:8080/","2024-12-14","13:19:02","327","9056","1893","1284.6000000089407","363.80000001192093","15","4049.9000000059605","1","65","1926.5","2103.1000000089407","4303.9000000059605",""
"48","http://localhost:8080/","2024-12-14","13:19:12","337","9085","1907.2000000029802","1307.300000011921","369.80000001192093","15","4079","1","65","1958.800000011921","2129.800000011921","4323.70000000298",""
"49","http://localhost:8080/","2024-12-14","13:19:22","338","9072","1915.5","1307.2000000029802","369.70000000298023","15","4064.5999999940395","1","65","1948.7999999970198","2130.2000000029802","4316.9000000059605",""
"50","http://localhost:8080/","2024-12-14","13:19:31","334","9040","1884","1292.4000000059605","371","14","4034.5","1","64","1924.5","2094.4000000059605","4288.70000000298",""
"51","http://localhost:8080/","2024-12-14","13:19:41","337","9055","1893.5","1276.7999999970198","368.6000000089407","13","4048","1","63","1937.6000000089407","2108.2999999970198","4312.4000000059605",""
"52","http://localhost:8080/","2024-12-14","13:19:51","342","9071","1897.8999999910593","1297.8999999910593","377.09999999403954","15","4063.2999999970198","1","65","1950.699999988079","2122.0999999940395","4316.5",""
"53","http://localhost:8080/","2024-12-14","13:20:00","336","9057","1901.3999999910593","1284.7999999970198","369.20000000298023","14","4048.7999999970198","1","64","1938.7000000029802","2108.7999999970198","4302.20000000298",""
"54","http://localhost:8080/","2024-12-14","13:20:10","338","9066","1907.9000000059605","1291.2999999970198","371.09999999403954","14","4058.2000000029802","1","64","1934.7999999970198","2109.2999999970198","4303.70000000298",""
"55","http://localhost:8080/","2024-12-14","13:20:20","336","8798","1376.9000000059605","1277","368.70000000298023","14","3791.4000000059605","1","64","1675.2000000029802","1845.7000000029802","4038.5999999940395",""
