idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-14","11:47:08","31","5115","118.6000000089407","118.6000000089407","23.400000005960464","0","118.6000000089407","0","-1","83.20000000298023","86.1000000089407","146.6000000089407",""
"2","http://localhost:8080/","2024-12-14","11:47:14","24","5032","98.90000000596046","82.30000001192093","19.5","0","82.30000001192093","0","-1","60.6000000089407","63.400000005960464","118.70000000298023",""
"3","http://localhost:8080/","2024-12-14","11:47:20","23","5088","89.79999999701977","89.79999999701977","17.799999997019768","0","89.79999999701977","0","-1","58.3999999910593","61.5","122.79999999701977",""
"4","http://localhost:8080/","2024-12-14","11:47:25","25","5088","92.20000000298023","83.90000000596046","20","0","83.90000000596046","0","-1","59.70000000298023","62.900000005960464","121.29999999701977",""
"5","http://localhost:8080/","2024-12-14","11:47:31","23","5094","95","95","17.799999997019768","0","95","0","-1","55.70000000298023","58.3999999910593","116.20000000298023",""
"6","http://localhost:8080/","2024-12-14","11:47:37","24","5083","91.70000000298023","83.40000000596046","18.400000005960464","0","83.40000000596046","0","-1","57.900000005960464","60.900000005960464","117.29999999701977",""
"7","http://localhost:8080/","2024-12-14","11:47:43","27","5090","95.79999999701977","95.79999999701977","21.599999994039536","0","95.79999999701977","0","-1","61.5","64.3999999910593","121.8999999910593",""
"8","http://localhost:8080/","2024-12-14","11:47:48","22","5097","104","87.29999999701977","17.200000002980232","0","87.29999999701977","0","-1","66","69.79999999701977","130.5",""
"9","http://localhost:8080/","2024-12-14","11:47:54","24","5112","96.5","96.5","17.700000002980232","0","96.5","0","-1","54.900000005960464","58.20000000298023","117.20000000298023",""
"10","http://localhost:8080/","2024-12-14","11:48:00","27","5091","97.20000000298023","97.20000000298023","21.099999994039536","0","97.20000000298023","0","-1","56.8999999910593","59.79999999701977","118.3999999910593",""
"11","http://localhost:8080/","2024-12-14","11:48:06","24","5086","91","82.70000000298023","18.100000008940697","0","82.70000000298023","0","-1","58.70000000298023","61.79999999701977","120.5",""
"12","http://localhost:8080/","2024-12-14","11:48:11","20","5099","104.20000000298023","95.79999999701977","15.5","0","95.79999999701977","0","-1","70.20000000298023","73.29999999701977","132.70000000298023",""
"13","http://localhost:8080/","2024-12-14","11:48:17","22","5088","93.5","93.5","16.799999997019768","0","93.5","0","-1","53.599999994039536","56.5","114.40000000596046",""
