idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,nf:init,nf:config,nf:loaded,error
"1","http://localhost:8080/","2024-12-16","11:15:17","335","4372","4939.10000000149","1247.5","326.6000000014901","239","4345.39999999851","3","238","1553.7000000029802","1897.8999999985099","4345.70000000298",""
"2","http://localhost:8080/","2024-12-16","11:15:26","336","4238","4813.89999999851","1197.2999999970198","333.3999999985099","212","4224.60000000149","3","218","1458.2000000029802","1798.2000000029802","4224.70000000298",""
"3","http://localhost:8080/","2024-12-16","11:15:36","329","4263","4715.60000000149","1198.8999999985099","327.70000000298023","221","4241.20000000298","3","228","1468.6000000014901","1804.5","4239.70000000298",""
"4","http://localhost:8080/","2024-12-16","11:15:46","330","4254","4704.29999999702","1187.6999999955297","326.59999999403954","216","4229.69999999553","3","225","1459.8999999985099","1800","4229.69999999553",""
"5","http://localhost:8080/","2024-12-16","11:15:56","328","4240","4699.70000000298","1191.3999999985099","327.6000000014901","206","4216.39999999851","3","217","1460.2000000029802","1797.2999999970198","4216.79999999702",""
"6","http://localhost:8080/","2024-12-16","11:16:06","329","4239","4690.80000000447","1190.8000000044703","328.1000000014901","214","4215.5","3","222","1459.7000000029802","1798.1000000014901","4215.70000000298",""
"7","http://localhost:8080/","2024-12-16","11:16:15","331","4255","4697.60000000149","1180.8000000044703","327.70000000298023","219","4231.20000000298","3","223","1453.3000000044703","1793.6000000014901","4231.60000000149",""
"8","http://localhost:8080/","2024-12-16","11:16:25","337","4238","4817.5","1184.1999999955297","334.79999999701977","217","4222.39999999851","3","224","1460.3999999985099","1792.2999999970198","4223.19999999553",""
"9","http://localhost:8080/","2024-12-16","11:16:35","328","4262","4733.19999999553","1191.5","326.3999999985099","218","4237.89999999851","3","226","1461.6000000014901","1799.6000000014901","4237.19999999553",""
"10","http://localhost:8080/","2024-12-16","11:16:45","331","4239","4689.19999999553","1180.8999999985099","326.79999999701977","214","4213.39999999851","3","223","1446.6999999955297","1782.7999999970198","4213.79999999702",""
"11","http://localhost:8080/","2024-12-16","11:16:54","329","4254","4699.10000000149","1190.7999999970198","328.1000000014901","212","4230.89999999851","3","219","1461.1000000014901","1799","4231.60000000149",""
"12","http://localhost:8080/","2024-12-16","11:17:04","331","4235","4819.89999999851","1186.5","326.70000000298023","214","4221.89999999851","3","220","1453.2999999970198","1791.2999999970198","4222.10000000149",""
"13","http://localhost:8080/","2024-12-16","11:17:14","330","4273","4724.30000000447","1199.3000000044703","326.6000000014901","220","4250","3","227","1467.7000000029802","1805.5","4250.70000000298",""
"14","http://localhost:8080/","2024-12-16","11:17:24","331","4257","4710.79999999702","1194.1000000014901","327.5","214","4232.39999999851","3","220","1466.5","1805.6000000014901","4232.39999999851",""
"15","http://localhost:8080/","2024-12-16","11:17:33","337","4248","4793","1193","333.79999999701977","219","4234.29999999702","3","225","1464.0999999940395","1805.6999999955297","4234.39999999851",""
