idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","12:50:17","LCP","1524.8999999985099","4481.29999999702","2956.39999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1431.5","1524.8999999985099"
"1","http://localhost:8080/","2024-12-6","12:50:17","longTask","1423.199999999255","1475.199999999255","52","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","12:50:17","longTask","1476.3999999985099","1529.3999999985099","53","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","12:50:17","longTask","5525","5633","108","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","12:50:29","LCP","1143.199999999255","3343.800000000745","2200.60000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1057.4000000022352","1143.199999999255"
"2","http://localhost:8080/","2024-12-6","12:50:29","longTask","5146.699999999255","5245.699999999255","99","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","12:50:41","LCP","1179","3521.400000002235","2342.400000002235","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1163.4000000022352","1179"
"3","http://localhost:8080/","2024-12-6","12:50:41","longTask","5136.800000000745","5205.800000000745","69","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","12:50:52","LCP","1212.300000000745","3616.60000000149","2404.300000000745","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1192","1212.300000000745"
"4","http://localhost:8080/","2024-12-6","12:50:52","longTask","5180.400000002235","5251.400000002235","71","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","12:51:04","LCP","1233.6000000014901","3681.0000000037253","2447.400000002235","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1213.800000000745","1233.6000000014901"
"5","http://localhost:8080/","2024-12-6","12:51:04","longTask","5186.800000000745","5255.800000000745","69","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","12:51:16","LCP","1335.699999999255","3982.7999999970198","2647.099999997765","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1311.3999999985099","1335.699999999255"
