idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","13:19:37","LCP","1403.4000000022352","4123.100000005215","2719.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1316.300000000745","1403.4000000022352"
"1","http://localhost:8080/","2024-12-6","13:19:37","longTask","1357.6000000014901","1412.6000000014901","55","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","13:19:37","longTask","5106.800000000745","5217.800000000745","111","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","13:19:49","LCP","1155.800000000745","3385.0000000037253","2229.2000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1073.4000000022352","1155.800000000745"
"2","http://localhost:8080/","2024-12-6","13:19:49","longTask","4848.900000002235","4948.900000002235","100","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","13:20:01","LCP","1142.1000000014901","3349.7000000029802","2207.60000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1065.5","1142.1000000014901"
"3","http://localhost:8080/","2024-12-6","13:20:01","longTask","4829.800000000745","4930.800000000745","101","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","13:20:12","LCP","1133.8999999985099","3330.0999999940395","2196.1999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1062.2999999970198","1133.8999999985099"
"4","http://localhost:8080/","2024-12-6","13:20:12","longTask","4840.699999999255","4938.699999999255","98","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","13:20:24","LCP","1150.6000000014901","3370.8000000044703","2220.2000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1069.6000000014901","1150.6000000014901"
"5","http://localhost:8080/","2024-12-6","13:20:24","longTask","4835.199999999255","4936.199999999255","101","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","13:20:35","LCP","1124.699999999255","3305.6999999955297","2180.9999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1056.2999999970198","1124.699999999255"
"6","http://localhost:8080/","2024-12-6","13:20:35","longTask","4832.5","4930.5","98","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","13:20:47","LCP","1141.5","3351.60000000149","2210.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1068.6000000014901","1141.5"
"7","http://localhost:8080/","2024-12-6","13:20:47","longTask","4845.800000000745","4948.800000000745","103","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","13:20:58","LCP","1155.2999999970198","3386.2999999932945","2230.9999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1075.699999999255","1155.2999999970198"
"8","http://localhost:8080/","2024-12-6","13:20:58","longTask","4858.79999999702","4956.79999999702","98","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","13:21:10","LCP","1141.8999999985099","3353.099999997765","2211.199999999255","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1069.300000000745","1141.8999999985099"
"9","http://localhost:8080/","2024-12-6","13:21:10","longTask","4837.5","4938.5","101","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-6","13:21:21","LCP","1144.800000000745","3361.60000000149","2216.800000000745","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1072","1144.800000000745"
"10","http://localhost:8080/","2024-12-6","13:21:21","longTask","4846.800000000745","4946.800000000745","100","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-6","13:21:32","LCP","1130.699999999255","3323.89999999851","2193.199999999255","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1062.5","1130.699999999255"
"11","http://localhost:8080/","2024-12-6","13:21:32","longTask","4842.5","4966.5","124","self","-1","-1","-1","-1","-1"
"12","http://localhost:8080/","2024-12-6","13:21:44","LCP","1208.3999999985099","3608.6999999955297","2400.2999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1191.8999999985099","1208.3999999985099"
"12","http://localhost:8080/","2024-12-6","13:21:44","longTask","4835.39999999851","4934.39999999851","99","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-6","13:21:55","LCP","1214.699999999255","3628.39999999851","2413.699999999255","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1199","1214.699999999255"
"13","http://localhost:8080/","2024-12-6","13:21:55","longTask","4843.89999999851","4941.89999999851","98","self","-1","-1","-1","-1","-1"
"14","http://localhost:8080/","2024-12-6","13:22:07","LCP","1209.699999999255","3611.599999997765","2401.89999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1192.199999999255","1209.699999999255"
"14","http://localhost:8080/","2024-12-6","13:22:07","longTask","4833.79999999702","4934.79999999702","101","self","-1","-1","-1","-1","-1"
"15","http://localhost:8080/","2024-12-6","13:22:18","LCP","1204.0999999977648","3599.9999999925494","2395.8999999947846","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","1191.7999999970198","1204.0999999977648"
"15","http://localhost:8080/","2024-12-6","13:22:18","longTask","4839.5","4937.5","98","self","-1","-1","-1","-1","-1"
