idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","13:31:31","LCP","1126.2999999970198","2252.5999999940395","1126.2999999970198","-1","ref: <Node>","","","0","1126.2999999970198"
"1","http://localhost:8080/","2024-12-6","13:31:31","longTask","1027.699999999255","1079.699999999255","52","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","13:31:31","longTask","1080.0999999977648","1137.0999999977648","57","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","13:31:31","longTask","5005.79999999702","5083.79999999702","78","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","13:31:43","LCP","1079.9000000022352","2159.8000000044703","1079.9000000022352","-1","ref: <Node>","","","0","1079.9000000022352"
"2","http://localhost:8080/","2024-12-6","13:31:43","longTask","4992.60000000149","5060.60000000149","68","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","13:31:54","LCP","1078.6000000014901","2157.2000000029802","1078.6000000014901","-1","ref: <Node>","","","0","1078.6000000014901"
"3","http://localhost:8080/","2024-12-6","13:31:54","longTask","4983.39999999851","5050.39999999851","67","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","13:32:05","LCP","1092.199999999255","2184.39999999851","1092.199999999255","-1","ref: <Node>","","","0","1092.199999999255"
"4","http://localhost:8080/","2024-12-6","13:32:05","longTask","4988.39999999851","5058.39999999851","70","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","13:32:16","LCP","1081.5","2163","1081.5","-1","ref: <Node>","","","0","1081.5"
"5","http://localhost:8080/","2024-12-6","13:32:16","longTask","4974.89999999851","5044.89999999851","70","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","13:32:27","LCP","1099.4000000022352","2198.8000000044703","1099.4000000022352","-1","ref: <Node>","","","0","1099.4000000022352"
"6","http://localhost:8080/","2024-12-6","13:32:27","longTask","5015.10000000149","5084.10000000149","69","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","13:32:39","LCP","1094","2188","1094","-1","ref: <Node>","","","0","1094"
"7","http://localhost:8080/","2024-12-6","13:32:39","longTask","4993.199999999255","5061.199999999255","68","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","13:32:50","LCP","1063.300000000745","2126.60000000149","1063.300000000745","-1","ref: <Node>","","","0","1063.300000000745"
"8","http://localhost:8080/","2024-12-6","13:32:50","longTask","4981.699999999255","5051.699999999255","70","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","13:33:01","LCP","1070.0999999977648","2140.1999999955297","1070.0999999977648","-1","ref: <Node>","","","0","1070.0999999977648"
"9","http://localhost:8080/","2024-12-6","13:33:01","longTask","4974.199999999255","5043.199999999255","69","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-6","13:33:12","LCP","1086.699999999255","2173.39999999851","1086.699999999255","-1","ref: <Node>","","","0","1086.699999999255"
"10","http://localhost:8080/","2024-12-6","13:33:12","longTask","4972.699999999255","5062.699999999255","90","self","-1","-1","-1","-1","-1"
"11","http://localhost:8080/","2024-12-6","13:33:23","LCP","1085.4000000022352","2170.8000000044703","1085.4000000022352","-1","ref: <Node>","","","0","1085.4000000022352"
"11","http://localhost:8080/","2024-12-6","13:33:23","longTask","5004.800000000745","5073.800000000745","69","self","-1","-1","-1","-1","-1"
"12","http://localhost:8080/","2024-12-6","13:33:35","LCP","1087","2174","1087","-1","ref: <Node>","","","0","1087"
"12","http://localhost:8080/","2024-12-6","13:33:35","longTask","5001.5","5094.5","93","self","-1","-1","-1","-1","-1"
"13","http://localhost:8080/","2024-12-6","13:33:46","LCP","1061","2122","1061","-1","ref: <Node>","","","0","1061"
"13","http://localhost:8080/","2024-12-6","13:33:46","longTask","4975.599999997765","5044.599999997765","69","self","-1","-1","-1","-1","-1"
"14","http://localhost:8080/","2024-12-6","13:33:57","LCP","1084","2168","1084","-1","ref: <Node>","","","0","1084"
"14","http://localhost:8080/","2024-12-6","13:33:57","longTask","5001.599999997765","5095.599999997765","94","self","-1","-1","-1","-1","-1"
"15","http://localhost:8080/","2024-12-6","13:34:08","LCP","1096","2192","1096","-1","ref: <Node>","","","0","1096"
"15","http://localhost:8080/","2024-12-6","13:34:08","longTask","4989.5","5084.5","95","self","-1","-1","-1","-1","-1"
"16","http://localhost:8080/","2024-12-6","13:34:19","LCP","1096.1000000014901","2192.2000000029802","1096.1000000014901","-1","ref: <Node>","","","0","1096.1000000014901"
"16","http://localhost:8080/","2024-12-6","13:34:19","longTask","4998.300000000745","5067.300000000745","69","self","-1","-1","-1","-1","-1"
"17","http://localhost:8080/","2024-12-6","13:34:31","LCP","1077.4000000022352","2154.8000000044703","1077.4000000022352","-1","ref: <Node>","","","0","1077.4000000022352"
"17","http://localhost:8080/","2024-12-6","13:34:31","longTask","4981.10000000149","5051.10000000149","70","self","-1","-1","-1","-1","-1"
"18","http://localhost:8080/","2024-12-6","13:34:42","LCP","1084.800000000745","2169.60000000149","1084.800000000745","-1","ref: <Node>","","","0","1084.800000000745"
"18","http://localhost:8080/","2024-12-6","13:34:42","longTask","4992.5","5085.5","93","self","-1","-1","-1","-1","-1"
"19","http://localhost:8080/","2024-12-6","13:34:53","LCP","1068.9000000022352","2137.8000000044703","1068.9000000022352","-1","ref: <Node>","","","0","1068.9000000022352"
"19","http://localhost:8080/","2024-12-6","13:34:53","longTask","4983.5","5075.5","92","self","-1","-1","-1","-1","-1"
"20","http://localhost:8080/","2024-12-6","13:35:04","LCP","1076.199999999255","2152.39999999851","1076.199999999255","-1","ref: <Node>","","","0","1076.199999999255"
"20","http://localhost:8080/","2024-12-6","13:35:04","longTask","4986.199999999255","5054.199999999255","68","self","-1","-1","-1","-1","-1"
