idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","13:49:31","LCP","1368.3999999985099","4014.39999999851","2646","-1","ref: <Node>","http://localhost:8080/img/product/400/AU-01-SI.webp","","1277.6000000014901","1368.3999999985099"
"1","http://localhost:8080/","2024-12-6","13:49:31","longTask","1267.6000000014901","1329.6000000014901","62","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","13:49:31","longTask","1330.3999999985099","1386.3999999985099","56","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","13:49:31","longTask","5030","5113","83","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","13:49:43","LCP","1107.9000000022352","3256.0000000037253","2148.10000000149","-1","ref: <Node>","http://localhost:8080/img/product/400/AU-01-SI.webp","","1040.199999999255","1107.9000000022352"
"2","http://localhost:8080/","2024-12-6","13:49:43","longTask","4765.699999999255","4837.699999999255","72","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","13:49:54","LCP","1110.300000000745","3261.60000000149","2151.300000000745","-1","ref: <Node>","http://localhost:8080/img/product/400/AU-01-SI.webp","","1041","1110.300000000745"
"3","http://localhost:8080/","2024-12-6","13:49:54","longTask","4755.60000000149","4825.60000000149","70","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","13:50:04","LCP","1111.3999999985099","3263.3999999947846","2151.9999999962747","-1","ref: <Node>","http://localhost:8080/img/product/400/AU-01-SI.webp","","1040.5999999977648","1111.3999999985099"
"4","http://localhost:8080/","2024-12-6","13:50:04","longTask","4764.199999999255","4833.199999999255","69","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","13:50:15","LCP","1114","3261.5","2147.5","-1","ref: <Node>","http://localhost:8080/img/product/400/AU-01-SI.webp","","1033.5","1114"
"5","http://localhost:8080/","2024-12-6","13:50:15","longTask","4749.900000002235","4820.900000002235","71","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","13:50:26","LCP","1118.800000000745","3280.10000000149","2161.300000000745","-1","ref: <Node>","http://localhost:8080/img/product/400/AU-01-SI.webp","","1042.5","1118.800000000745"
"6","http://localhost:8080/","2024-12-6","13:50:26","longTask","4774.89999999851","4847.89999999851","73","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","13:50:37","LCP","1114.8999999985099","3276.89999999851","2162","-1","ref: <Node>","http://localhost:8080/img/product/400/AU-01-SI.webp","","1047.1000000014901","1114.8999999985099"
"7","http://localhost:8080/","2024-12-6","13:50:37","longTask","4771.699999999255","4840.699999999255","69","self","-1","-1","-1","-1","-1"
