idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","14:36:50","LCP","1992.8999999985099","5955.5999999940395","3962.6999999955297","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1969.7999999970198","1992.8999999985099"
"1","http://localhost:8080/","2024-12-6","14:36:50","longTask","1374.3999999985099","1428.3999999985099","54","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","14:36:50","longTask","5522.29999999702","5600.29999999702","78","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","14:37:02","LCP","1700.199999999255","5064.599999997765","3364.39999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1664.199999999255","1700.199999999255"
"2","http://localhost:8080/","2024-12-6","14:37:02","longTask","5213.699999999255","5282.699999999255","69","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","14:37:14","LCP","1702.5","5083.29999999702","3380.7999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1678.2999999970198","1702.5"
"3","http://localhost:8080/","2024-12-6","14:37:14","longTask","5207.29999999702","5275.29999999702","68","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","14:37:26","LCP","1722.300000000745","5144.400000002235","3422.10000000149","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1699.800000000745","1722.300000000745"
"4","http://localhost:8080/","2024-12-6","14:37:26","longTask","5252.5","5320.5","68","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","14:37:38","LCP","1699.699999999255","5062.29999999702","3362.599999997765","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1662.8999999985099","1699.699999999255"
"5","http://localhost:8080/","2024-12-6","14:37:38","longTask","5209.699999999255","5303.699999999255","94","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","14:37:49","LCP","1692.5","5051.300000000745","3358.800000000745","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1666.300000000745","1692.5"
"6","http://localhost:8080/","2024-12-6","14:37:49","longTask","5210.39999999851","5279.39999999851","69","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","14:38:01","LCP","1698.2000000029802","5068.600000008941","3370.4000000059605","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1672.2000000029802","1698.2000000029802"
"7","http://localhost:8080/","2024-12-6","14:38:01","longTask","5228.60000000149","5321.60000000149","93","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","14:38:13","LCP","1699.6000000014901","5070.30000000447","3370.7000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1671.1000000014901","1699.6000000014901"
"8","http://localhost:8080/","2024-12-6","14:38:13","longTask","5223","5293","70","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","14:38:25","LCP","1694.300000000745","5054.800000000745","3360.5","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1666.199999999255","1694.300000000745"
"9","http://localhost:8080/","2024-12-6","14:38:25","longTask","5203.400000002235","5296.400000002235","93","self","-1","-1","-1","-1","-1"
"10","http://localhost:8080/","2024-12-6","14:38:37","LCP","1689.5999999977648","5044.19999999553","3354.599999997765","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1665","1689.5999999977648"
