idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:8080/","2024-12-6","14:48:00","LCP","2003.199999999255","5976.5","3973.300000000745","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1970.1000000014901","2003.199999999255"
"1","http://localhost:8080/","2024-12-6","14:48:00","longTask","1391.9000000022352","1448.9000000022352","57","unknown","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","14:48:00","longTask","1449.699999999255","1502.699999999255","53","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","14:48:00","longTask","3799.199999999255","3878.199999999255","79","self","-1","-1","-1","-1","-1"
"1","http://localhost:8080/","2024-12-6","14:48:00","longTask","4059.10000000149","4109.10000000149","50","self","-1","-1","-1","-1","-1"
"2","http://localhost:8080/","2024-12-6","14:48:11","LCP","1731.8999999985099","5158.89999999851","3427","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1695.1000000014901","1731.8999999985099"
"2","http://localhost:8080/","2024-12-6","14:48:11","longTask","3515","3582","67","self","-1","-1","-1","-1","-1"
"3","http://localhost:8080/","2024-12-6","14:48:21","LCP","1727","5147.300000000745","3420.300000000745","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1693.300000000745","1727"
"3","http://localhost:8080/","2024-12-6","14:48:21","longTask","3529","3596","67","self","-1","-1","-1","-1","-1"
"4","http://localhost:8080/","2024-12-6","14:48:32","LCP","1693.199999999255","5056.599999997765","3363.39999999851","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1670.199999999255","1693.199999999255"
"4","http://localhost:8080/","2024-12-6","14:48:32","longTask","3499.300000000745","3567.300000000745","68","self","-1","-1","-1","-1","-1"
"5","http://localhost:8080/","2024-12-6","14:48:42","LCP","1707.8999999985099","5095.899999994785","3387.9999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1680.0999999977648","1707.8999999985099"
"5","http://localhost:8080/","2024-12-6","14:48:42","longTask","3495.800000000745","3563.800000000745","68","self","-1","-1","-1","-1","-1"
"6","http://localhost:8080/","2024-12-6","14:48:52","LCP","1730.5999999977648","5156.0999999940395","3425.4999999962747","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1694.8999999985099","1730.5999999977648"
"6","http://localhost:8080/","2024-12-6","14:48:52","longTask","3510.39999999851","3578.39999999851","68","self","-1","-1","-1","-1","-1"
"7","http://localhost:8080/","2024-12-6","14:49:03","LCP","1723.300000000745","5135.500000003725","3412.2000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1688.9000000022352","1723.300000000745"
"7","http://localhost:8080/","2024-12-6","14:49:03","longTask","3516.60000000149","3583.60000000149","67","self","-1","-1","-1","-1","-1"
"8","http://localhost:8080/","2024-12-6","14:49:13","LCP","1720.2999999970198","5120.199999991804","3399.8999999947846","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1679.5999999977648","1720.2999999970198"
"8","http://localhost:8080/","2024-12-6","14:49:13","longTask","3494.599999997765","3560.599999997765","66","self","-1","-1","-1","-1","-1"
"9","http://localhost:8080/","2024-12-6","14:49:23","LCP","1714.1000000014901","5113.30000000447","3399.2000000029802","-1","ref: <Node>","http://localhost:8080/img/scene/500/classics.webp","","1685.1000000014901","1714.1000000014901"
"9","http://localhost:8080/","2024-12-6","14:49:23","longTask","3514.300000000745","3582.300000000745","68","self","-1","-1","-1","-1","-1"
