idx,site,date,time,type,start,end,duration,name,element,url,id,loadTime,renderTime
"1","http://localhost:4001/","2024-12-6","15:44:57","LCP","618.7999999970198","1237.5999999940395","618.7999999970198","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","618.7999999970198","0"
"1","http://localhost:4001/","2024-12-6","15:44:57","longTask","893.1000000014901","991.1000000014901","98","self","-1","-1","-1","-1","-1"
"1","http://localhost:4001/","2024-12-6","15:44:57","longTask","2749.2999999970198","2802.2999999970198","53","self","-1","-1","-1","-1","-1"
"2","http://localhost:4001/","2024-12-6","15:45:06","LCP","619.3999999985099","1238.7999999970198","619.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","619.3999999985099","0"
"2","http://localhost:4001/","2024-12-6","15:45:06","longTask","886.6000000014901","951.6000000014901","65","self","-1","-1","-1","-1","-1"
"3","http://localhost:4001/","2024-12-6","15:45:15","LCP","598.3999999985099","1196.7999999970198","598.3999999985099","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","598.3999999985099","0"
"3","http://localhost:4001/","2024-12-6","15:45:15","longTask","879.5","946.5","67","self","-1","-1","-1","-1","-1"
"4","http://localhost:4001/","2024-12-6","15:45:25","LCP","608.6000000014901","1217.2000000029802","608.6000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","608.6000000014901","0"
"4","http://localhost:4001/","2024-12-6","15:45:25","longTask","881.9000000059605","947.9000000059605","66","self","-1","-1","-1","-1","-1"
"5","http://localhost:4001/","2024-12-6","15:45:34","LCP","613","1226","613","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","613","0"
"5","http://localhost:4001/","2024-12-6","15:45:34","longTask","885.8999999985099","950.8999999985099","65","self","-1","-1","-1","-1","-1"
"6","http://localhost:4001/","2024-12-6","15:45:43","LCP","613","1226","613","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","613","0"
"6","http://localhost:4001/","2024-12-6","15:45:43","longTask","885.3000000044703","952.3000000044703","67","self","-1","-1","-1","-1","-1"
"7","http://localhost:4001/","2024-12-6","15:45:53","LCP","594.1000000014901","1188.2000000029802","594.1000000014901","-1","ref: <Node>","http://localhost:8080/img/scene/500/autonomous.webp","","594.1000000014901","0"
