idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","12:50:17","6471","11487","4481.29999999702","1524.8999999985099","695.3999999985099","58","5633","3","108",""
"2","http://localhost:8080/","2024-12-6","12:50:29","6087","11099","3343.800000000745","1143.199999999255","358.1000000014901","49","5245.699999999255","1","99",""
"3","http://localhost:8080/","2024-12-6","12:50:41","6078","11089","3521.400000002235","1112.300000000745","362.4000000022352","19","5205.800000000745","1","69",""
"4","http://localhost:8080/","2024-12-6","12:50:52","6118","11121","3616.60000000149","1120.6000000014901","362.30000000074506","21","5251.400000002235","1","71",""
"5","http://localhost:8080/","2024-12-6","12:51:04","6120","11128","3681.0000000037253","1125.300000000745","362.70000000298023","19","5255.800000000745","1","69",""
"6","http://localhost:8080/","2024-12-6","12:51:16","6154","11163","3982.7999999970198","1135.699999999255","360.69999999925494","19","5283.699999999255","1","69",""
"7","http://localhost:8080/","2024-12-6","12:51:28","6119","11129","3712.400000002235","1125.699999999255","361.30000000074506","19","5251.699999999255","1","69",""
"8","http://localhost:8080/","2024-12-6","12:51:39","6126","11137","3622.39999999851","1128.800000000745","362.19999999925494","18","5255.300000000745","1","68",""
"9","http://localhost:8080/","2024-12-6","12:51:51","6078","11087","3645.89999999851","1102.7999999970198","362.8999999985099","19","5209","1","69",""
"10","http://localhost:8080/","2024-12-6","12:52:03","6129","11140","3716.6000000052154","1135.7000000029802","361.9000000022352","21","5257.10000000149","1","71",""
"11","http://localhost:8080/","2024-12-6","12:52:14","6089","11100","3595.0999999940395","1112.199999999255","356.3999999985099","46","5243.599999997765","1","96",""
"12","http://localhost:8080/","2024-12-6","12:52:26","6113","11126","3603.4000000059605","1114","361","19","5242.400000002235","1","69",""
"13","http://localhost:8080/","2024-12-6","12:52:38","6119","11131","3829.10000000149","1124.800000000745","362.30000000074506","46","5279.300000000745","1","96",""
"14","http://localhost:8080/","2024-12-6","12:52:50","6136","11147","3956.3000000044703","1124.9000000022352","362.4000000022352","20","5271.300000000745","1","70",""
"15","http://localhost:8080/","2024-12-6","12:53:01","6135","11145","3713.7000000029802","1125.7000000029802","361.5","18","5262.60000000149","1","68",""
"16","http://localhost:8080/","2024-12-6","12:53:13","6113","11124","3651.39999999851","1130.699999999255","361.1000000014901","51","5276.5","1","101",""
"17","http://localhost:8080/","2024-12-6","12:53:25","6128","11138","3947.89999999851","1137.4000000022352","362.5","45","5282.5","1","95",""
"18","http://localhost:8080/","2024-12-6","12:53:37","6106","11117","3668.6999999955297","1110.699999999255","362.30000000074506","45","5262.39999999851","1","95",""
"19","http://localhost:8080/","2024-12-6","12:53:48","6106","11117","3666.5","1135.300000000745","361.70000000298023","21","5236.5","1","71",""
"20","http://localhost:8080/","2024-12-6","12:54:00","6142","11153","3928.10000000149","1114.800000000745","361.9000000022352","20","5266.199999999255","1","70",""
