idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","13:19:37","6058","11075","4123.100000005215","1403.4000000022352","568.5","61","5217.800000000745","2","111",""
"2","http://localhost:8080/","2024-12-6","13:19:49","5794","10806","3385.0000000037253","1155.800000000745","348","50","4948.900000002235","1","100",""
"3","http://localhost:8080/","2024-12-6","13:20:01","5765","10778","3349.7000000029802","1142.1000000014901","349","51","4930.800000000745","1","101",""
"4","http://localhost:8080/","2024-12-6","13:20:12","5784","10797","3330.0999999940395","1133.8999999985099","346.79999999701977","48","4938.699999999255","1","98",""
"5","http://localhost:8080/","2024-12-6","13:20:24","5777","10790","3370.8000000044703","1150.6000000014901","347.6000000014901","51","4936.199999999255","1","101",""
"6","http://localhost:8080/","2024-12-6","13:20:35","5770","10782","3305.6999999955297","1124.699999999255","341.8999999985099","48","4930.5","1","98",""
"7","http://localhost:8080/","2024-12-6","13:20:47","5790","10801","3351.60000000149","1141.5","347.30000000074506","53","4948.800000000745","1","103",""
"8","http://localhost:8080/","2024-12-6","13:20:58","5800","10813","3386.2999999932945","1155.2999999970198","347","48","4956.79999999702","1","98",""
"9","http://localhost:8080/","2024-12-6","13:21:10","5779","10788","3353.099999997765","1141.8999999985099","347.8999999985099","51","4938.5","1","101",""
"10","http://localhost:8080/","2024-12-6","13:21:21","5784","10795","3361.60000000149","1144.800000000745","340.6000000014901","50","4946.800000000745","1","100",""
"11","http://localhost:8080/","2024-12-6","13:21:32","5807","10818","3323.89999999851","1130.699999999255","347.80000000074506","74","4966.5","1","124",""
"12","http://localhost:8080/","2024-12-6","13:21:44","5779","10790","3608.6999999955297","1125.0999999977648","341","49","4934.39999999851","1","99",""
"13","http://localhost:8080/","2024-12-6","13:21:55","5784","10797","3628.39999999851","1123.0999999977648","347.19999999925494","48","4941.89999999851","1","98",""
"14","http://localhost:8080/","2024-12-6","13:22:07","5777","10787","3611.599999997765","1134.7999999970198","347.29999999701977","51","4934.79999999702","1","101",""
"15","http://localhost:8080/","2024-12-6","13:22:18","5777","10791","3599.9999999925494","1129.0999999977648","347.5","48","4937.5","1","98",""
"16","http://localhost:8080/","2024-12-6","13:22:29","5799","10812","3597.800000000745","1136.6000000014901","347.1000000014901","53","4958.300000000745","1","103",""
"17","http://localhost:8080/","2024-12-6","13:22:41","5772","10784","3607.2000000029802","1124","340.80000000074506","48","4931.60000000149","1","98",""
"18","http://localhost:8080/","2024-12-6","13:22:52","5790","10802","3659.699999999255","1151.199999999255","348","49","4954.099999997765","1","99",""
"19","http://localhost:8080/","2024-12-6","13:23:04","5778","10789","3605.4000000059605","1132.300000000745","340.6000000014901","50","4936.5","1","100",""
"20","http://localhost:8080/","2024-12-6","13:23:15","5799","10811","3583.7000000029802","1140.800000000745","347","48","4955.699999999255","1","98",""
