idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","13:31:31","5508","10525","2252.5999999940395","1126.2999999970198","352.5999999977648","28","5083.79999999702","3","78",""
"2","http://localhost:8080/","2024-12-6","13:31:43","5495","10508","2159.8000000044703","1079.9000000022352","354.30000000074506","18","5060.60000000149","1","68",""
"3","http://localhost:8080/","2024-12-6","13:31:54","5486","10499","2157.2000000029802","1078.6000000014901","354.1000000014901","17","5050.39999999851","1","67",""
"4","http://localhost:8080/","2024-12-6","13:32:05","5490","10501","2184.39999999851","1092.199999999255","354","20","5058.39999999851","1","70",""
"5","http://localhost:8080/","2024-12-6","13:32:16","5476","10488","2163","1081.5","349.6000000014901","20","5044.89999999851","1","70",""
"6","http://localhost:8080/","2024-12-6","13:32:27","5517","10528","2198.8000000044703","1099.4000000022352","354.1000000014901","19","5084.10000000149","1","69",""
"7","http://localhost:8080/","2024-12-6","13:32:39","5494","10506","2188","1094","354.0999999977648","18","5061.199999999255","1","68",""
"8","http://localhost:8080/","2024-12-6","13:32:50","5485","10497","2126.60000000149","1063.300000000745","349.19999999925494","20","5051.699999999255","1","70",""
"9","http://localhost:8080/","2024-12-6","13:33:01","5477","10487","2140.1999999955297","1070.0999999977648","355.5","19","5043.199999999255","1","69",""
"10","http://localhost:8080/","2024-12-6","13:33:12","5475","10485","2173.39999999851","1086.699999999255","354.5","40","5062.699999999255","1","90",""
"11","http://localhost:8080/","2024-12-6","13:33:23","5506","10517","2170.8000000044703","1085.4000000022352","350.69999999925494","19","5073.800000000745","1","69",""
"12","http://localhost:8080/","2024-12-6","13:33:35","5503","10514","2174","1087","349.5","43","5094.5","1","93",""
"13","http://localhost:8080/","2024-12-6","13:33:46","5477","10491","2122","1061","349.8999999985099","19","5044.599999997765","1","69",""
"14","http://localhost:8080/","2024-12-6","13:33:57","5503","10514","2168","1084","350.79999999701977","44","5095.599999997765","1","94",""
"15","http://localhost:8080/","2024-12-6","13:34:08","5492","10503","2192","1096","349.6000000014901","45","5084.5","1","95",""
"16","http://localhost:8080/","2024-12-6","13:34:19","5499","10510","2192.2000000029802","1096.1000000014901","350.3999999985099","19","5067.300000000745","1","69",""
"17","http://localhost:8080/","2024-12-6","13:34:31","5482","10495","2154.8000000044703","1077.4000000022352","349.19999999925494","20","5051.10000000149","1","70",""
"18","http://localhost:8080/","2024-12-6","13:34:42","5494","10504","2169.60000000149","1084.800000000745","354.6000000014901","43","5085.5","1","93",""
"19","http://localhost:8080/","2024-12-6","13:34:53","5485","10497","2137.8000000044703","1068.9000000022352","347.4000000022352","42","5075.5","1","92",""
"20","http://localhost:8080/","2024-12-6","13:35:04","5488","10498","2152.39999999851","1076.199999999255","348.19999999925494","18","5054.199999999255","1","68",""
