idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","13:49:31","5533","10552","4014.39999999851","1368.3999999985099","545.8999999985099","33","5113","3","83",""
"2","http://localhost:8080/","2024-12-6","13:49:43","5269","10282","3256.0000000037253","1107.9000000022352","346.4000000022352","22","4837.699999999255","1","72",""
"3","http://localhost:8080/","2024-12-6","13:49:54","5257","10269","3261.60000000149","1110.300000000745","346.80000000074506","20","4825.60000000149","1","70",""
"4","http://localhost:8080/","2024-12-6","13:50:04","5265","10278","3263.3999999947846","1111.3999999985099","346.5999999977648","19","4833.199999999255","1","69",""
"5","http://localhost:8080/","2024-12-6","13:50:15","5250","10264","3261.5","1114","347.30000000074506","21","4820.900000002235","1","71",""
"6","http://localhost:8080/","2024-12-6","13:50:26","5276","10289","3280.10000000149","1118.800000000745","342.3999999985099","23","4847.89999999851","1","73",""
"7","http://localhost:8080/","2024-12-6","13:50:37","5273","10283","3276.89999999851","1114.8999999985099","347.69999999925494","19","4840.699999999255","1","69",""
"8","http://localhost:8080/","2024-12-6","13:50:48","5273","10284","3281.1000000052154","1120.1000000014901","347","20","4841.400000002235","1","70",""
"9","http://localhost:8080/","2024-12-6","13:50:59","5253","10264","3254.400000002235","1110.6000000014901","347.6000000014901","18","4817.800000000745","1","68",""
"10","http://localhost:8080/","2024-12-6","13:51:10","5253","10267","3272.699999999255","1117.800000000745","342.80000000074506","20","4822.5","1","70",""
"11","http://localhost:8080/","2024-12-6","13:51:21","5254","10267","3241.1999999955297","1106.3999999985099","342.5","19","4821.699999999255","1","69",""
"12","http://localhost:8080/","2024-12-6","13:51:32","5279","10291","3261.699999999255","1110.5","341.80000000074506","20","4844.699999999255","1","70",""
"13","http://localhost:8080/","2024-12-6","13:51:43","5250","10261","3230.699999999255","1101.5","342.5","20","4818.199999999255","1","70",""
"14","http://localhost:8080/","2024-12-6","13:51:54","5256","10268","3266.2999999970198","1115.3999999985099","342.5","20","4824.300000000745","1","70",""
"15","http://localhost:8080/","2024-12-6","13:52:05","5247","10259","3213.5000000037253","1092.6000000014901","343.19999999925494","21","4816.89999999851","1","71",""
"16","http://localhost:8080/","2024-12-6","13:52:16","5282","10293","3284.800000000745","1121.300000000745","348.6000000014901","19","4847.900000002235","1","69",""
"17","http://localhost:8080/","2024-12-6","13:52:27","5279","10290","3279.3000000044703","1119.300000000745","347.5","20","4845.70000000298","1","70",""
"18","http://localhost:8080/","2024-12-6","13:52:38","5258","10267","3258.8000000044703","1112.800000000745","347.4000000022352","20","4827.10000000149","1","70",""
"19","http://localhost:8080/","2024-12-6","13:52:49","5260","10271","3255.4999999962747","1106.8999999985099","346.8999999985099","19","4826.39999999851","1","69",""
"20","http://localhost:8080/","2024-12-6","13:53:00","5236","10248","3229.2999999970198","1100.8999999985099","340.5","20","4804","1","70",""
