idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","14:36:50","6479","11494","5955.5999999940395","1459.5999999977648","638.8999999985099","28","5600.29999999702","2","78",""
"2","http://localhost:8080/","2024-12-6","14:37:02","6150","11161","5064.599999997765","1133.6000000014901","355.4000000022352","19","5282.699999999255","1","69",""
"3","http://localhost:8080/","2024-12-6","14:37:14","6140","11152","5083.29999999702","1135.8999999985099","362.8999999985099","18","5275.29999999702","1","68",""
"4","http://localhost:8080/","2024-12-6","14:37:26","6193","11204","5144.400000002235","1139","362.19999999925494","18","5320.5","1","68",""
"5","http://localhost:8080/","2024-12-6","14:37:38","6148","11160","5062.29999999702","1133.0999999977648","355.0999999977648","44","5303.699999999255","1","94",""
"6","http://localhost:8080/","2024-12-6","14:37:49","6143","11156","5051.300000000745","1125.8999999985099","357.6000000014901","19","5279.39999999851","1","69",""
"7","http://localhost:8080/","2024-12-6","14:38:01","6162","11175","5068.600000008941","1148.2000000029802","361.4000000022352","43","5321.60000000149","1","93",""
"8","http://localhost:8080/","2024-12-6","14:38:13","6164","11177","5070.30000000447","1133","361.80000000074506","20","5293","1","70",""
"9","http://localhost:8080/","2024-12-6","14:38:25","6138","11150","5054.800000000745","1144.300000000745","356.9000000022352","43","5296.400000002235","1","93",""
"10","http://localhost:8080/","2024-12-6","14:38:37","6142","11152","5044.19999999553","1139.5999999977648","362.19999999925494","22","5271.199999999255","1","72",""
"11","http://localhost:8080/","2024-12-6","14:38:49","6144","11154","5056.29999999702","1128.2999999970198","358.19999999925494","43","5303.5","1","93",""
"12","http://localhost:8080/","2024-12-6","14:39:01","6181","11193","5171.300000008196","1167.5","358","44","5339.70000000298","1","94",""
"13","http://localhost:8080/","2024-12-6","14:39:12","6169","11181","5070.500000003725","1133.5","361.70000000298023","19","5298.900000002235","1","69",""
"14","http://localhost:8080/","2024-12-6","14:39:24","6142","11153","5054.300000000745","1142.4000000022352","359.80000000074506","19","5267.300000000745","1","69",""
"15","http://localhost:8080/","2024-12-6","14:39:36","6183","11194","5108.599999997765","1128.3999999985099","361.69999999925494","45","5342.199999999255","1","95",""
"16","http://localhost:8080/","2024-12-6","14:39:48","6123","11134","5041.20000000298","1127.5","357.3999999985099","43","5282.10000000149","1","93",""
"17","http://localhost:8080/","2024-12-6","14:40:00","6163","11174","5059.900000002235","1131.5","362","19","5290.800000000745","1","69",""
"18","http://localhost:8080/","2024-12-6","14:40:12","6166","11177","5129.39999999851","1135.3999999985099","362.5","49","5330.300000000745","1","99",""
"19","http://localhost:8080/","2024-12-6","14:40:24","6157","11169","5067.70000000298","1131.3999999985099","361.8999999985099","43","5314.199999999255","1","93",""
"20","http://localhost:8080/","2024-12-6","14:40:35","6164","11175","5101.699999999255","1145.5999999977648","362.19999999925494","43","5316.599999997765","1","93",""
