idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:8080/","2024-12-6","14:48:00","4947","9964","5976.5","1486.5","653.6999999992549","29","4109.10000000149","4","79",""
"2","http://localhost:8080/","2024-12-6","14:48:11","4671","9682","5158.89999999851","1148.5","371.8999999985099","17","3582","1","67",""
"3","http://localhost:8080/","2024-12-6","14:48:21","4685","9696","5147.300000000745","1143.699999999255","362.9000000022352","17","3596","1","67",""
"4","http://localhost:8080/","2024-12-6","14:48:32","4648","9658","5056.599999997765","1126.6000000014901","362.30000000074506","18","3567.300000000745","1","68",""
"5","http://localhost:8080/","2024-12-6","14:48:42","4652","9663","5095.899999994785","1141.199999999255","358.3999999985099","18","3563.800000000745","1","68",""
"6","http://localhost:8080/","2024-12-6","14:48:52","4660","9670","5156.0999999940395","1130.5999999977648","357.29999999701977","18","3578.39999999851","1","68",""
"7","http://localhost:8080/","2024-12-6","14:49:03","4670","9681","5135.500000003725","1140","357.20000000298023","17","3583.60000000149","1","67",""
"8","http://localhost:8080/","2024-12-6","14:49:13","4649","9660","5120.199999991804","1137","356.19999999925494","16","3560.599999997765","1","66",""
"9","http://localhost:8080/","2024-12-6","14:49:23","4661","9672","5113.30000000447","1147.5","362.4000000022352","18","3582.300000000745","1","68",""
"10","http://localhost:8080/","2024-12-6","14:49:34","4647","9658","5100.0999999940395","1144.199999999255","363.5","18","3561","1","68",""
"11","http://localhost:8080/","2024-12-6","14:49:44","4676","9686","5140.60000000149","1140.800000000745","361.5","19","3596.099999997765","1","69",""
"12","http://localhost:8080/","2024-12-6","14:49:55","4647","9658","5074.2999999932945","1151.5999999977648","363.5999999977648","18","3561.7999999970198","1","68",""
"13","http://localhost:8080/","2024-12-6","14:50:05","4676","9689","5084.400000002235","1136.5","361.5","16","3582","1","66",""
"14","http://localhost:8080/","2024-12-6","14:50:15","4634","9644","5077.000000003725","1135.9000000022352","362.4000000022352","18","3553.5","1","68",""
"15","http://localhost:8080/","2024-12-6","14:50:26","4646","9657","5098.0999999940395","1143.0999999977648","361.5999999977648","18","3561.699999999255","1","68",""
"16","http://localhost:8080/","2024-12-6","14:50:36","4659","9669","5070.80000000447","1131.800000000745","356.80000000074506","19","3565.60000000149","1","69",""
"17","http://localhost:8080/","2024-12-6","14:50:46","4698","9710","5191.7999999932945","1142.5","362.5999999977648","17","3616.39999999851","1","67",""
"18","http://localhost:8080/","2024-12-6","14:50:57","4655","9667","5081.999999992549","1138.5","361.69999999925494","18","3574.599999997765","1","68",""
"19","http://localhost:8080/","2024-12-6","14:51:07","4647","9657","5135.000000007451","1140.9000000022352","362.9000000022352","17","3567.10000000149","1","67",""
"20","http://localhost:8080/","2024-12-6","14:51:17","4647","9658","5097.999999996275","1142.699999999255","362.69999999925494","16","3563.89999999851","1","66",""
