idx,site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"1","http://localhost:4001/","2024-12-6","15:44:57","3645","8663","1237.5999999940395","414.1000000014901","174.79999999701977","51","2802.2999999970198","2","98",""
"2","http://localhost:4001/","2024-12-6","15:45:06","3566","8578","1238.7999999970198","372.6000000014901","174.89999999850988","15","951.6000000014901","1","65",""
"3","http://localhost:4001/","2024-12-6","15:45:15","3574","8586","1196.7999999970198","379.8999999985099","175","17","946.5","1","67",""
"4","http://localhost:4001/","2024-12-6","15:45:25","3569","8580","1217.2000000029802","384.6000000014901","170.20000000298023","16","947.9000000059605","1","66",""
"5","http://localhost:4001/","2024-12-6","15:45:34","3573","8583","1226","379.1000000014901","175.19999999552965","15","950.8999999985099","1","65",""
"6","http://localhost:4001/","2024-12-6","15:45:43","3568","8581","1226","390.30000000447035","175.40000000596046","17","952.3000000044703","1","67",""
"7","http://localhost:4001/","2024-12-6","15:45:53","3557","8568","1188.2000000029802","375.19999999552965","170.79999999701977","14","938.7999999970198","1","64",""
"8","http://localhost:4001/","2024-12-6","15:46:02","3569","8581","1228.6000000089407","381.6000000014901","176","15","951.1000000014901","1","65",""
"9","http://localhost:4001/","2024-12-6","15:46:11","3577","8588","1223.4000000059605","385.1000000014901","174.90000000596046","16","952.2000000029802","1","66",""
"10","http://localhost:4001/","2024-12-6","15:46:20","3567","8580","1211","379.8999999985099","174.89999999850988","17","946","1","67",""
"11","http://localhost:4001/","2024-12-6","15:46:30","3580","8591","1239","380","175.29999999701977","17","954","1","67",""
"12","http://localhost:4001/","2024-12-6","15:46:39","3582","8594","1223.4000000059605","382.8999999985099","175.10000000149012","16","952.2999999970198","1","66",""
"13","http://localhost:4001/","2024-12-6","15:46:48","3576","8588","1242.4000000059605","378","176.5","15","951.7999999970198","1","65",""
"14","http://localhost:4001/","2024-12-6","15:46:58","3569","8580","1219.2000000029802","391.5","171.29999999701977","17","948.7000000029802","1","67",""
"15","http://localhost:4001/","2024-12-6","15:47:07","3583","8595","1240.4000000059605","378.1000000014901","175.5","15","951","1","65",""
"16","http://localhost:4001/","2024-12-6","15:47:16","3561","8572","1226.2000000029802","392.29999999701977","175.39999999850988","15","951.3999999985099","1","65",""
"17","http://localhost:4001/","2024-12-6","15:47:25","3556","8566","1215.6000000089407","365.6000000014901","170.70000000298023","15","939.9000000059605","1","65",""
"18","http://localhost:4001/","2024-12-6","15:47:35","3562","8573","1217","385.79999999701977","170.69999999552965","15","947.1999999955297","1","65",""
"19","http://localhost:4001/","2024-12-6","15:47:44","3574","8585","1226.3999999910593","380.6000000014901","175.10000000149012","15","944.1999999955297","1","65",""
"20","http://localhost:4001/","2024-12-6","15:47:53","3574","8587","1225.2000000029802","380.80000000447035","175.20000000298023","15","951.8999999985099","1","65",""
