site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-11-28","18:19:15","12995","18023","12517.5","1267.5","168.09999999403954","273","11723.5","3","323",""
"http://localhost:8080/","2024-11-28","18:19:33","12789","17811","12280.79999999702","1197.5","170","245","11561.5","3","295",""
"http://localhost:8080/","2024-11-28","18:19:52","12774","17796","12276","1175.8999999910593","166.20000000298023","246","11553","3","296",""
"http://localhost:8080/","2024-11-28","18:20:10","12804","17828","12330.29999999702","1163.6000000089407","169.20000000298023","236","11536.10000000894","3","286",""
"http://localhost:8080/","2024-11-28","18:20:29","12818","17839","12281.60000000894","1198.300000011921","157.6000000089407","253","11590.5","3","303",""
"http://localhost:8080/","2024-11-28","18:20:47","12802","17822","12329.5","1146","164.29999999701977","239","11531.29999999702","3","289",""
"http://localhost:8080/","2024-11-28","18:21:06","12816","17842","12342.199999988079","1192.0999999940395","167.79999999701977","231","11540.5","3","281",""
"http://localhost:8080/","2024-11-28","18:21:24","12786","17808","12277.40000000596","1194","157.6000000089407","241","11552.300000011921","3","291",""
"http://localhost:8080/","2024-11-28","18:21:43","12833","17856","12351.90000000596","1201.9000000059605","156.79999999701977","239","11565.09999999404","3","289",""
"http://localhost:8080/","2024-11-28","18:22:01","12804","17824","12291.90000000596","1191.9000000059605","159","251","11578.79999999702","3","301",""
"http://localhost:8080/","2024-11-28","18:22:20","12830","17852","12366.699999988079","1200","158.69999998807907","235","11566.29999999702","3","285",""
"http://localhost:8080/","2024-11-28","18:22:39","12823","17845","12346.70000000298","1196.5999999940395","167.29999999701977","239","11560.89999999106","3","289",""
"http://localhost:8080/","2024-11-28","18:22:57","12823","17847","12342","1191.9000000059605","159.1000000089407","245","11561.800000011921","3","295",""
"http://localhost:8080/","2024-11-28","18:23:16","12817","17838","12344.39999999106","1194.3999999910593","158","237","11551.20000000298","3","287",""
"http://localhost:8080/","2024-11-28","18:23:34","12802","17826","12289.40000000596","1189.2999999970198","165.20000000298023","252","11578.09999999404","3","302",""
"http://localhost:8080/","2024-11-28","18:23:52","12803","17824","12325.10000000894","1191.7000000029802","157.79999999701977","237","11535.70000000298","3","287",""
"http://localhost:8080/","2024-11-28","18:24:11","12825","17847","12357","1190.2999999970198","160.5","242","11550.70000000298","3","292",""
"http://localhost:8080/","2024-11-28","18:24:29","12796","17815","12316.5","1166.4000000059605","157.70000000298023","231","11529.90000000596","3","281",""
"http://localhost:8080/","2024-11-28","18:24:48","12817","17837","12344.79999999702","1161.4000000059605","157.90000000596046","241","11544.29999999702","3","291",""
"http://localhost:8080/","2024-11-28","18:25:06","12852","17875","12374.70000000298","1191.300000011921","158.1000000089407","236","11571.60000000894","3","286",""
"http://localhost:8080/","2024-11-28","18:25:25","12847","17866","12375.70000000298","1175.5999999940395","158","253","11577.09999999404","3","303",""
"http://localhost:8080/","2024-11-28","18:25:44","12796","17815","12292.79999999702","1192.7000000029802","165.5","245","11563.20000000298","3","295",""
"http://localhost:8080/","2024-11-28","18:26:02","12803","17824","12300.5","1183.8999999910593","157.5","258","11571.79999999702","3","308",""
"http://localhost:8080/","2024-11-28","18:26:21","12809","17828","12322.90000000596","1189.5","165.70000000298023","244","11584.90000000596","3","294",""
"http://localhost:8080/","2024-11-28","18:26:39","12845","17864","12376.199999988079","1176.199999988079","165.19999998807907","247","11574.09999999404","3","297",""
"http://localhost:8080/","2024-11-28","18:26:58","12834","17857","12356.60000000894","1189.7999999970198","165.5","243","11565","3","293",""
"http://localhost:8080/","2024-11-28","18:27:16","12788","17808","12217.40000000596","1184.1000000089407","157.70000000298023","248","11571.5","3","298",""
"http://localhost:8080/","2024-11-28","18:27:35","12767","17788","12285.5","1185.5","164.79999999701977","237","11537.199999988079","3","287",""
"http://localhost:8080/","2024-11-28","18:27:53","12845","17868","12373.5","1206.7000000029802","164.70000000298023","235","11580.29999999702","3","285",""
"http://localhost:8080/","2024-11-28","18:28:12","12788","17806","12250.10000000894","1200","158","247","11573.29999999702","3","297",""
"http://localhost:8080/","2024-11-28","18:28:30","12831","17856","12367.39999999106","1184","157.79999999701977","240","11561.59999999404","3","290",""
"http://localhost:8080/","2024-11-28","18:28:49","12809","17832","12310.60000000894","1210.5","165.6000000089407","242","11581.10000000894","3","292",""
"http://localhost:8080/","2024-11-28","18:29:07","12845","17868","12372.40000000596","1205.7000000029802","165.79999999701977","246","11578.40000000596","3","296",""
"http://localhost:8080/","2024-11-28","18:29:26","12832","17858","12352.5","1202.4000000059605","165.80000001192093","242","11562.60000000894","3","292",""
"http://localhost:8080/","2024-11-28","18:29:44","12787","17804","12309.89999999106","1159.7999999970198","156.19999998807907","246","11554","3","296",""
"http://localhost:8080/","2024-11-28","18:30:03","12839","17860","12362.60000000894","1195.9000000059605","157","244","11558.60000000894","3","294",""
"http://localhost:8080/","2024-11-28","18:30:21","12803","17821","12317.39999999106","1184","159.3999999910593","249","11578.5","3","299",""
"http://localhost:8080/","2024-11-28","18:30:40","12797","17818","12277.59999999404","1194.2000000029802","165.70000000298023","247","11571.09999999404","3","297",""
"http://localhost:8080/","2024-11-28","18:30:58","12789","17812","12279.90000000596","1179.9000000059605","165.5","242","11562.40000000596","3","292",""
"http://localhost:8080/","2024-11-28","18:31:17","12804","17825","12334","1200.7000000029802","160.8999999910593","236","11544.39999999106","3","286",""
"http://localhost:8080/","2024-11-28","18:31:35","12794","17816","12292.89999999106","1176.199999988079","156.8999999910593","249","11570.89999999106","3","299",""
"http://localhost:8080/","2024-11-28","18:31:54","12832","17855","12359.39999999106","1192.7999999970198","157.09999999403954","237","11556.20000000298","3","287",""
"http://localhost:8080/","2024-11-28","18:32:12","12838","17858","12358.29999999702","1208.2000000029802","165.6000000089407","239","11580.29999999702","3","289",""
"http://localhost:8080/","2024-11-28","18:32:31","12804","17827","12337.5","1170.7999999970198","157.09999999403954","233","11527.29999999702","3","283",""
"http://localhost:8080/","2024-11-28","18:32:49","12833","17849","12359.20000000298","1192.5","157.09999999403954","238","11560.70000000298","3","288",""
"http://localhost:8080/","2024-11-28","18:33:08","12802","17827","12295.20000000298","1195.2000000029802","164.59999999403954","246","11578.09999999404","3","296",""
"http://localhost:8080/","2024-11-28","18:33:26","12837","17860","12359.20000000298","1192.5","157.30000001192093","240","11557.70000000298","3","290",""
"http://localhost:8080/","2024-11-28","18:33:45","12803","17828","12322.59999999404","1189.2000000029802","157.59999999403954","242","11539.09999999404","3","292",""
"http://localhost:8080/","2024-11-28","18:34:04","12844","17866","12370.5","1203.7999999970198","164","239","11578.59999999404","3","289",""
"http://localhost:8080/","2024-11-28","18:34:22","12796","17820","12324.40000000596","1174.2999999970198","157.90000000596046","247","11539.40000000596","3","297",""
