site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-11-28","12:39:26","10428","15441","9924.09999999404","286.59999999403954","11.699999995529652","65","9455.09999999404","1","115",""
"http://localhost:8080/","2024-11-28","12:39:42","10411","15422","9910.10000000149","285.1000000014901","13.600000001490116","58","9446.70000000298","1","108",""
"http://localhost:8080/","2024-11-28","12:39:58","10420","15429","9928.70000000298","303.70000000298023","13","61","9448.60000000149","1","111",""
"http://localhost:8080/","2024-11-28","12:40:14","10412","15422","9919.10000000149","285.80000000447035","13.300000004470348","58","9446.20000000298","1","108",""
"http://localhost:8080/","2024-11-28","12:40:30","10420","15432","9924.70000000298","299.70000000298023","14.600000001490116","58","9454.40000000596","1","108",""
"http://localhost:8080/","2024-11-28","12:40:46","10413","15424","9922.39999999851","289","13.600000001490116","58","9447.20000000298","1","108",""
"http://localhost:8080/","2024-11-28","12:41:02","10425","15436","9930.09999999404","288.5","13.099999994039536","61","9449.59999999404","1","111",""
"http://localhost:8080/","2024-11-28","12:41:18","10410","15420","9921.5","288.19999999552965","12.399999998509884","59","9448.09999999404","1","109",""
"http://localhost:8080/","2024-11-28","12:41:34","10427","15436","9934.20000000298","292.6000000014901","13","60","9459","1","110",""
"http://localhost:8080/","2024-11-28","12:41:50","10427","15438","9924.90000000596","295.80000000447035","12.400000005960464","60","9452.5","1","110",""
"http://localhost:8080/","2024-11-28","12:42:06","10433","15445","9940.5","298.8999999985099","13.200000002980232","62","9460.10000000149","1","112",""
"http://localhost:8080/","2024-11-28","12:42:22","10419","15428","9919.10000000149","290","12.300000004470348","59","9448.30000000447","1","109",""
"http://localhost:8080/","2024-11-28","12:42:38","10420","15429","9921.90000000596","288.5","12.400000005960464","64","9454.80000000447","1","114",""
"http://localhost:8080/","2024-11-28","12:42:54","10412","15423","9909.79999999702","284.79999999701977","12.899999998509884","57","9447","1","107",""
"http://localhost:8080/","2024-11-28","12:43:10","10426","15437","9930.60000000149","289","13.399999998509884","60","9450.10000000149","1","110",""
"http://localhost:8080/","2024-11-28","12:43:26","10428","15438","9934.89999999851","285","13","62","9450.59999999404","1","112",""
"http://localhost:8080/","2024-11-28","12:43:42","10411","15420","9917.19999999553","292.19999999552965","13.799999997019768","59","9447.19999999553","1","109",""
"http://localhost:8080/","2024-11-28","12:43:58","10411","15422","9920","286.70000000298023","15.400000005960464","59","9444.40000000596","1","109",""
"http://localhost:8080/","2024-11-28","12:44:14","10412","15420","9916","299.30000000447035","13.700000002980232","59","9446.5","1","109",""
"http://localhost:8080/","2024-11-28","12:44:30","10435","15446","9943.10000000149","301.5","12.5","60","9455.40000000596","1","110",""
"http://localhost:8080/","2024-11-28","12:44:46","10435","15445","9943.10000000149","293.1000000014901","12.400000005960464","63","9462.80000000447","1","113",""
"http://localhost:8080/","2024-11-28","12:45:02","10426","15435","9930.20000000298","288.5","13.899999998509884","59","9453.39999999851","1","109",""
"http://localhost:8080/","2024-11-28","12:45:18","10419","15427","9914.70000000298","281.40000000596046","5.100000001490116","60","9443.30000000447","1","110",""
"http://localhost:8080/","2024-11-28","12:45:34","10427","15436","9925.09999999404","291.79999999701977","12.299999997019768","61","9453","1","111",""
"http://localhost:8080/","2024-11-28","12:45:50","10420","15429","9927.69999999553","294.3999999985099","7.399999998509884","58","9443.5","1","108",""
"http://localhost:8080/","2024-11-28","12:46:06","10434","15443","9929.30000000447","304.40000000596046","13.100000001490116","58","9455.70000000298","1","108",""
"http://localhost:8080/","2024-11-28","12:46:22","10426","15435","9935.5","293.8999999985099","12.5","61","9448.89999999851","1","111",""
"http://localhost:8080/","2024-11-28","12:46:38","10413","15423","9912","282.79999999701977","13.5","58","9448.10000000149","1","108",""
"http://localhost:8080/","2024-11-28","12:46:54","10421","15431","9921.89999999851","288.6000000014901","12.5","60","9449.19999999553","1","110",""
"http://localhost:8080/","2024-11-28","12:47:10","10413","15422","9921.29999999702","296.29999999701977","12.099999994039536","58","9447.19999999553","1","108",""
"http://localhost:8080/","2024-11-28","12:47:26","10413","15423","9917.60000000149","288.40000000596046","12.700000002980232","57","9444.20000000298","1","107",""
"http://localhost:8080/","2024-11-28","12:47:42","10412","15421","9909.09999999404","292.5","12.5","59","9445.09999999404","1","109",""
"http://localhost:8080/","2024-11-28","12:47:58","10412","15423","9912","291.09999999403954","13.5","58","9447.69999999553","1","108",""
"http://localhost:8080/","2024-11-28","12:48:14","10413","15422","9914.5","289.6000000014901","12.699999995529652","56","9446.69999999553","1","106",""
