site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-11-28","11:42:36","3488","8500","2987.2999999970198","470.6000000014901","19.200000002980232","18","2508.60000000149","1","68",""
"http://localhost:8080/","2024-11-28","11:42:45","3490","8501","3000.5","467.1000000014901","20.100000001490116","17","2508.7000000029802","1","67",""
"http://localhost:8080/","2024-11-28","11:42:54","3488","8500","2987","478.6000000014901","20","17","2509.89999999851","1","67",""
"http://localhost:8080/","2024-11-28","11:43:03","3495","8506","3009","475.70000000298023","27.399999998509884","18","2516.7000000029802","1","68",""
"http://localhost:8080/","2024-11-28","11:43:12","3490","8500","2986","469.3999999985099","19.399999998509884","17","2509.39999999851","1","67",""
"http://localhost:8080/","2024-11-28","11:43:21","3490","8501","3001.39999999851","476.3999999985099","19.899999998509884","18","2502.39999999851","1","68",""
"http://localhost:8080/","2024-11-28","11:43:30","3488","8498","2993.7999999970198","477.20000000298023","20.399999998509884","19","2509.60000000149","1","69",""
"http://localhost:8080/","2024-11-28","11:43:40","3481","8490","2991.4000000059605","474.70000000298023","20","17","2508.9000000059605","1","67",""
"http://localhost:8080/","2024-11-28","11:43:49","3490","8503","2995.2000000029802","478.6000000014901","20.399999998509884","18","2510.60000000149","1","68",""
"http://localhost:8080/","2024-11-28","11:43:58","3490","8500","2992.1999999955297","508.8999999985099","19.599999994039536","17","2509.2999999970198","1","67",""
"http://localhost:8080/","2024-11-28","11:44:07","3488","8498","2998.10000000149","473","19.200000002980232","18","2507.5","1","68",""
"http://localhost:8080/","2024-11-28","11:44:16","3490","8499","3001.1999999955297","484.5","27.599999994039536","18","2518.39999999851","1","68",""
"http://localhost:8080/","2024-11-28","11:44:25","3482","8493","2987.5","479.20000000298023","19.600000001490116","18","2501.3000000044703","1","68",""
"http://localhost:8080/","2024-11-28","11:44:34","3490","8501","2988.5","480.19999999552965","19.69999999552965","19","2510.39999999851","1","69",""
