site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,tti,longTasks,longestTask,error
"http://localhost:8080/","2024-11-28","17:02:12","4782","9793","1281.1000000089407","1281.1000000089407","307","17","3658","1","67",""
"http://localhost:8080/","2024-11-28","17:02:23","4647","9657","1148.9000000059605","1148.9000000059605","169.29999999701977","17","3523.9000000059605","1","67",""
"http://localhost:8080/","2024-11-28","17:02:33","4641","9649","1142.0999999940395","1142.0999999940395","160.29999999701977","16","3522.4000000059605","1","66",""
"http://localhost:8080/","2024-11-28","17:02:43","4654","9665","1147.5999999940395","1147.5999999940395","169.5","18","3530.699999988079","1","68",""
"http://localhost:8080/","2024-11-28","17:02:54","4648","9657","1135.2000000029802","1135.2000000029802","161.30000001192093","17","3515.4000000059605","1","67",""
"http://localhost:8080/","2024-11-28","17:03:04","4655","9665","1148.9000000059605","1148.9000000059605","167.90000000596046","16","3529.2000000029802","1","66",""
"http://localhost:8080/","2024-11-28","17:03:14","4648","9658","1145.5999999940395","1145.5999999940395","167.69999998807907","16","3522.3999999910593","1","66",""
"http://localhost:8080/","2024-11-28","17:03:25","4647","9657","1130.5999999940395","1130.5999999940395","165.20000000298023","17","3523","1","67",""
"http://localhost:8080/","2024-11-28","17:03:35","4640","9650","1146","1146","163.8999999910593","17","3514.7000000029802","1","67",""
"http://localhost:8080/","2024-11-28","17:03:45","4662","9672","1141.3999999910593","1141.3999999910593","165.29999999701977","17","3530.7000000029802","1","67",""
"http://localhost:8080/","2024-11-28","17:03:56","4662","9672","1139","1139","163.79999999701977","18","3531.2000000029802","1","68",""
"http://localhost:8080/","2024-11-28","17:04:06","4656","9665","1143.7000000029802","1143.7000000029802","164.5","17","3522.5999999940395","1","67",""
"http://localhost:8080/","2024-11-28","17:04:16","4641","9651","1140","1140","156.69999998807907","18","3516.3999999910593","1","68",""
"http://localhost:8080/","2024-11-28","17:04:27","4641","9651","1147.199999988079","1147.199999988079","164.5","17","3514.8999999910593","1","67",""
"http://localhost:8080/","2024-11-28","17:04:37","4655","9665","1153.1000000089407","1153.1000000089407","164.40000000596046","17","3522.4000000059605","1","67",""
"http://localhost:8080/","2024-11-28","17:04:47","4656","9666","1137.7999999970198","1137.7999999970198","164.59999999403954","16","3537.2000000029802","1","66",""
"http://localhost:8080/","2024-11-28","17:04:58","4660","9669","1145.2000000029802","1145.2000000029802","163","16","3536.2999999970198","1","66",""
"http://localhost:8080/","2024-11-28","17:05:08","4660","9669","1142","1142","164.59999999403954","16","3529.7000000029802","1","66",""
"http://localhost:8080/","2024-11-28","17:05:18","4664","9674","1149.5","1149.5","163.59999999403954","17","3538.5999999940395","1","67",""
"http://localhost:8080/","2024-11-28","17:05:29","4652","9661","1146.199999988079","1146.199999988079","162.19999998807907","17","3535.2999999970198","1","67",""
"http://localhost:8080/","2024-11-28","17:05:39","4641","9649","1147","1147","166","17","3517.8999999910593","1","67",""
"http://localhost:8080/","2024-11-28","17:05:49","4661","9671","1149.4000000059605","1149.4000000059605","165.1000000089407","17","3538.1000000089407","1","67",""
"http://localhost:8080/","2024-11-28","17:06:00","4663","9672","1145.2999999970198","1145.2999999970198","164.3999999910593","17","3538.2999999970198","1","67",""
"http://localhost:8080/","2024-11-28","17:06:10","4655","9664","1142.0999999940395","1142.0999999940395","164.20000000298023","17","3531.0999999940395","1","67",""
"http://localhost:8080/","2024-11-28","17:06:20","4661","9669","1141.7000000029802","1141.7000000029802","164.40000000596046","17","3531.7000000029802","1","67",""
"http://localhost:8080/","2024-11-28","17:06:31","4661","9671","1142.3999999910593","1142.3999999910593","164.09999999403954","16","3535.8999999910593","1","66",""
