site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,longTasks,longestTask,error
"http://localhost:8080/","2024-11-27","09:22:26","12302","17315","11800.10000000149","1155.6000000014901","167.10000000149012","69","1","119",""
"http://localhost:8080/","2024-11-27","09:22:44","12253","17262","11749","1111.0999999996275","159.09999999962747","64","1","114",""
"http://localhost:8080/","2024-11-27","09:23:01","12232","17242","11718.10000000149","1112.5","159.5","59","1","109",""
"http://localhost:8080/","2024-11-27","09:23:19","12259","17270","11753.400000000373","1109.4000000003725","160.2999999988824","57","1","107",""
"http://localhost:8080/","2024-11-27","09:23:36","12282","17291","11774.900000000373","1102.699999999255","159.59999999962747","58","1","108",""
"http://localhost:8080/","2024-11-27","09:23:54","12233","17243","11711.300000000745","1108.2000000011176","158.60000000149012","61","1","111",""
"http://localhost:8080/","2024-11-27","09:24:11","12218","17228","11710","1120","159.69999999925494","59","1","109",""
"http://localhost:8080/","2024-11-27","09:24:28","12246","17257","11738.799999998882","1109.5999999996275","158.89999999850988","56","1","106",""
"http://localhost:8080/","2024-11-27","09:24:46","12261","17271","11746.099999999627","1111.0999999996275","159.69999999925494","56","1","106",""
"http://localhost:8080/","2024-11-27","09:25:03","12217","17225","11705.099999999627","1101.5","159.2999999988824","63","1","113",""
"http://localhost:8080/","2024-11-27","09:25:21","12239","17248","11731.099999999627","1110.300000000745","159.30000000074506","61","1","111",""
"http://localhost:8080/","2024-11-27","09:25:38","12260","17271","11753.400000000373","1118.9000000003725","159.7999999988824","61","1","111",""
"http://localhost:8080/","2024-11-27","09:25:56","12267","17277","11753.800000000745","1133","160.09999999962747","62","1","112",""
"http://localhost:8080/","2024-11-27","09:26:13","12246","17256","11731.800000000745","1102.6000000014901","159.7000000011176","57","1","107",""
"http://localhost:8080/","2024-11-27","09:26:31","12230","17241","11719.900000000373","1107.300000000745","159.30000000074506","56","1","106",""
"http://localhost:8080/","2024-11-27","09:26:48","12262","17272","11753.400000000373","1110","159.59999999962747","57","1","107",""
"http://localhost:8080/","2024-11-27","09:27:06","12245","17254","11732.299999998882","1112.4000000003725","160.40000000037253","57","1","107",""
"http://localhost:8080/","2024-11-27","09:27:23","12232","17241","11733.599999999627","1117.800000000745","167.5","61","1","111",""
"http://localhost:8080/","2024-11-27","09:27:40","12260","17271","11745.699999999255","1119.9000000003725","158.90000000037253","60","1","110",""
"http://localhost:8080/","2024-11-27","09:27:58","12234","17243","11715.099999999627","1097.199999999255","163.90000000037253","61","1","111",""
"http://localhost:8080/","2024-11-27","09:28:15","12320","17329","11813","1130.5","160.40000000037253","53","1","103",""
"http://localhost:8080/","2024-11-27","09:28:33","12268","17277","11753.800000000745","1117.5999999996275","165.7000000011176","61","1","111",""
"http://localhost:8080/","2024-11-27","09:28:50","12260","17268","11747.300000000745","1120.300000000745","159.5","57","1","107",""
"http://localhost:8080/","2024-11-27","09:29:08","12232","17240","11726.800000000745","1113","159.7000000011176","53","1","103",""
"http://localhost:8080/","2024-11-27","09:29:25","12225","17235","11715.5","1102.7000000011176","159.09999999962747","62","1","112",""
"http://localhost:8080/","2024-11-27","09:29:43","12223","17233","11722.800000000745","1110.9000000003725","159.19999999925494","58","1","108",""
"http://localhost:8080/","2024-11-27","09:30:00","12231","17240","11713.900000000373","1114","160.09999999962747","58","1","108",""
"http://localhost:8080/","2024-11-27","09:30:18","12246","17257","11754.400000000373","1109.9000000003725","165.90000000037253","55","1","105",""
"http://localhost:8080/","2024-11-27","09:30:35","12238","17249","11732.199999999255","1102.199999999255","159.19999999925494","59","1","109",""
"http://localhost:8080/","2024-11-27","09:30:53","12238","17247","11721.900000000373","1108.4000000003725","160","57","1","107",""
"http://localhost:8080/","2024-11-27","09:31:10","12232","17241","11724.300000000745","1109","159.80000000074506","61","1","111",""
"http://localhost:8080/","2024-11-27","09:31:28","12232","17241","11735.700000001118","1111.2000000011176","159.2000000011176","57","1","107",""
"http://localhost:8080/","2024-11-27","09:31:45","12245","17254","11738.699999999255","1118.4000000003725","159","54","1","104",""
"http://localhost:8080/","2024-11-27","09:32:02","12223","17233","11714.400000000373","1103.300000000745","159.30000000074506","61","1","111",""
"http://localhost:8080/","2024-11-27","09:32:20","12237","17248","11731.89999999851","1109.7999999988824","158.39999999850988","60","1","110",""
"http://localhost:8080/","2024-11-27","09:32:37","12275","17285","11768.199999999255","1107.9000000003725","158.90000000037253","57","1","107",""
"http://localhost:8080/","2024-11-27","09:32:55","12253","17263","11737","1110","159","60","1","110",""
"http://localhost:8080/","2024-11-27","09:33:12","12281","17290","11773.900000000373","1112.5999999996275","158.09999999962747","58","1","108",""
"http://localhost:8080/","2024-11-27","09:33:30","12240","17250","11735.099999999627","1117.800000000745","159.69999999925494","59","1","109",""
"http://localhost:8080/","2024-11-27","09:33:47","12237","17248","11732.700000001118","1114.2000000011176","159.90000000037253","62","1","112",""
"http://localhost:8080/","2024-11-27","09:34:05","12240","17249","11720.900000000373","1103.5","158.40000000037253","59","1","109",""
"http://localhost:8080/","2024-11-27","09:34:22","12253","17263","11734.099999999627","1107.9000000003725","159.09999999962747","59","1","109",""
"http://localhost:8080/","2024-11-27","09:34:40","12274","17284","11767.799999998882","1104.2999999988824","158.7999999988824","57","1","107",""
"http://localhost:8080/","2024-11-27","09:34:57","12277","17286","11760.300000000745","1116.800000000745","159","57","1","107",""
"http://localhost:8080/","2024-11-27","09:35:15","12241","17252","11740.900000000373","1111.699999999255","159.2999999988824","53","1","103",""
"http://localhost:8080/","2024-11-27","09:35:32","12242","17255","11744.699999999255","1116.5999999996275","159.69999999925494","54","1","104",""
"http://localhost:8080/","2024-11-27","09:35:49","12278","17288","11772.299999998882","1127.5","166.40000000037253","57","1","107",""
"http://localhost:8080/","2024-11-27","09:36:07","12304","17314","11790.400000000373","1137.2000000011176","159.2000000011176","54","1","104",""
"http://localhost:8080/","2024-11-27","09:36:24","12275","17285","11763.800000000745","1102.9000000003725","159.7000000011176","61","1","111",""
"http://localhost:8080/","2024-11-27","09:36:42","12261","17270","11756.10000000149","1119.1000000014901","159.30000000074506","58","1","108",""
