site,date,time,navTime,totalTime,lcp,fcp,ttfb,tbt,longTasks,longestTask,error
"http://localhost:8080/","2024-11-27","10:25:30","4256","9267","1152.8999999985099","1152.8999999985099","163.2999999988824","32","2","77",""
"http://localhost:8080/","2024-11-27","10:25:39","4276","9286","1166.5999999996275","1166.5999999996275","163.5","17","1","67",""
"http://localhost:8080/","2024-11-27","10:25:49","4268","9277","1159","1159","163.30000000074506","16","1","66",""
"http://localhost:8080/","2024-11-27","10:25:58","4254","9263","1153.0999999996275","1153.0999999996275","160.90000000037253","17","1","67",""
"http://localhost:8080/","2024-11-27","10:26:08","4282","9293","1175.4000000003725","1175.4000000003725","161.09999999962747","17","1","67",""
"http://localhost:8080/","2024-11-27","10:26:17","4276","9288","1164.300000000745","1164.300000000745","161.40000000037253","18","1","68",""
"http://localhost:8080/","2024-11-27","10:26:27","4261","9271","1153.4000000003725","1153.4000000003725","161.19999999925494","17","1","67",""
"http://localhost:8080/","2024-11-27","10:26:36","4282","9292","1166","1166","159.5","17","1","67",""
"http://localhost:8080/","2024-11-27","10:26:46","4299","9305","1158.800000000745","1158.800000000745","160.30000000074506","18","1","68",""
"http://localhost:8080/","2024-11-27","10:26:55","4286","9294","1153.5","1153.5","159.90000000037253","17","1","67",""
"http://localhost:8080/","2024-11-27","10:27:05","4268","9276","1150.5999999996275","1150.5999999996275","160.40000000037253","16","1","66",""
"http://localhost:8080/","2024-11-27","10:27:14","4288","9297","1167.5999999996275","1167.5999999996275","160.7000000011176","16","1","66",""
"http://localhost:8080/","2024-11-27","10:27:24","4275","9284","1159.2999999988824","1159.2999999988824","161.09999999962747","17","1","67",""
"http://localhost:8080/","2024-11-27","10:27:33","4282","9292","1154.7999999988824","1154.7999999988824","161.19999999925494","16","1","66",""
"http://localhost:8080/","2024-11-27","10:27:43","4262","9273","1150.8999999985099","1150.8999999985099","160.09999999962747","17","1","67",""
"http://localhost:8080/","2024-11-27","10:27:52","4284","9296","1167","1167","159.90000000037253","18","1","68",""
"http://localhost:8080/","2024-11-27","10:28:02","4304","9315","1159.2999999988824","1159.2999999988824","160.69999999925494","17","1","67",""
"http://localhost:8080/","2024-11-27","10:28:11","4276","9285","1167.800000000745","1167.800000000745","159.60000000149012","17","1","67",""
"http://localhost:8080/","2024-11-27","10:28:21","4290","9300","1155.2999999988824","1155.2999999988824","159.7999999988824","17","1","67",""
"http://localhost:8080/","2024-11-27","10:28:30","4290","9298","1160.4000000003725","1160.4000000003725","160.19999999925494","16","1","66",""
"http://localhost:8080/","2024-11-27","10:28:40","4283","9294","1165.9000000003725","1165.9000000003725","160.5","17","1","67",""
"http://localhost:8080/","2024-11-27","10:28:49","4297","9306","1160","1160","160","18","1","68",""
"http://localhost:8080/","2024-11-27","10:28:59","4274","9285","1158.7999999988824","1158.7999999988824","160.09999999962747","15","1","65",""
"http://localhost:8080/","2024-11-27","10:29:08","4260","9272","1153.300000000745","1153.300000000745","159.2000000011176","16","1","66",""
"http://localhost:8080/","2024-11-27","10:29:18","4290","9301","1151.300000000745","1151.300000000745","159.30000000074506","17","1","67",""
"http://localhost:8080/","2024-11-27","10:29:27","4289","9299","1153.5999999996275","1153.5999999996275","159.7000000011176","16","1","66",""
"http://localhost:8080/","2024-11-27","10:29:37","4262","9272","1151","1151","160.09999999962747","19","1","69",""
"http://localhost:8080/","2024-11-27","10:29:46","4282","9292","1174.199999999255","1174.199999999255","159.59999999962747","18","1","68",""
"http://localhost:8080/","2024-11-27","10:29:56","4269","9279","1161.4000000003725","1161.4000000003725","159.7000000011176","18","1","68",""
"http://localhost:8080/","2024-11-27","10:30:05","4276","9287","1165.300000000745","1165.300000000745","160","17","1","67",""
"http://localhost:8080/","2024-11-27","10:30:15","4270","9282","1163.7000000011176","1163.7000000011176","160.5","18","1","68",""
"http://localhost:8080/","2024-11-27","10:30:24","4270","9279","1153.7999999988824","1153.7999999988824","160.09999999962747","16","1","66",""
"http://localhost:8080/","2024-11-27","10:30:34","4289","9300","1161.199999999255","1161.199999999255","159.19999999925494","15","1","65",""
"http://localhost:8080/","2024-11-27","10:30:43","4285","9298","1189.800000000745","1189.800000000745","159.7000000011176","16","1","66",""
